text,label
"Monte-Carlo Tree Search for Efficient Visually Guided Rearrangement
  Planning",cs
"Robustness Meets Deep Learning: An End-to-End Hybrid Pipeline for
  Unsupervised Learning of Egomotion",cs
Can generalised relative pose estimation solve sparse 3D registration?,cs
"Casting Multiple Shadows: High-Dimensional Interactive Data
  Visualisation with Tours and Embeddings",stat
"Two-level Dynamic Load Balancing for High Performance Scientific
  Applications",cs
RPD: A Distance Function Between Word Embeddings,cs
Video Enhancement with Task-Oriented Flow,cs
"Particle-based, online estimation of tangent filters with application to
  parameter estimation in nonlinear state-space models",stat
Curvature: A signature for Action Recognition in Video Sequences,cs
"Dynamic Risk Prediction Using Survival Tree Ensembles with Application
  to Cystic Fibrosis",stat
Towards a Flexible Framework for Algorithmic Fairness,cs
"RADDLE: An Evaluation Benchmark and Analysis Platform for Robust
  Task-oriented Dialog Systems",cs
"A Better Use of Audio-Visual Cues: Dense Video Captioning with Bi-modal
  Transformer",cs
"Fenton-Wilkinson Order Statistics and German Tanks: A Case Study of an
  Orienteering Relay Race",stat
Fairness-Aware Process Mining,cs
"On the Outage Performance of Network NOMA (N-NOMA) Modeled by Poisson
  Line Cox Point Process",cs
"Sensitivity analyses for effect modifiers not observed in the target
  population when generalizing treatment effects from a randomized controlled
  trial: Assumptions, models, effect scales, data scenarios, and implementation
  details",stat
Robust subgaussian estimation with VC-dimension,stat
"Machine-Learning Approach to Analyze the Status of Forklift Vehicles
  with Irregular Movement in a Shipyard",cs
Footprints and Free Space from a Single Color Image,cs
"iASiS Open Data Graph: Automated Semantic Integration of
  Disease-Specific Knowledge",cs
The Spatially-Conscious Machine Learning Model,stat
"A Bayesian Non-linear State Space Copula Model to Predict Air Pollution
  in Beijing",stat
European Strategy on AI: Are we truly fostering social good?,cs
"Spiking neural state machine for gait frequency entrainment in a
  flexible modular robot",cs
Learning Slab Classes to Alleviate Memory Holes in Memcached,cs
"On the Ambiguity of Rank-Based Evaluation of Entity Alignment or Link
  Prediction Methods",cs
Image Captioning: Transforming Objects into Words,cs
"Segmenting High-dimensional Matrix-valued Time Series via Sequential
  Transformations",stat
Automatic Group Cohesiveness Detection With Multi-modal Features,cs
"Clustering and Classification with Non-Existence Attributes: A Sentenced
  Discrepancy Measure Based Technique",cs
Non-Canonical Hamiltonian Monte Carlo,stat
"Speaker-Aware BERT for Multi-Turn Response Selection in Retrieval-Based
  Chatbots",cs
Asymmetric Streaming Algorithms for Edit Distance and LCS,cs
"Shop The Look: Building a Large Scale Visual Shopping System at
  Pinterest",cs
"Complementary Lipschitz continuity results for the distribution of
  intersections or unions of independent random sets in finite discrete spaces",stat
MinkLoc++: Lidar and Monocular Image Fusion for Place Recognition,cs
Regularized Binary Network Training,cs
"Scalable Uncertainty for Computer Vision with Functional Variational
  Inference",cs
"Continuous Blackjack: Equilibrium, Deviation and Adaptive Strategy",cs
Estimation for network snowball sampling: Preventing pandemics,stat
"Weighted Empirical Risk Minimization: Sample Selection Bias Correction
  based on Importance Sampling",stat
"Adaptive Hyper-box Matching for Interpretable Individualized Treatment
  Effect Estimation",stat
"Efficient Bayesian estimation for GARCH-type models via Sequential Monte
  Carlo",stat
Regularized Learning for Domain Adaptation under Label Shifts,cs
"On the Resilience of Biometric Authentication Systems against Random
  Inputs",cs
"Efficient, Doubly Robust Estimation of the Effect of Dose Switching for
  Switchers in a Randomised Clinical Trial",stat
"Online Surveys and Digital Demography in the Developing World: Facebook
  Users in Kenya",cs
"Real-time Multi-target Path Prediction and Planning for Autonomous
  Driving aided by FCN",cs
Linear Regression over Networks with Communication Guarantees,cs
"PULSE: Self-Supervised Photo Upsampling via Latent Space Exploration of
  Generative Models",cs
Generating Representative Headlines for News Stories,cs
"A deep-learning based Bayesian approach to seismic imaging and
  uncertainty quantification",stat
"A Novel Visualization System of Using Augmented Reality in Knee
  Replacement Surgery: Enhanced Bidirectional Maximum Correntropy Algorithm",cs
Out of Distribution Generalization in Machine Learning,stat
"Adversarial Optimal Transport Through The Convolution Of Kernels With
  Evolving Measures",stat
Evaluating the Performance of Twitter-based Exploit Detectors,cs
Doubly stochastic models for replicated spatio-temporal point processes,stat
"Regularized Estimation of High-dimensional Factor-Augmented Vector
  Autoregressive (FAVAR) Models",stat
Source Free Domain Adaptation with Image Translation,cs
"KaLM at SemEval-2020 Task 4: Knowledge-aware Language Models for
  Comprehension And Generation",cs
Information Theory Measures via Multidimensional Gaussianization,stat
"MeSIN: Multilevel Selective and Interactive Network for Medication
  Recommendation",cs
Uncertainty Quantification and Deep Ensembles,stat
"Adaptive Methods for Short-Term Electricity Load Forecasting During
  COVID-19 Lockdown in France",stat
"Interpreting Graph Neural Networks for NLP With Differentiable Edge
  Masking",cs
Learning Log-Determinant Divergences for Positive Definite Matrices,cs
"GNN-XML: Graph Neural Networks for Extreme Multi-label Text
  Classification",cs
"Bandit Change-Point Detection for Real-Time Monitoring High-Dimensional
  Data Under Sampling Control",stat
Optimal Paired Comparison Block Designs,stat
Decision Variance in Online Learning,stat
"IntersectGAN: Learning Domain Intersection for Generating Images with
  Multiple Attributes",cs
Novel Uncertainty Framework for Deep Learning Ensembles,stat
Nonparametric Estimation of Low Rank Matrix Valued Function,stat
A Collective Learning Framework to Boost GNN Expressiveness,cs
Invertible Generative Modeling using Linear Rational Splines,stat
Improved Small Area Estimation via Compromise Regression Weights,stat
"Learning Hybrid Representation by Robust Dictionary Learning in
  Factorized Compressed Space",cs
Ground Metric Learning on Graphs,stat
HoughNet: Integrating near and long-range evidence for visual detection,cs
"Efficient Selection Between Hierarchical Cognitive Models:
  Cross-validation With Variational Bayes",stat
"Prediction meets causal inference: the role of treatment in clinical
  prediction models",stat
"Learning Models with Uniform Performance via Distributionally Robust
  Optimization",stat
"From English to Code-Switching: Transfer Learning with Strong
  Morphological Clues",cs
Spanish Biomedical and Clinical Language Embeddings,cs
Deep White-Balance Editing,cs
Adaptive Nonparametric Psychophysics,stat
"Fractional ridge regression: a fast, interpretable reparameterization of
  ridge regression",stat
"Quantifying the Privacy-Utility Trade-offs in COVID-19 Contact Tracing
  Apps",cs
"A Robust Consistent Information Criterion for Model Selection based on
  Empirical Likelihood",stat
Posterior Averaging Information Criterion,stat
Privacy vs National Security,cs
A Monte Carlo comparison of categorical tests of independence,stat
Pixel-aware Deep Function-mixture Network for Spectral Super-Resolution,cs
Bayesian Combinatorial Multi-Study Factor Analysis,stat
A Survey on Theorem Provers in Formal Methods,cs
Iterative Weak Learnability and Multi-Class AdaBoost,stat
"Secure and Robust MIMO Transceiver for Multicast Mission Critical
  Communications",cs
A New Foundation for Finitary Corecursion and Iterative Algebras,cs
Bayesian Optimization of Composite Functions,stat
"Beyond Safety Drivers: Staffing a Teleoperations System for Autonomous
  Vehicles",cs
"Sensitivity Analysis in the Dupire Local Volatility Model with
  Tensorflow",cs
A Unified MRC Framework for Named Entity Recognition,cs
Improved Mixed-Example Data Augmentation,cs
A Gaussian Process Model of Cross-Category Dynamics in Brand Choice,stat
Optimistic bounds for multi-output prediction,stat
"Uncertainty Quantification for High Dimensional Sparse Nonparametric
  Additive Models",stat
Deep Convolutional GANs for Car Image Generation,cs
Solving Interpretable Kernel Dimension Reduction,stat
"MultiMix: Sparingly Supervised, Extreme Multitask Learning From Medical
  Images",cs
V2: Fast Detection of Configuration Drift in Python,cs
Multi-Winner Contests for Strategic Diffusion in Social Networks,cs
Sparse Functional Boxplots for Multivariate Curves,stat
"Domain-independent Extraction of Scientific Concepts from Research
  Articles",cs
Scalable Anytime Planning for Multi-Agent MDPs,cs
Performance Analysis of Dual-Hop Mixed PLC/RF Communication Systems,cs
"Modelling dependence within and across run-off triangles for claims
  reserving",stat
"Boltzmann Generators -- Sampling Equilibrium States of Many-Body Systems
  with Deep Learning",stat
Transparency in Maintenance of Recruitment Chatbots,cs
"A Skeleton-bridged Deep Learning Approach for Generating Meshes of
  Complex Topologies from Single RGB Images",cs
"Weather and Light Level Classification for Autonomous Driving: Dataset,
  Baseline and Active Learning",cs
A Loss-Based Prior for Gaussian Graphical Models,stat
Color Filter Arrays for Quanta Image Sensors,cs
"A monotone data augmentation algorithm for longitudinal data analysis
  via multivariate skew-t, skew-normal or t distributions",stat
"Mixed projection- and density-based topology optimization with
  applications to structural assemblies",cs
Occlusion-Aware Depth Estimation with Adaptive Normal Constraints,cs
"The Changing Locus of Health Data Production and Use: Patient-Generated
  Health Data, Observations of Daily Living, and Personal Health Information
  Management",cs
Hierarchical Style-based Networks for Motion Synthesis,cs
Random weighting in LASSO regression,stat
Interpolation Consistency Training for Semi-Supervised Learning,stat
"A Workload and Programming Ease Driven Perspective of
  Processing-in-Memory",cs
GraphEBM: Molecular Graph Generation with Energy-Based Models,cs
Learning visual policies for building 3D shape categories,cs
Face Recognition using Compressive Sensing,cs
Discriminative Adversarial Domain Adaptation,cs
"Statistical post-processing of wind speed forecasts using convolutional
  neural networks",stat
On Exploiting Hitting Sets for Model Reconciliation,cs
Logically-Constrained Reinforcement Learning,cs
"Testing the Safety of Self-driving Vehicles by Simulating Perception and
  Prediction",cs
Object-Centric Representation Learning for Video Question Answering,cs
"A Low-Complexity MIMO Channel Estimator with Implicit Structure of a
  Convolutional Neural Network",cs
"Collaborative Metric Learning with Memory Network for Multi-Relational
  Recommender Systems",cs
"R-miss-tastic: a unified platform for missing values methods and
  workflows",stat
Pitfalls and Protocols in Practice of Manufacturing Data Science,stat
"The Medical Deconfounder: Assessing Treatment Effects with Electronic
  Health Records",stat
Outlier detection in non-elliptical data by kernel MRCD,stat
Global consensus Monte Carlo,stat
"$R^*$: A robust MCMC convergence diagnostic with uncertainty using
  decision tree classifiers",stat
"Bayesian Sparse Mediation Analysis with Targeted Penalization of Natural
  Indirect Effects",stat
