layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.07362482620639965,768,30522,39.7421875,0.1121219272783715,3.026439842002267,13.469259813908575,70.54553222656251,37.20157409101822,0.6632341655646533,True,28218.212890625,embedding,13.469310800682655,4.785980111438175,4.450529505650913,bert.embeddings.word_embeddings,768,0.0025000000000000005,61091.404739141464,768,355,93,0,1,0.10755225959680229,0.8127969712811484,28218.212890625,2.1649636345127297,success,167.98277282714844,1.702852725982666,,0,28218.212890625,36.3396110534668
4,Embedding,0.10008928743853074,512,768,1.5,2.2454838346596118,1.7128692535776024,1.7067992318474838,0.09304745961629157,0.0009495627555231434,0.626441881579793,True,9.918733596801758,embedding,2.466874578696836,2.006650095167363,0.9964562258809653,bert.embeddings.position_embeddings,512,0.009380981826782224,101.54302456302685,512,311,42,0,1,0.040423106819489185,0.37707488598617145,9.918733596801758,10.237498927864022,success,3.149402141571045,0.01961253583431244,over-trained,0,9.918733596801758,0.012228308245539665
13,Linear,0.040863506516528314,768,768,1.0,0.836720255483583,2.8940272295288754,4.038208192683265,5.803300686279918,0.0,0.9102801881519653,True,24.851890563964844,dense,4.7396315358062,3.0402006548382166,1.3953594325166918,bert.encoder.layer.0.attention.self.query,768,0.23351546118164082,1096.9849133545251,768,94,33,2,1,0.19535399255287622,1.0078312571420962,24.851890563964844,44.140903909546,success,4.985167026519775,0.00026299591991119087,,2,24.851890563964844,3.357222080230713
14,Linear,0.04635672430488669,768,768,1.0,0.8431951594316373,3.2038675833201404,5.024561548907113,5.712576085506778,0.0,0.909537335863822,True,37.00667190551758,dense,5.310438129017379,3.033505010627974,1.5682800297570985,bert.encoder.layer.0.attention.self.key,768,0.1543661126861573,1080.2020835305766,768,87,25,0,1,0.23627940612002007,1.0076602055449275,37.00667190551758,29.189387424204494,success,6.083311080932617,0.0024119061417877674,,0,37.00667190551758,3.5859546661376953
15,Linear,0.09201336945089567,768,768,1.0,1.252198821107756,4.263655857423201,2.964781251606973,2.6300794555620963,0.0,0.9362985878805664,True,4.958625316619873,dense,3.9954643918416775,2.690014638872715,0.6953612933945329,bert.encoder.layer.0.attention.self.value,768,0.5304049585571293,489.79532874384165,768,58,30,0,1,0.42853900871997974,1.0153779531307978,4.958625316619873,98.77643448925045,success,2.226797103881836,0.0010573744075372815,,0,4.958625316619873,2.149474620819092
18,Linear,0.060646075236936714,768,768,1.0,1.2624810574322853,2.4753989367967177,2.2364780826921775,2.5514421698328436,0.0,0.9173739627355708,True,8.007222175598145,dense,3.305311839921471,2.682911478868884,0.9034818790001926,bert.encoder.layer.0.attention.output.dense,768,0.31864260961914037,481.8495734515377,768,151,39,0,1,0.12006626268484082,1.0082952923733217,8.007222175598145,60.176870690557955,success,2.8297035694122314,0.0008155574323609471,,1,8.007222175598145,0.9592210650444031
22,Linear,0.05865879377593086,768,3072,4.0,0.4820740293625629,3.365277246064312,7.454362689049418,7.253325525793312,0.8059250584214792,0.9711841681650628,True,164.08969116210938,dense,7.520707815813668,3.5191337490519636,2.2150812976159058,bert.encoder.layer.0.intermediate.dense,768,0.044203419937133795,3304.7130014151335,768,223,66,0,1,0.15839067965781467,0.8655478079726115,164.08969116210938,20.139674698700624,success,12.809749603271484,0.46103253960609436,,0,164.08969116210938,4.791652679443359
25,Linear,0.037252881428065376,768,3072,4.0,0.5032377468445988,3.559843469719587,6.087628591031559,7.537913424783579,0.8375459360870644,1.0007150535808433,True,51.29596710205078,dense,6.3463279727520465,3.4818148016137997,1.7100832221454638,bert.encoder.layer.0.output.dense,768,0.14694943580627448,3032.597702488303,768,32,55,0,1,0.45252066905370514,0.9211015703633646,51.29596710205078,59.11961258972076,success,7.162120342254639,0.3977890610694885,,0,51.29596710205078,9.079798698425293
31,Linear,0.044368983777346216,768,768,1.0,0.8482929300088021,2.7293306336495515,3.5592847349740295,5.611369811256807,0.0,0.9149042504965805,True,20.141279220581055,dense,4.497996100669117,3.0282695251439677,1.3040870501697688,bert.encoder.layer.1.attention.self.query,768,0.27860046771621716,1067.2582611089713,768,134,29,0,1,0.1493914131800454,1.0047321457649663,20.141279220581055,52.98860362446145,success,4.487903594970703,0.0007831383845768869,,1,20.141279220581055,2.424001455307007
32,Linear,0.03223371189654434,768,768,1.0,0.8484568600723705,2.706160834618759,4.147987753061297,5.608018406614264,0.0,0.9028733610170957,True,34.10313034057617,dense,4.673497192982832,3.0281016891491412,1.5327942448940444,bert.encoder.layer.1.attention.self.key,768,0.1644429221191405,1066.8458917328658,768,110,30,0,1,0.16267605270450228,1.0046261650415977,34.10313034057617,31.282931539675236,success,5.839788436889648,0.0009577313903719187,,1,34.10313034057617,2.735790252685547
