layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.07358410028221807,768,30522,39.7421875,0.11212161142877836,3.026725154340335,13.47054488985736,70.5463525390625,37.20200667569486,0.6632323524783499,True,28218.541015625,embedding,13.470595822845022,4.785982558273186,4.450534555653508,bert.embeddings.word_embeddings,768,0.0025,61091.748931884766,768,355,93,0,1,0.1075674024034201,0.8127994072433666,28218.541015625,2.164950657727393,success,167.98374938964844,1.7028250694274902,,0,28218.541015625,36.342288970947266
4,Embedding,0.09958623000881706,512,768,1.5,2.2455322808149196,1.7123190464568752,1.7065039739671826,0.0930415852438965,0.0009495028067049656,0.6264327010122592,True,9.92210865020752,embedding,2.4664536643341877,2.006631355623902,0.9966039783872491,bert.embeddings.position_embeddings,512,0.009377198791503914,101.53864313763916,512,313,42,0,1,0.04026265300079073,0.37707111795672044,9.92210865020752,10.233575010843637,success,3.149937868118286,0.019319897517561913,over-trained,0,9.92210865020752,0.012105078436434269
13,Linear,0.04091619402518548,768,768,1.0,0.8367308847013485,2.892133858577494,4.0352002750550175,5.802735562671348,0.0,0.9102807643295586,True,24.844650268554688,dense,4.73741753230516,3.0401896208486083,1.3952328876782158,bert.encoder.layer.0.attention.self.query,768,0.2335607666015625,1096.9570429419896,768,94,33,1,1,0.1951587062502458,1.0077949870919847,24.844650268554688,44.152645784287145,success,4.984440803527832,0.00014544324949383736,,2,24.844650268554688,3.35530161857605
14,Linear,0.04663563129043402,768,768,1.0,0.8431974627201011,3.204397196096958,5.025312511160247,5.712249268213458,0.0,0.909541610330271,True,37.004554748535156,dense,5.311017118519502,3.0335026379765355,1.5682551829970433,bert.encoder.layer.0.attention.self.key,768,0.15436611268615738,1080.1961821522887,768,87,25,0,1,0.2363361865696837,1.0076341334062326,37.004554748535156,29.19089797168952,success,6.083137035369873,0.0021561591420322657,,0,37.004554748535156,3.586355209350586
15,Linear,0.09104397907773754,768,768,1.0,1.2522075317818537,4.257902023280085,2.9581318175555746,2.630430163542947,0.0,0.9363093136841435,True,4.951528549194336,dense,3.991764377543859,2.6900085967259364,0.6947392874194814,bert.encoder.layer.0.attention.self.value,768,0.5312359885253907,489.7885144857641,768,58,30,0,1,0.4277834932833807,1.015452712415012,4.951528549194336,98.91662940435992,success,2.225203037261963,0.000848416006192565,,1,4.951528549194336,2.148128032684326
18,Linear,0.06023835262660859,768,768,1.0,1.2624737848917973,2.518526985696087,2.2754346348573566,2.5514215059062866,0.0,0.9173710371608508,True,8.007157325744629,dense,3.330977405879029,2.682916482402651,0.9034783616695921,bert.encoder.layer.0.attention.output.dense,768,0.3186426096191404,481.85512490245463,768,138,39,0,1,0.1292656013707191,1.0082854010373214,8.007157325744629,60.1780513732624,success,2.8296921253204346,0.00043189150164835155,,1,8.007157325744629,1.0393438339233398
22,Linear,0.05882940497274047,768,3072,4.0,0.4820742099082179,3.3608938515161255,7.444178522319681,7.252382122351395,0.8058202358168217,0.971195840671278,True,164.03634643554688,dense,7.510838340169674,3.5191334237493663,2.214940087727422,bert.encoder.layer.0.intermediate.dense,768,0.04421204373264311,3304.7105260640383,768,223,66,0,1,0.15809714584783494,0.8654918415674219,164.03634643554688,20.146209043753146,success,12.80766773223877,0.46099039912223816,,0,164.03634643554688,4.788033485412598
25,Linear,0.03691753415075949,768,3072,4.0,0.5032363359394918,3.5608870907232846,6.089958300768943,7.540570515259503,0.8378411683621669,1.0007138475481647,True,51.314048767089844,dense,6.348111025081073,3.481817236841146,1.7102362825921436,bert.encoder.layer.0.output.dense,768,0.1469494358062744,3032.614707276225,768,32,55,0,1,0.4527051569258809,0.9212613158383207,51.314048767089844,59.09911184441923,success,7.163382530212402,0.397713303565979,,0,51.314048767089844,9.081245422363281
31,Linear,0.04431132986772646,768,768,1.0,0.8482742980955061,2.7304038917339772,3.5616524922121435,5.611548365787266,0.0,0.9149064044762721,True,20.157730102539062,dense,4.49923996147489,3.028288603049041,1.3044416260153626,bert.encoder.layer.1.attention.self.query,768,0.2783819575538635,1067.3051451930762,768,134,29,0,1,0.1494841285572089,1.0047260626960755,20.157730102539062,52.94768506988982,success,4.489736080169678,0.0005327555700205266,,1,20.157730102539062,2.4249181747436523
32,Linear,0.031873918496166054,768,768,1.0,0.8484376600887185,2.7082179888929985,4.151300917020626,5.607673678824637,0.0,0.9028777966560894,True,34.10776901245117,dense,4.67597416548581,3.02812134493058,1.5328533131550082,bert.encoder.layer.1.attention.self.key,768,0.16441045079135883,1066.8941773203926,768,110,30,0,1,0.1628721946685817,1.004572553835553,34.10776901245117,31.280092724062918,success,5.840185642242432,0.0008465033024549484,,1,34.10776901245117,2.737987756729126
