layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.07358726761790224,768,30522,39.7421875,0.11212154653314703,3.026785003083778,13.470820074102205,70.546826171875,37.20225644184745,0.6632295854587614,True,28218.73046875,embedding,13.470870995875387,4.785983061009855,4.450537471402077,bert.embeddings.word_embeddings,768,0.0025,61091.81965136528,768,355,93,0,1,0.10757057884491018,0.8128016652704052,28218.73046875,2.1649386289372448,success,167.98431396484375,1.7028303146362305,,0,28218.73046875,36.34254837036133
4,Embedding,0.10007213745525367,512,768,1.5,2.2455356483557534,1.7133237275186084,1.70721074218917,0.09304228859626457,0.0009495099845174012,0.6264483112493917,True,9.918182373046875,embedding,2.46717830171204,2.006630053034473,0.9964320897263871,bert.embeddings.position_embeddings,512,0.009380981826782228,101.5383385909081,512,311,42,0,1,0.04044887767237947,0.3770731086793123,9.918182373046875,10.237595435514807,success,3.1493146419525146,0.01994994282722473,over-trained,0,9.918182373046875,0.012239505536854267
13,Linear,0.04137467504872766,768,768,1.0,0.836733793449724,2.892554564790143,4.035867301929688,5.803105312572703,0.0,0.9102860030801873,True,24.846233367919922,dense,4.737863082099179,3.040186601356449,1.395260560010384,bert.encoder.layer.0.attention.self.query,768,0.2335607666015627,1096.9494162236817,768,94,33,1,1,0.19520209878286177,1.0078305984276987,24.846233367919922,44.14952560334566,success,4.984599590301514,6.23756495770067e-05,,2,24.846233367919922,3.355637550354004
14,Linear,0.046695615696321746,768,768,1.0,0.843200523125292,3.2022946485351214,5.022127718926898,5.712711523304005,0.0,0.9095316299456063,True,37.00754928588867,dense,5.308430565592564,3.03349948541801,1.5682903261960148,bert.encoder.layer.0.attention.self.key,768,0.15436611268615713,1080.188340999649,768,87,25,0,1,0.23611076981006993,1.0076785605918244,37.00754928588867,29.188324053966333,success,6.083383083343506,0.002278938191011548,,0,37.00754928588867,3.584695816040039
15,Linear,0.0914184621355868,768,768,1.0,1.252217823446338,4.256877576781814,2.9560182466227274,2.6304934182280744,0.0,0.9363073550140996,True,4.947775363922119,dense,3.991272290744856,2.6900014579815763,0.6944099738140621,bert.encoder.layer.0.attention.self.value,768,0.5316517474517826,489.7804636207301,768,58,30,0,1,0.4276489768680371,1.0154732676987033,4.947775363922119,98.9900364499328,success,2.2243595123291016,0.001100775902159512,,0,4.947775363922119,2.1478662490844727
18,Linear,0.060452011076894074,768,768,1.0,1.2624924950598901,2.4772938418362047,2.23723786011183,2.5511610520198946,0.0,0.9173735324325837,True,8.000138282775879,dense,3.306389485633504,2.6829036097986516,0.9030974938578777,bert.encoder.layer.0.attention.output.dense,768,0.31888961938476584,481.8408428000057,768,151,39,0,1,0.120220467870001,1.0082488781644812,8.000138282775879,60.22906426972624,success,2.828451633453369,0.0006101395701989532,,1,8.000138282775879,0.960043728351593
22,Linear,0.05887729105420936,768,3072,4.0,0.4820703648756431,3.359387621583299,7.441736122752622,7.2554110509160745,0.8061567834351194,0.9711837096436905,True,164.13687133789062,dense,7.508348656768326,3.519140351658203,2.2152061509488115,bert.encoder.layer.0.intermediate.dense,768,0.044203419937133774,3304.7632435560226,768,223,66,0,1,0.15799628123114853,0.8656656526943107,164.13687133789062,20.134191767021488,success,12.811591148376465,0.4611284136772156,,0,164.13687133789062,4.7867045402526855
25,Linear,0.03642310373829205,768,3072,4.0,0.5032379387627437,3.5581488636418377,6.083846362108964,7.535059635582287,0.8372288483980319,1.0007177855647578,True,51.26662063598633,dense,6.343255993033176,3.4818144703629113,1.7098346908066189,bert.encoder.layer.0.output.dense,768,0.14697788818740848,3032.5953894257545,768,32,55,0,1,0.452221102191451,0.9209275445015779,51.26662063598633,59.15340921256355,success,7.16007137298584,0.3978629410266876,,0,51.26662063598633,9.077160835266113
31,Linear,0.04463722448919516,768,768,1.0,0.8482703023023271,2.731613230792486,3.5631987981053705,5.61140075572524,0.0,0.9149036607544115,True,20.15719985961914,dense,4.5005118701336055,3.0282926945440196,1.304430201881702,bert.encoder.layer.1.attention.self.query,768,0.2783819575538636,1067.3152003385933,768,134,29,1,1,0.1495885995400557,1.0047081154069772,20.15719985961914,52.9495767156004,success,4.4896769523620605,0.0003764722205232829,,1,20.15719985961914,2.4259402751922607
32,Linear,0.032041820756699146,768,768,1.0,0.8484466624877868,2.7078836791198535,4.151262403705464,5.607718407747543,0.0,0.9028814078317206,True,34.121517181396484,dense,4.675520218231602,3.0281121287637798,1.533028333423374,bert.encoder.layer.1.attention.self.key,768,0.1643455177545548,1066.8715369904387,768,110,30,0,1,0.1628403194823904,1.0045872193728933,34.121517181396484,31.26682589518943,success,5.841362476348877,0.0008411568705923855,,1,34.121517181396484,2.7376437187194824
