layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.07359327418595052,768,30522,39.7421875,0.11212201361053452,3.026655588144282,13.47021945259682,70.5455029296875,37.201558641565484,0.663234726367266,True,28218.201171875,embedding,13.470270397028722,4.785979442638261,4.450529325292591,bert.embeddings.word_embeddings,768,0.0025,61091.310660362244,768,355,93,0,1,0.10756371021309598,0.8127974283488453,28218.201171875,2.1649611996264233,success,167.9827423095703,1.7026193141937256,,0,28218.201171875,36.34151840209961
4,Embedding,0.09968537563379076,512,768,1.5,2.245682908613255,1.7119459229261664,1.706160129844857,0.0930450908190061,0.0009495385816049414,0.6264770522457244,True,9.92248249053955,embedding,2.4660004944852845,2.006573093600014,0.9966203412129865,bert.embeddings.position_embeddings,512,0.009377198791503902,101.52502231052495,512,313,42,0,1,0.04024156281189563,0.3771035154260168,9.92248249053955,10.231816726038321,success,3.1499972343444824,0.019429635256528854,over-trained,0,9.92248249053955,0.012096978724002838
13,Linear,0.041348540046979076,768,768,1.0,0.8368119376211888,2.9026886064338258,4.050322080869333,5.801178723016381,0.0,0.9102996957119502,True,24.852445602416992,dense,4.7491674648354865,3.0401054859573184,1.3953691318771746,bert.encoder.layer.0.attention.self.query,768,0.23342486352539063,1096.7445525093806,768,92,33,2,1,0.19836899995181068,1.0077573958607415,24.852445602416992,44.13024657833747,success,4.985222816467285,0.0001209506081067957,,2,24.852445602416992,3.402523994445801
14,Linear,0.0467753299603787,768,768,1.0,0.8432540962591493,3.2042648326985455,5.024733905847771,5.711833689015479,0.0,0.9095404779340368,True,36.99468994140625,dense,5.311243157492115,3.0334443009709395,1.5681393917793232,bert.encoder.layer.0.attention.self.key,768,0.15439604164981846,1080.0510935517264,768,87,25,0,1,0.2363219957238245,1.007665154397246,36.99468994140625,29.19475998480746,success,6.0823259353637695,0.002096390351653099,,0,36.99468994140625,3.5853078365325928
15,Linear,0.09087696019883607,768,768,1.0,1.2523130816034067,4.229020715841247,2.9375485354826956,2.629687956279772,0.0,0.9363124390721923,True,4.950131416320801,dense,3.976134610625608,2.689935385581499,0.6946167287568729,bert.encoder.layer.0.attention.self.value,768,0.5312359885253904,489.70595539978797,768,60,30,0,1,0.4168647819003967,1.0153950227023514,4.950131416320801,98.9278696289165,success,2.224889039993286,0.0010578162036836147,,0,4.950131416320801,2.119093418121338
18,Linear,0.060496131117643404,768,768,1.0,1.2625979250233683,2.5192415001322885,2.274707163745717,2.5506909626073724,0.0,0.9173875393556183,True,7.997115135192871,dense,3.331050910321652,2.6828310775027333,0.9029333486393698,bert.encoder.layer.0.attention.output.dense,768,0.3189513867797848,481.7603764211664,768,138,39,0,1,0.1293264248787329,1.0082401719295202,7.997115135192871,60.24177072318061,success,2.8279170989990234,0.0008920858381316066,,1,7.997115135192871,1.0394238233566284
22,Linear,0.05864394596867861,768,3072,4.0,0.48208033648297205,3.363127764407895,7.450456426028679,7.257572793483498,0.8063969770537219,0.971170748038253,True,164.18577575683594,dense,7.516841160272749,3.519122385114041,2.2153355292882813,bert.encoder.layer.0.intermediate.dense,768,0.04420341993713379,3304.6265299916267,768,223,66,0,1,0.15824673971967915,0.8658125141322417,164.18577575683594,20.127361915236055,success,12.813499450683594,0.46106237173080444,,0,164.18577575683594,4.789524555206299
25,Linear,0.03652457757355121,768,3072,4.0,0.5032538652102588,3.559493673235432,6.086265272123639,7.535642178100236,0.8372935753444709,1.0007202729706697,True,51.27058410644531,dense,6.345367572504663,3.481786981740568,1.709868265221968,bert.encoder.layer.0.output.dense,768,0.14697788818740837,3032.403447702527,768,32,55,0,1,0.4524588331872098,0.9209922892916207,51.27058410644531,59.14509265989264,success,7.160347938537598,0.3976474702358246,,0,51.27058410644531,9.077606201171875
31,Linear,0.04455264649528412,768,768,1.0,0.8483197022046648,2.7305623425815044,3.560028213489512,5.61168834841086,0.0,0.9149128803116368,True,20.126630783081055,dense,4.499149604607158,3.028242112836145,1.3037710796684543,bert.encoder.layer.1.attention.self.query,768,0.2788190636024478,1067.1908987778554,768,134,29,1,1,0.14949781662562744,1.004792373194538,20.126630783081055,53.023822530443724,success,4.486271381378174,0.00024046619364526123,,1,20.126630783081055,2.4248709678649902
32,Linear,0.03213919122170428,768,768,1.0,0.8484938686666277,2.7066381720807597,4.148978544014694,5.6070396880772435,0.0,0.9028900449795746,True,34.11064910888672,dense,4.6738041881991705,3.0280638032447387,1.5328899838965613,bert.encoder.layer.1.attention.self.key,768,0.16437798266983028,1066.7528289373633,768,110,30,1,1,0.16272156504574858,1.004582313569542,34.11064910888672,31.273307802854042,success,5.840432167053223,0.0005223509506322443,,1,34.11064910888672,2.7360332012176514
