layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Embedding,0.07357824808422386,768,30522,39.7421875,0.11212115841753419,3.026921416334418,13.47144674838573,70.54787597656252,37.20281004723719,0.663226921923364,True,28219.150390625,embedding,13.471497642465819,4.785986067689052,4.450543934073969,bert.embeddings.word_embeddings,768,0.0025000000000000005,61092.24259972572,768,355,93,0,1,0.10757781890851394,0.8128048992997604,28219.150390625,2.1649214010362927,success,167.98556518554688,1.70304536819458,,0,28219.150390625,36.3437614440918
4,Embedding,0.09961458161358738,512,768,1.5,2.24532759573442,1.7120787775443007,1.7061570986959846,0.09306567448960489,0.0009497486409343757,0.6264361251279719,True,9.920675277709961,embedding,2.466384177980459,2.0067105329783455,0.9965412345938837,bert.embeddings.position_embeddings,512,0.009380981826782228,101.55715659883572,512,313,42,0,1,0.040249072198898686,0.37708555294313284,9.920675277709961,10.236919741443112,success,3.1497104167938232,0.01959826797246933,over-trained,0,9.920675277709961,0.012100567109882832
13,Linear,0.040793059038576496,768,768,1.0,0.8367496877422536,2.892731279894491,4.036078278294038,5.8018152926354984,0.0,0.9102903409030205,True,24.845529556274414,dense,4.737968389404739,3.0401701021113303,1.3952482577093195,bert.encoder.layer.0.attention.self.query,768,0.2335154611816405,1096.9077429023207,768,94,33,2,1,0.1952203255541777,1.0077377149889304,24.845529556274414,44.14909895230271,success,4.9845290184021,0.00014260383613873273,,2,24.845529556274414,3.3555920124053955
14,Linear,0.046461663313527746,768,768,1.0,0.8432177228353189,3.2036832695776476,5.024411748547986,5.712040293727367,0.0,0.9095478840483363,True,37.0103759765625,dense,5.310116896502674,3.0334817680120865,1.568323496976145,bert.encoder.layer.0.attention.self.key,768,0.15433618662357337,1080.144274713439,768,87,25,0,1,0.2362596456126531,1.0076399125205482,37.0103759765625,29.184904130600028,success,6.083615303039551,0.0018894808599725366,,0,37.0103759765625,3.5855154991149902
15,Linear,0.0909017244192949,768,768,1.0,1.2522010764882974,4.255794291556971,2.9588915645260196,2.630507167040697,0.0,0.9362973374544332,True,4.95749044418335,dense,3.990963804765078,2.6900130744271573,0.6952618857532977,bert.encoder.layer.0.attention.self.value,768,0.5306126550636291,489.79356437248043,768,58,30,0,1,0.4275067345493934,1.015462340674499,4.95749044418335,98.79869056473076,success,2.2265422344207764,0.0013743207091465592,,0,4.95749044418335,2.1479296684265137
18,Linear,0.060452432583379345,768,768,1.0,1.2624742525739499,2.476507001923342,2.2367358465943408,2.5516558501182076,0.0,0.9173721131753347,True,8.001689910888672,dense,3.3059430816848683,2.6829161606347967,0.9031817171755272,bert.encoder.layer.0.attention.output.dense,768,0.3188896193847656,481.8547678971535,768,151,39,0,1,0.1201564357460022,1.008332078255227,8.001689910888672,60.21912536768605,success,2.828725814819336,0.0005549949710257351,,1,8.001689910888672,0.9597481489181519
22,Linear,0.05892037302322284,768,3072,4.0,0.48207733518067536,3.361184974310818,7.445429638605285,7.253979781734152,0.8059977535260171,0.9711847160489062,True,164.1044921875,dense,7.511979410592472,3.519127792731754,2.2151204695694875,bert.encoder.layer.0.intermediate.dense,768,0.04420341993713378,3304.6676778048277,768,223,66,0,1,0.15811664087210406,0.8655927794088354,164.1044921875,20.13758205978317,success,12.810327529907227,0.46111738681793213,,0,164.1044921875,4.788046836853027
25,Linear,0.0365409325028605,768,3072,4.0,0.5032336984697426,3.5585966487156315,6.086599948518309,7.543297676686805,0.8381441862985338,1.0007134814152667,True,51.33260726928711,dense,6.3450228114092795,3.4818217891418373,1.7103933233666941,bert.encoder.layer.0.output.dense,768,0.14694943580627448,3032.6464954912663,768,32,55,0,1,0.4523002601569994,0.9214230656072672,51.33260726928711,59.07836474352889,success,7.164677619934082,0.3976587951183319,,0,51.33260726928711,9.077587127685547
31,Linear,0.04411842844011826,768,768,1.0,0.8482688231804166,2.729465769149908,3.5600810091147563,5.612103826805093,0.0,0.914898452575632,True,20.151817321777344,dense,4.498339713185757,3.0282942090967326,1.3043142175853495,bert.encoder.layer.1.attention.self.query,768,0.2784912019195556,1067.3189224857035,768,134,29,1,1,0.1494030871092387,1.0047693030367013,20.151817321777344,52.96390421980902,success,4.489077568054199,0.00036825440474785864,,1,20.151817321777344,2.424238681793213
32,Linear,0.031919537206053006,768,768,1.0,0.848432851619191,2.7086536690859875,4.152139116827637,5.608485871870351,0.0,0.9028754248839723,True,34.112709045410156,dense,4.676639122101384,3.0281262676203613,1.5329162100774376,bert.encoder.layer.1.attention.self.key,768,0.16441045079135894,1066.906270540659,768,110,30,0,1,0.1629137351450707,1.0046396065716787,34.112709045410156,31.275917404285153,success,5.840608596801758,0.0008633300312794745,,1,34.112709045410156,2.7383806705474854
