layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.06281723779385809,3,768,256.0,3.4114991709134768,24.09506829553415,-9.125857586996245,0.0153980035978358,0.011988065084820261,1.0979943790855204,True,0.41807693243026733,conv2d,-9.019792024165744,2.421530671218198,-0.37874379416835513,clip_model.visual.conv1,3072,0.036830550559983584,263.9554729294032,3072,31,1460,0,1024,4.147996716548405,0.3984267966741817,0.41807693243026733,631.3562228727588,success,0.6465886831283569,0.43649184703826904,under-trained,0,0.41807693243026733,0.3247302174568176
9,NonDynamicallyQuantizableLinear,0.05213887560295316,768,768,1.0,2.8561590436397566,3.9277404629871544,0.1904129253636245,0.49966102866471923,0.0,0.9752479466381814,True,1.1180957555770874,dense,0.6078976719141729,1.9737964455795545,0.04847899884372967,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.44688572170352897,94.14482350161236,768,199,5,0,1,0.2075420187353997,1.009462361066472,1.1180957555770874,84.20103826708564,success,1.0574004650115967,0.00023396559117827564,,2,1.1180957555770874,0.1837914139032364
12,Linear,0.0533221769683091,768,3072,4.0,1.227647042704125,2.8004254831429254,5.437247392902877,0.21853401184082039,0.024281556871202262,0.8324062513587343,True,87.41360473632812,dense,5.452531960948866,2.7072141760620068,1.9415790299124969,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.002500000000000001,509.5821139065956,768,158,365,0,1,0.14323416077299622,0.3825971954717706,87.41360473632812,5.829551537700389,success,9.34952449798584,0.018335748463869095,,0,87.41360473632812,0.873687744140625
14,Linear,0.020536300961313425,768,3072,4.0,1.8428637507614494,2.686051945587655,2.9892994110923783,0.11572775212486788,0.012858639124985324,0.9201908223667796,True,12.968719482421875,dense,3.132927647515651,2.3543747649811206,1.11289709642543,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008923606704711916,226.13863426772878,768,215,419,0,1,0.11498778829439595,0.4179465332620612,12.968719482421875,17.43723692799761,success,3.601210832595825,0.05959972366690636,,0,12.968719482421875,0.32309743762016296
18,NonDynamicallyQuantizableLinear,0.029554924314141418,768,768,1.0,2.972745206808555,4.01968539384014,0.7382004932920406,0.4547949697922263,0.0,0.9930355913896847,True,1.526322603225708,dense,0.8161854477787127,1.9390458449576962,0.18364633571156497,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.29796778795719153,86.90521632560234,768,85,6,0,1,0.3275308674770253,1.0023872135505654,1.526322603225708,56.937646171221026,success,1.2354443073272705,0.00045277050230652094,,2,1.526322603225708,0.19153767824172974
21,Linear,0.018576192639454092,768,3072,4.0,1.2504761177759773,3.1134998594178187,3.513061452527489,1.3416991348293823,0.14907768164770915,0.9927465391519285,True,13.437917709350586,dense,3.624054039606458,2.6912104164904758,1.1283319772445348,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09984427378177647,491.1457795663737,768,322,52,0,1,0.11778074239346215,0.9656321405261371,13.437917709350586,36.549247449596805,success,3.665776491165161,0.046408191323280334,,0,13.437917709350586,0.5778557658195496
23,Linear,0.03164322381676543,768,3072,4.0,1.7351288163907024,5.753493436419302,1.0250801227830426,0.5273957696444895,0.05859952996049884,1.0024027712104728,True,1.5071849822998047,dense,1.804182657587082,2.4066977751253327,0.1781665581287259,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.3499210620051027,255.09254996373784,768,87,133,0,1,0.5096279897454318,0.8400570566815979,1.5071849822998047,169.25098973219175,success,1.2276746034622192,0.04371899366378784,,0,1.5071849822998047,0.62943434715271
27,NonDynamicallyQuantizableLinear,0.031203917734161757,768,768,1.0,2.9541659058438205,4.133499986534675,0.08288929025464879,0.4695626764859766,0.0,0.9494125079036714,True,1.0472564697265625,dense,0.7813449652021441,1.9444914567870097,0.020053052019999917,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.4483740994300841,88.0017800269003,768,94,16,1,1,0.32319584612635066,1.0121658274796728,1.0472564697265625,84.0307819247729,success,1.023355484008789,3.1147148547461256e-05,,2,1.0472564697265625,0.27354609966278076
30,Linear,0.034933895653763924,768,3072,4.0,1.271255438164112,5.763787061111216,3.627287893153401,0.9807350222591336,0.10897055802879263,0.9901342425011788,True,4.259157657623291,dense,3.929081172213135,2.6768955725205665,0.6293237162814419,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.23026501977539063,475.22094382718205,768,68,163,0,1,0.5776940362033023,0.8393003551078386,4.259157657623291,111.57627447216086,success,2.063772678375244,0.12666800618171692,,0,4.259157657623291,1.4064017534255981
32,Linear,0.0542226339522629,768,3072,4.0,1.6436772452870172,4.897646988168447,1.2013837032084564,0.7131421415518285,0.07923801572798093,0.9974694802435004,True,1.759130835533142,dense,2.2539526509795773,2.4537281341976587,0.24529814135455547,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.4053946000757218,284.2681048663799,768,77,85,0,1,0.4441780976078478,0.9253655648708583,1.759130835533142,161.59577168700267,success,1.326322317123413,0.033510416746139526,,0,1.759130835533142,0.7805413603782654
36,NonDynamicallyQuantizableLinear,0.042007036440305345,768,768,1.0,2.988220039089899,4.510777116945349,-0.19468387938381965,0.45855385667826554,0.0,0.9520287567026092,True,0.9053995609283447,dense,0.5325659747388773,1.9345360724033636,-0.043159720450931416,clip_model.visual.transformer.resblocks.3.attn.out_proj,768,0.5064657378540043,86.00745015195199,768,63,16,0,1,0.44231634095303435,1.011760577338583,0.9053995609283447,94.99391634756802,success,0.9515248537063599,0.0001809657405829057,,2,0.9053995609283447,0.3175823390483856
