layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.07997588977962311,3,768,256.0,3.4112845274825134,23.8956442948434,-9.076402593976553,0.015363353584649965,0.01196108843095586,1.0979908302296955,True,0.4170277714729309,conv2d,-8.959714590643943,2.421585322493569,-0.3798350227340474,clip_model.visual.conv1,3072,0.03684012105569615,263.98869096813723,3072,19,1462,0,1024,5.2526210383408385,0.3979532159163298,0.4170277714729309,633.0242468882498,success,0.6457768678665161,0.43628180027008057,under-trained,0,0.4170277714729309,0.33168190717697144
9,NonDynamicallyQuantizableLinear,0.05060637254117073,768,768,1.0,2.8567964786558293,3.9129882398936915,0.1948080139731951,0.49949944345801633,0.0,0.9752595929234963,True,1.1214630603790283,dense,0.6131506248994292,1.9736026163014369,0.049784973025752736,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.4453998184204098,94.10281525048163,768,205,5,1,1,0.2034519237962254,1.0095243775005605,1.1214630603790283,83.91075780835534,success,1.058991551399231,5.5794323998270556e-05,,3,1.1214630603790283,0.18144191801548004
12,Linear,0.0518943423543321,768,3072,4.0,1.2280662359483658,2.806850343676719,5.439585885133211,0.21672445297241216,0.024080494774712462,0.8329181256382816,True,86.68978118896484,dense,5.4553598943187485,2.706917637673465,1.937967906763368,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.0025000000000000005,509.23428751833853,768,157,365,0,1,0.1442023561484205,0.3811399650745815,86.68978118896484,5.874213552440728,success,9.310734748840332,0.018369032070040703,,0,86.68978118896484,0.8788271546363831
14,Linear,0.02069891060378115,768,3072,4.0,1.8428782196975138,2.691017910134165,3.0022617089133936,0.1164013971774013,0.012933488575266812,0.9200998156572636,True,13.051494598388672,dense,3.1418863440658495,2.354367945427129,1.1156602479705202,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008918625855445868,226.1350833303295,768,214,418,0,1,0.11559560457143718,0.4191644813901129,13.051494598388672,17.326374510260916,success,3.612685203552246,0.05984461307525635,,0,13.051494598388672,0.3244331479072571
18,NonDynamicallyQuantizableLinear,0.03038003957336355,768,768,1.0,2.9738014935448467,4.008497212215582,0.7405715913419352,0.4545181375061032,0.0,0.9930321100551833,True,1.530207872390747,dense,0.8189972613894317,1.938737269558346,0.1847504319287291,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.29703032228946696,86.84349026586462,768,85,6,0,1,0.3263173387960385,1.0024381556059008,1.530207872390747,56.752740482365425,success,1.237015724182129,0.00048008188605308533,,2,1.530207872390747,0.1911170929670334
21,Linear,0.018778309057049636,768,3072,4.0,1.2509027990265293,3.1098012769056576,3.5090367805231737,1.3418467241546788,0.149094080461631,0.9927737009767111,True,13.439395904541016,dense,3.6202560016730634,2.6909140914304075,1.128379747793649,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09984427378177647,490.8107783899177,768,327,52,0,1,0.11667227720934087,0.9660147560293264,13.439395904541016,36.52030060548171,success,3.665978193283081,0.04628314450383186,,0,13.439395904541016,0.5726377964019775
23,Linear,0.03137984920676559,768,3072,4.0,1.7358833020758324,5.698325487358822,1.0157434669461793,0.5124058626987504,0.05693398474430562,1.0024121415604201,True,1.5074849128723145,dense,1.8014656706488823,2.4063201688667495,0.17825297435176474,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.3399077883455752,254.87085090042092,768,87,142,0,1,0.5037133647745284,0.8283927924000412,1.5074849128723145,169.07024987387635,success,1.2277967929840088,0.043597105890512466,,0,1.5074849128723145,0.6274740695953369
27,NonDynamicallyQuantizableLinear,0.031708676815818265,768,768,1.0,2.954118901501666,4.125658540435378,0.08214374215341622,0.46959201378887366,0.0,0.9494283862184468,True,1.046912670135498,dense,0.7817447413449554,1.9445052771948537,0.019910455833494073,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.448549365371704,88.00458052263195,768,93,16,1,1,0.32411569206530927,1.0121813407154203,1.046912670135498,84.06105211358445,success,1.023187518119812,2.7103806132799946e-05,,3,1.046912670135498,0.2742658853530884
30,Linear,0.03698867462216904,768,3072,4.0,1.2715425248013617,5.74278481664653,3.6005413760548595,1.016098424523378,0.11289982494704198,0.9901695426837855,True,4.2361159324646,dense,3.911363508266315,2.6766994418885126,0.626967837209923,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.23986558458805102,475.0063789524138,768,66,152,0,1,0.5837964544751626,0.8544910514927794,4.2361159324646,112.1325257677856,success,2.058182716369629,0.12626077234745026,,0,4.2361159324646,1.4129730463027954
32,Linear,0.05269072261438085,768,3072,4.0,1.6441266115369855,4.910774415674662,1.2025005234534412,0.7125768692475138,0.07917520769416819,0.9975011746024792,True,1.7573968172073364,dense,2.253492624625686,2.4534907024134904,0.2448698355223138,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.40547294855117777,284.1127360102255,768,77,85,0,1,0.4456741068138882,0.9252516326933302,1.7573968172073364,161.6668092421531,success,1.325668454170227,0.03358488529920578,,0,1.7573968172073364,0.7803870439529419
