layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.07997779559099183,3,768,256.0,3.411516766385483,24.588074143282228,-9.313872338601834,0.015396420012740579,0.011986832189849932,1.0979683040140455,True,0.4180263578891754,conv2d,-9.217411593483472,2.4215261913128487,-0.3787963337155668,clip_model.visual.conv1,3072,0.036831218228641896,263.95275014685467,3072,31,1461,0,1024,4.236543180734165,0.39840836319583617,0.4180263578891754,631.4260935116254,success,0.6465495824813843,0.4361535310745239,under-trained,0,0.4180263578891754,0.3250039517879486
9,NonDynamicallyQuantizableLinear,0.05045382110691754,768,768,1.0,2.855938428201885,3.8915500597748824,0.1985309874217236,0.49973927198838913,0.0,0.975260587133168,True,1.1246461868286133,dense,0.6183912690501212,1.973863539719884,0.051015915090967166,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.44435243531799323,94.15936905586348,768,208,5,1,1,0.20049292319402504,1.0094634162487233,1.1246461868286133,83.72354804437049,success,1.0604933500289917,6.859830818939372e-07,,4,1.1246461868286133,0.18020206689834595
12,Linear,0.05229091105058781,768,3072,4.0,1.2279796079834622,2.806367113715705,5.440773720769089,0.21710252761840823,0.024122503068712026,0.8327744041126366,True,86.84101104736328,dense,5.456488734088557,2.7069789102221753,1.9387248710897838,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.0025,509.30613803720917,768,157,365,0,1,0.14416379019901382,0.38144535941747154,86.84101104736328,5.864811244072602,success,9.318852424621582,0.018361706286668777,,0,86.84101104736328,0.8784249424934387
14,Linear,0.020863326635920054,768,3072,4.0,1.8430352507495469,2.6908433391373947,3.004616418318611,0.1166339045438355,0.012959322727092833,0.920140521555671,True,13.079998970031738,dense,3.1425992630462947,2.3542939363979167,1.1166077097902707,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008916965881347657,226.096550462069,768,213,418,0,1,0.11585467660640271,0.4196186576300244,13.079998970031738,17.285670356709545,success,3.6166281700134277,0.05977560207247734,,0,13.079998970031738,0.32532384991645813
18,NonDynamicallyQuantizableLinear,0.029652138531295003,768,768,1.0,2.9735158902644865,3.983665103761391,0.7321947987038654,0.45459711118228435,0.0,0.9930728262393862,True,1.526860237121582,dense,0.8136977303185582,1.9388206926688105,0.18379928523924474,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.29773328306674957,86.86017353089822,768,81,6,0,1,0.33151834486237675,1.0024289575892968,1.526860237121582,56.88809716771847,success,1.2356618642807007,0.0002476224326528609,,2,1.526860237121582,0.19367831945419312
21,Linear,0.01805694637738775,768,3072,4.0,1.2507998272419636,3.1102877045744535,3.5106538970180967,1.3426344106915304,0.14918160118794782,0.992767971526132,True,13.450028419494629,dense,3.621557503036099,2.6909855948575285,1.1287232019902227,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09982390882873529,490.8915934667457,768,322,52,0,1,0.11760173600249955,0.9662187041508493,13.450028419494629,36.49743912475617,success,3.6674280166625977,0.04642513394355774,,0,13.450028419494629,0.5770476460456848
23,Linear,0.029889754959578685,768,3072,4.0,1.7356454865453137,5.696465219811151,1.0124879392918933,0.511875198643989,0.05687502207155432,1.002414199761106,True,1.5057042837142944,dense,1.8009583210393854,2.4064391734656634,0.17773968596712666,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.33995732374572746,254.94069972564466,768,87,143,0,1,0.5035139231589274,0.8278502953213984,1.5057042837142944,169.3165799440731,success,1.2270714044570923,0.043612003326416016,,0,1.5057042837142944,0.6275343298912048
27,NonDynamicallyQuantizableLinear,0.03096311607690072,768,768,1.0,2.9539082045869183,4.137521526795711,0.08145405109320299,0.46971700458526594,0.0,0.9494374687504668,True,1.0463733673095703,dense,0.7797475449955141,1.944567229860828,0.01968667729356439,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.4488999999999998,88.01713538460436,768,92,16,0,1,0.32710923137563314,1.0122438358402701,1.0463733673095703,84.11637579319661,success,1.0229239463806152,0.00010640139225870371,,3,1.0463733673095703,0.2755550742149353
30,Linear,0.03796365175717331,768,3072,4.0,1.2715307854921933,5.756922305348041,3.61378575088296,1.0176814089102864,0.11307571210114292,0.9901654697953873,True,4.243544578552246,dense,3.9198305763758703,2.676707461031606,0.6277287688120856,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.23981871524429343,475.0151499118656,768,68,151,0,1,0.5768615622884306,0.8551485051243928,4.243544578552246,111.93829618585619,success,2.0599865913391113,0.12647107243537903,,0,4.243544578552246,1.4048521518707275
32,Linear,0.05242228001998789,768,3072,4.0,1.6440718311426745,4.904857970497497,1.2030790673527607,0.7131175432094768,0.07923528257883077,0.9974866589960163,True,1.7590701580047607,dense,2.253632405645511,2.453519643273822,0.2452831610189791,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.40539460007572187,284.13166957104113,768,77,85,0,1,0.4449998653109067,0.9255717475312415,1.7590701580047607,161.5237847553049,success,1.3262994289398193,0.03351343423128128,,0,1.7590701580047607,0.7802659869194031
