layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.079487639,3,768,256,3.411066124,24.65166027,-9.356820216,0.015372105,0.011967902,1.097966362,TRUE,0.417290539,conv2d,-9.255749885,2.421640935,-0.379561462,clip_model.visual.conv1,3072,0.036837895,264.0224974,3072,31,1461,0,1024,4.247963586,0.398041059,0.417290539,632.7066468,success,0.645980299,0.43609786,under-trained,0,0.417290539,0.325355351
9,NonDynamicallyQuantizableLinear,0.050468088,768,768,1,2.858599766,3.956035189,0.225480267,0.498825338,0,0.975256319,TRUE,1.140240669,dense,0.612377422,1.973054512,0.056996527,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.437473729,93.98412713,768,198,5,1,1,0.210076273,1.009479749,1.140240669,82.4248158,success,1.067820549,6.90E-05,,3,1.140240669,0.184178233
12,Linear,0.05243202,768,3072,4,1.228230597,2.780804929,5.390936069,0.217052269,0.024116919,0.832745037,TRUE,86.82090759,dense,5.40726208,2.706801396,1.938624321,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.0025,509.0980058,768,163,365,0,1,0.139483407,0.38147916,86.82090759,5.863771986,success,9.317773819,0.018301966,,0,86.82090759,0.85294652
14,Linear,0.020908855,768,3072,4,1.843813427,2.691330958,2.985037183,0.114771091,0.012752343,0.920172502,TRUE,12.85672855,dense,3.131991145,2.353927274,1.109130475,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008926928,225.905744,768,212,420,0,1,0.116161087,0.416429961,12.85672855,17.57101296,success,3.585628033,0.059654359,,0,12.85672855,0.326030761
18,NonDynamicallyQuantizableLinear,0.029554428,768,768,1,2.97604097,4.199677168,0.77525337,0.453839703,0,0.993051112,TRUE,1.529672027,dense,0.8360257,1.938083409,0.184598325,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.296690856,86.71283968,768,241,6,0,1,0.206109325,1.002444074,1.529672027,56.68721018,success,1.236799121,0.000547195,,2,1.529672027,0.140930474
21,Linear,0.018629957,768,3072,4,1.251552721,3.109049078,3.506621014,1.340016996,0.148890777,0.992759336,TRUE,13.4238081,dense,3.618177708,2.690462923,1.127875735,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.099823909,490.3011622,768,320,52,0,1,0.117899428,0.96585747,13.4238081,36.52474459,success,3.6638515,0.046061385,,0,13.4238081,0.577762961
23,Linear,0.032045086,768,3072,4,1.737215388,5.728744959,1.01298872,0.525795453,0.058421717,1.002430371,TRUE,1.502538443,dense,1.797459252,2.405653885,0.176825592,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.349938104,254.4801341,768,86,132,0,1,0.509913683,0.839790237,1.502538443,169.3668041,success,1.225780725,0.043583404,,0,1.502538443,0.628852963
27,NonDynamicallyQuantizableLinear,0.030606314,768,768,1,2.955590591,4.123890863,0.082274746,0.469176897,0,0.949408186,TRUE,1.047009826,dense,0.781288842,1.944072669,0.019950757,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.448111265,87.91696135,768,93,16,0,1,0.323932392,1.012237889,1.047009826,83.96956666,success,1.023234963,0.000329141,,4,1.047009826,0.273920476
30,Linear,0.037011734,768,3072,4,1.272271861,5.748190428,3.595392421,1.012827032,0.112536337,0.990171962,TRUE,4.221652508,dense,3.908637598,2.676201376,0.625482483,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.239912459,474.4619356,768,66,152,0,1,0.584461839,0.853603731,4.221652508,112.3877284,success,2.054666042,0.126274586,,0,4.221652508,1.411715865
32,Linear,0.051241326,768,3072,4,1.645240554,4.89623136,1.201673991,0.713218134,0.079246459,0.997489483,TRUE,1.759658337,dense,2.249848254,2.452902408,0.245428351,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.405316259,283.728138,768,77,85,0,1,0.444016772,0.926295033,1.759658337,161.2404705,success,1.326521158,0.03346432,,0,1.759658337,0.778512537
