layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.079344759,3,768,256,3.411582943,24.77865537,-9.402774881,0.015374759,0.011969968,1.097987292,TRUE,0.41737771,conv2d,-9.306527563,2.421509343,-0.379470748,clip_model.visual.conv1,3072,0.03683656,263.9425101,3072,31,1462,0,1024,4.270772579,0.39813573,0.41737771,632.3828598,success,0.646047771,0.435938537,under-trained,0,0.41737771,0.325144917
9,NonDynamicallyQuantizableLinear,0.051717069,768,768,1,2.856924646,3.961198306,0.200113834,0.499461256,0,0.975241577,TRUE,1.123358846,dense,0.603872005,1.973563649,0.050518509,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.444614166,94.09437218,768,195,5,1,1,0.212055815,1.009531076,1.123358846,83.76163373,success,1.059886217,5.21E-05,,3,1.123358846,0.185627669
12,Linear,0.052798803,768,3072,4,1.227920426,2.782499739,5.395323953,0.217250347,0.024138927,0.83276952,TRUE,86.90013885,dense,5.411478562,2.707020772,1.93902047,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.0025,509.3552329,768,163,365,0,1,0.139616155,0.381556806,86.90013885,5.861385719,success,9.322024345,0.018357567,,0,86.90013885,0.853881001
14,Linear,0.021540614,768,3072,4,1.842730466,2.696893792,3.006869933,0.116229665,0.012914407,0.920019267,TRUE,13.02981377,dense,3.146933144,2.354437588,1.114938208,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008920286,226.1713488,768,213,418,0,1,0.116269247,0.418821579,13.02981377,17.35798783,success,3.609683275,0.059766084,,0,13.02981377,0.326031119
18,NonDynamicallyQuantizableLinear,0.03138728,768,768,1,2.97407663,3.965332536,0.731681683,0.454455746,0,0.9930251,TRUE,1.529394865,dense,0.814929377,1.938656911,0.184519628,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.297147425,86.82742294,768,79,6,0,1,0.333625976,1.00246209,1.529394865,56.77240386,success,1.236687064,0.000621633,,2,1.529394865,0.194900334
21,Linear,0.017769796,768,3072,4,1.251042939,3.108265749,3.508960761,1.342946458,0.149216273,0.992752116,TRUE,13.45589924,dense,3.61998594,2.690816788,1.128912726,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.099803546,490.7008248,768,334,52,0,1,0.115359169,0.9665188,13.45589924,36.46733794,success,3.668228388,0.046264626,,0,13.45589924,0.566572487
23,Linear,0.030302459,768,3072,4,1.736060981,5.694858325,1.017611766,0.527928423,0.058658714,1.002409513,TRUE,1.509001136,dense,1.801736751,2.406231268,0.178689567,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.349852899,254.8186836,768,88,131,0,1,0.500473579,0.840932697,1.509001136,168.8657997,success,1.228414059,0.043694478,,0,1.509001136,0.625702918
27,NonDynamicallyQuantizableLinear,0.031285282,768,768,1,2.954087023,4.124772572,0.085128593,0.469552953,0,0.949409602,TRUE,1.048668861,dense,0.782688109,1.94451465,0.020638372,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.447760938,88.00647993,768,92,16,0,1,0.325780061,1.012128321,1.048668861,83.92208749,success,1.024045348,0.000145278,,3,1.048668861,0.275237709
30,Linear,0.034455493,768,3072,4,1.271690574,5.725078219,3.593103324,1.017596647,0.113066294,0.99015748,TRUE,4.242362022,dense,3.904446462,2.676598316,0.627607726,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.239865585,474.8957859,768,69,152,0,1,0.568832572,0.855220351,4.242362022,111.9413627,success,2.059699535,0.126066148,,0,4.242362022,1.398415923
32,Linear,0.050937159,768,3072,4,1.644230276,4.918448403,1.210836825,0.714319929,0.079368881,0.99748523,TRUE,1.762717366,dense,2.254692425,2.453435939,0.246182683,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.405237926,284.0769122,768,76,84,0,1,0.449476858,0.926440997,1.762717366,161.1585145,success,1.327673674,0.033488642,,0,1.762717366,0.783339441
