layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.07780683593937665,3,768,256.0,3.431265517926452,23.461279710454814,-8.982192531382335,0.015250183901760465,0.011872980546353301,1.0981597729033388,True,0.4141409993171692,conv2d,-8.87017237998326,2.4165125595615433,-0.3828517728885731,clip_model.visual.conv1,3072,0.03682365167154372,260.9231179477647,3072,19,1463,0,1024,5.15297096844595,0.39880714234757497,0.4141409993171692,630.0345012398475,success,0.6435378789901733,0.4352971017360687,under-trained,0,0.4141409993171692,0.32724717259407043
9,NonDynamicallyQuantizableLinear,0.0512765723200472,768,768,1.0,2.870115931700288,3.907297990399077,0.18964531901076012,0.49484765817928156,0.0,0.9751655370028351,True,1.1182429790496826,dense,0.6052485054952194,1.9695623412110232,0.04853618011135886,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.4425224816522599,93.23142906708915,768,205,5,1,1,0.2030544995324728,1.0094973969347605,1.1182429790496826,83.37314055512344,success,1.0574700832366943,8.659846207592636e-05,,3,1.1182429790496826,0.1796385943889618
12,Linear,0.05243631053804332,768,3072,4.0,1.2542497627927083,2.7959689445915705,5.23927659076942,0.18698551177978517,0.02077616797553169,0.8458422311354907,True,74.79420471191406,dense,5.258830741793227,2.6885931649019397,1.8738679486780792,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.0025000000000000005,488.19481762341456,768,165,382,0,1,0.13981599271114223,0.36157362820596844,74.79420471191406,6.52717439143583,success,8.648364067077637,0.018492070958018303,,0,74.79420471191406,0.8375568985939026
14,Linear,0.021062975465701017,768,3072,4.0,1.8576029089471062,2.7021240800468465,2.919286703560607,0.10775611082823242,0.011972901203136934,0.923048116011856,True,12.032818794250488,dense,3.0731965035864546,2.3474554550587428,1.080367376582498,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008955184372901914,222.564275220735,768,212,427,0,1,0.11690236177293917,0.4065206184164403,12.032818794250488,18.496437038267416,success,3.4688353538513184,0.05972505733370781,,0,12.032818794250488,0.32452768087387085
18,NonDynamicallyQuantizableLinear,0.03028611086945232,768,768,1.0,2.979502112162449,4.201313591246908,0.7675980125775483,0.4527384819054381,0.0,0.993031545048401,True,1.5230153799057007,dense,0.8287011381097927,1.9370738247688897,0.18270428900541386,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.29726455023288734,86.5114965277652,768,241,6,0,1,0.20621473629887369,1.002391573383425,1.5230153799057007,56.802772755401634,success,1.234105110168457,0.0001307502097915858,,3,1.5230153799057007,0.14072322845458984
21,Linear,0.0177162534368398,768,3072,4.0,1.2535530476969936,3.1149427383618997,3.5043206719845066,1.4251142647768273,0.15834602941964748,0.9929150482225629,True,13.33531379699707,dense,3.61523577279163,2.6890757858289867,1.125003239651004,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.10686769628906247,488.7376382424154,768,333,45,0,1,0.11589814813183852,0.9976456233348467,13.33531379699707,36.6498790866453,success,3.651754856109619,0.007381055038422346,,0,13.33531379699707,0.5660696029663086
23,Linear,0.030257716738415708,768,3072,4.0,1.7379522255796696,5.687991960746125,0.9989987462582004,0.5244811895735498,0.05827568773039443,1.0024265190222785,True,1.498417854309082,dense,1.7929515949318013,2.405285552045912,0.17563293920815534,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.3500233183055519,254.26439645094797,768,88,133,0,1,0.49974162215020823,0.8390957731620108,1.498417854309082,169.68857900334407,success,1.224098801612854,0.04362247884273529,,0,1.498417854309082,0.6240514516830444
27,NonDynamicallyQuantizableLinear,0.03165570919886898,768,768,1.0,2.959123247292792,4.125387522016888,0.07896871678771725,0.46802953907568495,0.0,0.9494248758437646,True,1.0450621843338013,dense,0.77579057677648,1.9430351122824092,0.019142133039930682,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.44784850709533713,87.70717286652221,768,93,16,1,1,0.3240875887644737,1.0122078245150845,1.0450621843338013,83.9253148581136,success,1.0222828388214111,8.142154911183752e-06,,3,1.0450621843338013,0.2733142077922821
30,Linear,0.035033715934500775,768,3072,4.0,1.2737668095385652,5.734992848791132,3.5851320532582203,1.0120118236020128,0.11244575817800141,0.9901792269460374,True,4.218254566192627,dense,3.898225066882112,2.6751813634052204,0.6251327853031104,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.23991245851135273,473.348890401423,768,67,152,0,1,0.5784714453678913,0.8542627363946638,4.218254566192627,112.21439649353952,success,2.0538389682769775,0.12521886825561523,,0,4.218254566192627,1.4024639129638672
32,Linear,0.052554677517920534,768,3072,4.0,1.6459996450220673,4.9233848384960535,1.2052258043922999,0.7121807101704302,0.07913119001893669,0.997501433186199,True,1.7570987939834595,dense,2.250217331727299,2.452501745599756,0.24479618066185138,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.4053162591705326,283.4665027096635,768,76,85,0,1,0.4500431059901037,0.9260481774630247,1.7570987939834595,161.32644543396796,success,1.3255560398101807,0.03345264494419098,,0,1.7570987939834595,0.7817292809486389
36,NonDynamicallyQuantizableLinear,0.04386242776392177,768,768,1.0,2.99261505617299,4.533957873488472,-0.2004318958168555,0.45736045786526097,0.0,0.9520544650012082,True,0.9032192230224609,dense,0.5206969059594155,1.9332595068534166,-0.044206827987716,clip_model.visual.transformer.resblocks.3.attn.out_proj,768,0.5063670548715585,85.75501097541037,768,59,16,1,1,0.4600821270015723,1.0119292930209185,0.9032192230224609,94.94373989123773,success,0.9503784775733948,4.3381409341236576e-05,,2,0.9032192230224609,0.3232244849205017
39,Linear,0.020564346636342046,768,3072,4.0,1.300966076771885,4.271362868697497,2.670948868598638,1.1685649253901182,0.12984054726556868,1.0029842823830286,True,4.220028400421143,dense,3.2549683372217655,2.6568292754292577,0.6253153737352952,clip_model.visual.transformer.resblocks.3.mlp.c_fc,768,0.27690925617313383,453.7632037065923,768,116,55,0,1,0.3037384171013161,0.9375644607068623,4.220028400421143,107.52610187678086,success,2.0542707443237305,0.13463331758975983,,0,4.220028400421143,0.9797924757003784
41,Linear,0.042978667832009765,768,3072,4.0,1.6430649162215683,6.042965165437338,1.562047574780797,0.7329308252678517,0.08143675836309465,1.0027813948518405,True,1.8133859634399414,dense,2.175802824912162,2.454051775206588,0.258490249739467,clip_model.visual.transformer.resblocks.3.mlp.c_proj,768,0.4041780625000002,284.480023526703,768,61,74,0,1,0.6456855253928774,0.937767024218046,1.8133859634399414,156.87781270075155,success,1.3466202020645142,0.0324731282889843,under-trained,0,1.8133859634399414,0.8180018663406372
45,NonDynamicallyQuantizableLinear,0.058120299447029566,768,768,1.0,2.969014570931764,5.390441634784483,-0.5347504890838136,0.4657593033031358,0.0,0.9532486813780743,True,0.795786440372467,dense,0.1913550590442011,1.940136562084466,-0.09920346519162222,clip_model.visual.transformer.resblocks.4.attn.out_proj,768,0.5852817787208558,87.12375038795665,768,47,16,1,1,0.6404117317298409,1.0131251641109609,0.795786440372467,109.48132057537757,success,0.89206862449646,3.529682362568565e-05,,3,0.795786440372467,0.3640705347061157
48,Linear,0.022773585347055647,768,3072,4.0,1.3066870844714413,4.513354884138272,3.05365716918858,1.1630111179654639,0.12922345755171824,1.0026754693023787,True,4.748785495758057,dense,3.443970325725603,2.6530180230768607,0.6765825527968892,clip_model.visual.transformer.resblocks.4.mlp.c_fc,768,0.24490706497573872,449.798520995304,768,93,58,0,1,0.36431793012965974,0.9394469756596107,4.748785495758057,94.71864361889901,success,2.179170846939087,0.15236340463161469,,0,4.748785495758057,1.0645889043807983
50,Linear,0.044188227592179496,768,3072,4.0,1.645580996905678,5.709093582333342,1.523006864412161,0.7635768692610119,0.08484187436233463,1.0084018012045652,True,1.8482835292816162,dense,2.036013242357049,2.4527226930260126,0.26676859337620085,clip_model.visual.transformer.resblocks.4.mlp.c_proj,768,0.41312756250000016,283.61075305438135,768,67,45,0,1,0.5753073463755072,0.9586374397884676,1.8482835292816162,153.4454798526577,success,1.359515905380249,0.03170044347643852,,0,1.8482835292816162,0.7332822680473328
54,NonDynamicallyQuantizableLinear,0.07943740054285803,768,768,1.0,2.9519644774337577,6.053007011080188,-0.6330347302091363,0.4713086953695686,0.0,0.9541115851883591,True,0.7859920263290405,dense,-0.023014630142174385,1.9451389658618374,-0.10458185973522739,clip_model.visual.transformer.resblocks.5.attn.out_proj,768,0.599635466495514,88.13308367715084,768,45,14,0,1,0.7532578111705556,1.0132902353920472,0.7859920263290405,112.12974270079377,success,0.886561930179596,0.0002969249035231769,under-trained,1,0.7859920263290405,0.38234785199165344
57,Linear,0.023724462735864815,768,3072,4.0,1.26052295459492,4.802236025065453,3.9120487258546905,1.2146377806855972,0.1349597534095108,1.0022416082139767,True,6.525753498077393,dense,4.001030231719013,2.684259702532346,0.8146306648477092,clip_model.visual.transformer.resblocks.5.mlp.c_fc,768,0.18612988998794575,483.34775139577687,768,52,68,0,1,0.5272752672996106,0.9261533297167088,6.525753498077393,74.06773049858228,success,2.5545554161071777,0.15528477728366852,,0,6.525753498077393,1.383649230003357
59,Linear,0.05808845915137223,768,3072,4.0,1.5541816222166545,4.730831223396317,1.4704594377229254,0.8279326594936364,0.09199251772151518,1.0097965469695551,True,2.045619010925293,dense,2.2170068387135036,2.5023576815554187,0.310824751145374,clip_model.visual.transformer.resblocks.5.mlp.c_proj,768,0.40473453515625,317.9491597149754,768,119,54,0,1,0.34200473751533267,0.9427749128334388,2.045619010925293,155.42931406917154,success,1.4302513599395752,0.03238413482904434,,0,2.045619010925293,0.6822706460952759
