layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.1062158370143449,3,32,10.666666666666666,24.492186961045896,2.0206651647814207,-4.062590116914714,0.0007881595427624444,0.00022237696019944376,0.788028620677915,True,0.009760651737451553,conv2d,-3.6801768904957965,-1.3466913677653212,-2.010521182688955,clip_model.visual.conv1,27,0.080748659409523,0.045009960544120986,27,19,8,0,9,0.23415664781444745,0.5264165541893724,0.009760651737451553,4.6113683547808675,success,0.09879601001739502,0.029858753085136414,,0,0.009760651737451553,0.0005277324235066772
6,Conv2d,0.07250970622240732,32,32,1.0,17.331819371710242,1.760254862766842,-2.1242023585002325,0.013304557404132552,0.0,0.7237180174549719,True,0.062121450901031494,conv2d,-1.1927060697164729,-0.018295820775472545,-1.2067584094960673,clip_model.visual.conv2,288,0.21417010084533677,0.9587473558852155,288,78,19,0,9,0.08608191212076463,0.9995726726868213,0.062121450901031494,15.433434698951888,success,0.24924175441265106,0.0005818087374791503,over-trained,14,0.062121450901031494,0.001568351173773408
9,Conv2d,0.11867471989266681,32,64,2.0,13.800251743647415,3.533589260271101,-4.5310594761300855,0.0069293682147030895,0.00020398155503072225,0.8741244401716647,True,0.052205655723810196,conv2d,-3.930458811030014,0.1796184700466541,-1.2822824449558285,clip_model.visual.conv3,288,0.132732136367798,1.512232160925123,288,33,60,0,9,0.44104127958252376,0.6729350374797672,0.052205655723810196,28.966826294175195,success,0.228485569357872,0.01953301578760147,,0,0.052205655723810196,0.014848070219159126
15,Conv2d,0.11809430450462544,64,64,1.0,12.428329589121741,2.4156789854356715,-3.291509616819363,0.02716748535002095,0.0,0.8240505960099207,True,0.043394945561885834,conv2d,-2.7960758528182494,-0.3826455497553515,-1.3625608521099646,clip_model.visual.layer1.0.conv1,64,0.6260518361816403,0.41433769934094755,64,23,2,0,1,0.29518947414103314,1.0242535714857648,0.043394945561885834,9.548063581507613,success,0.20831453800201416,0.00014154861855786294,,2,0.043394945561885834,0.0064818644896149635
18,Conv2d,0.07458145287895501,64,64,1.0,13.97559228321948,2.501786642245534,-2.367739764527435,0.020681576593359056,0.0,0.8711406521499944,True,0.11313069611787796,conv2d,-1.773310824173205,0.46968203887397764,-0.9464195405577102,clip_model.visual.layer1.0.conv2,576,0.18281136157608033,2.949049341090583,576,79,29,0,9,0.16896419809627697,1.004921291852932,0.11313069611787796,26.06763188319626,success,0.3363490700721741,0.001636731205508113,,9,0.11313069611787796,0.010449936613440514
22,Conv2d,0.07862475282510883,64,256,4.0,7.066844674279999,4.318469038490026,-4.290576252113017,0.03990007768953462,0.0044333419655038465,0.9438649086531933,True,0.10149834305047989,conv2d,-4.168838176914196,0.10772888229668783,-0.9935410475035473,clip_model.visual.layer1.0.conv3,64,0.3931106310739521,1.281530309934169,64,12,3,0,1,0.9579594963348276,0.9410683282523151,0.10149834305047989,12.626120500280521,success,0.3185880482196808,0.05484732612967491,,0,0.10149834305047989,0.03106975555419922
27,Conv2d,0.06253250344663097,64,256,4.0,6.325392445888628,3.2750766710520747,-2.5055607388365035,0.004979291023393372,0.0005532545581548191,0.9091339399947794,True,0.17177549004554749,conv2d,-2.377722337126434,0.20400502281100322,-0.7650388038187899,clip_model.visual.layer1.0.downsample.0,64,0.02898720313400403,1.599576528329635,64,25,50,0,1,0.45501533421041496,0.29756371464022036,0.17177549004554749,9.312018425361476,success,0.4144580662250519,0.016570167616009712,,0,0.17177549004554749,0.02636641077697277
31,Conv2d,0.1090164809183593,64,256,4.0,6.602070622233599,3.0995680377808243,-3.4722821823592853,0.04144313215623175,0.004604792461803528,0.946471539279791,True,0.07581460475921631,conv2d,-2.7517855008859144,0.1668196426647024,-1.120247124772041,clip_model.visual.layer1.1.conv1,64,0.5466378448829645,1.4683163766749203,64,27,6,0,1,0.40406205726489774,0.8960148180687953,0.07581460475921631,19.367196878994825,success,0.27534452080726624,0.06696359813213348,,0,0.07581460475921631,0.022188862785696983
34,Conv2d,0.08170727104467457,64,64,1.0,14.26195403521142,2.4912893250076458,-2.8659393431409694,0.019989102671773964,0.0,0.8785242645436627,True,0.0707320123910904,conv2d,-1.924706262517549,0.45206441856658297,-1.1503839856625941,clip_model.visual.layer1.1.conv2,576,0.2826033361139298,2.831812005146194,576,78,29,0,9,0.16885526539711532,1.0081976623124007,0.0707320123910904,40.03579015239353,success,0.2659549117088318,0.001559196156449616,,10,0.0707320123910904,0.010310240089893341
38,Conv2d,0.09173026583556843,64,256,4.0,6.961780830151958,7.040867387772552,-8.535320277710143,0.04506652053530246,0.005007391170589162,0.9614641530161676,True,0.06134030222892761,conv2d,-8.298070888709159,0.12073928045789602,-1.2122540885421187,clip_model.visual.layer1.1.conv3,64,0.7346967474517827,1.3205026602372527,64,8,2,0,1,2.1357691470713185,0.9852719117256657,0.06134030222892761,21.527488653528575,success,0.2476697415113449,0.06558187305927277,under-trained,0,0.06134030222892761,0.0372275747358799
