layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10833781945932142,3,32,10.666666666666666,24.5179332275341,2.0288522035583396,-4.079472226534225,0.0007877443471284522,0.0002222598139391172,0.7885960588678249,True,0.009755979292094707,conv2d,-3.701374629955879,-1.347603951733774,-2.010729130184726,clip_model.visual.conv1,27,0.0807447744140625,0.044915480313648004,27,19,8,0,9,0.23603488332368106,0.5268311050957577,0.009755979292094707,4.603892543113854,success,0.09877236187458038,0.029786914587020874,,0,0.009755979292094707,0.0005324497469700873
6,Conv2d,0.07695789154174837,32,32,1.0,17.332130480839844,1.763315503553554,-2.128791058792197,0.013319989684145333,0.0,0.7237958075743574,True,0.06204887107014656,conv2d,-1.197229011968723,-0.01831141195637778,-1.2072661157360165,clip_model.visual.conv2,288,0.21466933168029792,0.958712937453075,288,73,19,0,9,0.08933932220850004,1.0001701719199618,0.06204887107014656,15.450932803745054,success,0.2490961104631424,0.0004979507066309452,over-trained,14,0.06204887107014656,0.0017251124372705817
9,Conv2d,0.11892460444154024,32,64,2.0,13.802172949103982,3.5696976567236187,-4.576419273977827,0.0069309010835217144,0.00020402667847568766,0.8741139183334573,True,0.052237365394830704,conv2d,-3.9835825388231707,0.17949755763565753,-1.2820187349362828,clip_model.visual.conv3,288,0.13268090821838385,1.5118111972860788,288,33,60,0,9,0.44732694459729705,0.6731031576528523,0.052237365394830704,28.941183879761372,success,0.22855494916439056,0.019813301041722298,,0,0.052237365394830704,0.014931611716747284
15,Conv2d,0.1219870299074266,64,64,1.0,12.42898404957879,2.4485778274972176,-3.328106187550204,0.027162757129080242,0.0,0.8236051656016105,True,0.04373209923505783,conv2d,-2.8462112682359457,-0.3826912873711401,-1.3591996750832236,clip_model.visual.layer1.0.conv1,64,0.621117156601191,0.4142940657664411,64,23,2,0,1,0.3020493569166527,1.024218368448275,0.04373209923505783,9.473454808094882,success,0.2091222107410431,0.0003453180834185332,,2,0.04373209923505783,0.006594767794013023
18,Conv2d,0.07805023575714279,64,64,1.0,13.975871743402262,2.49161346336464,-2.36154458605371,0.02067685619296545,0.0,0.8713054603787271,True,0.11277236044406891,conv2d,-1.7624671090557356,0.46966467047922267,-0.9477973292312818,clip_model.visual.layer1.0.conv2,576,0.18335038932895653,2.948931404457606,576,79,30,0,9,0.16781962604899195,1.0048266952006903,0.11277236044406891,26.149416336108096,success,0.335815966129303,0.002025820082053542,,9,0.11277236044406891,0.010398078709840775
22,Conv2d,0.07595184038497738,64,256,4.0,7.066874141633402,4.232024324580308,-4.203498553180806,0.03992594868478999,0.004436216520532221,0.9438577489740911,True,0.10156415402889252,conv2d,-4.074524671130588,0.1077252604589688,-0.9932595445555876,clip_model.visual.layer1.0.conv3,64,0.39311063107395194,1.281519622541964,64,12,3,0,1,0.9330050569119298,0.9413772959704785,0.10156415402889252,12.617833868604892,success,0.31869131326675415,0.05485425516963005,,0,0.10156415402889252,0.03077484853565693
27,Conv2d,0.057078658776449354,64,256,4.0,6.326001953618219,3.203702350973755,-2.4547319345145406,0.004966676092030183,0.0005518528991144648,0.9090929824448664,True,0.17131002247333527,conv2d,-2.315517247024124,0.20392133058373252,-0.7662172279420505,clip_model.visual.layer1.0.downsample.0,64,0.028992326428555894,1.5992683060758281,64,26,50,0,1,0.43218158806790286,0.2972151763851307,0.17131002247333527,9.33552096360712,success,0.4138961434364319,0.016920877620577812,,0,0.17131002247333527,0.025507280603051186
31,Conv2d,0.10248383985527382,64,256,4.0,6.602134370325578,3.065696177151528,-3.4278502574160767,0.041556045366601596,0.004617338374066844,0.9465488189261966,True,0.07618489861488342,conv2d,-2.708055081269557,0.16681125580775968,-1.118131106064477,clip_model.visual.layer1.1.conv1,64,0.5454630264282223,1.4682880216278136,64,28,6,0,1,0.39037988349712627,0.8972432625791552,0.07618489861488342,19.272691154319787,success,0.27601611614227295,0.06710381805896759,,0,0.07618489861488342,0.021626807749271393
34,Conv2d,0.07909526777970255,64,64,1.0,14.26153869444834,2.594720564017857,-2.993529519791771,0.019984107123898684,0.0,0.8786988856374778,True,0.07019397616386414,conv2d,-2.0707534924145445,0.45208971423471694,-1.1537001561186877,clip_model.visual.layer1.1.conv2,576,0.2846983205118177,2.8319769500530727,576,77,28,0,9,0.18173527476751394,1.008042315949453,0.07019397616386414,40.34501398584363,success,0.2649414539337158,0.0014667240902781487,,10,0.07019397616386414,0.010847888886928558
38,Conv2d,0.10716142575151555,64,256,4.0,6.961308923122781,7.141103246629748,-8.647742210421333,0.04517222702003659,0.005019136335559622,0.961454973875128,True,0.06152034178376198,conv2d,-8.421710720244139,0.1207981600952332,-1.2109812604239611,clip_model.visual.layer1.1.conv3,64,0.7342648904457095,1.3206817000173032,64,7,2,0,1,2.321118852307667,0.9863598796164109,0.06152034178376198,21.467398615231545,success,0.24803294241428375,0.06504563242197037,under-trained,0,0.06152034178376198,0.03829120099544525
