layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10510901515712656,3,32,10.666666666666666,24.48974060199147,1.9977501300042053,-4.008928831682741,0.0007945876203255913,0.0002241906238942443,0.7879951440142335,True,0.009846415370702744,conv2d,-3.630301131261318,-1.346604605949947,-2.006721847478645,clip_model.visual.conv1,27,0.08069816175842287,0.0450189533730736,27,19,8,0,9,0.22889957829436314,0.5285060768626799,0.009846415370702744,4.572116011581642,success,0.0992291048169136,0.03007619082927704,over-trained,0,0.009846415370702744,0.0005158332642167807
6,Conv2d,0.07351910581341142,32,32,1.0,17.33487193947239,1.7502343989567928,-2.1077872620723075,0.01331816582087131,0.0,0.7234419694819453,True,0.062475744634866714,conv2d,-1.1783383907864187,-0.018448787590362697,-1.2042885589088124,clip_model.visual.conv2,288,0.21317338270568856,0.9584097262103285,288,79,18,0,9,0.08440796451247952,1.0002598826726945,0.062475744634866714,15.340509053740119,success,0.24995148181915283,0.0006277605425566435,over-trained,16,0.062475744634866714,0.001511851791292429
9,Conv2d,0.11666702422939468,32,64,2.0,13.805960559069156,3.550029421448736,-4.543101245230536,0.006967423550170689,0.00020510179951266873,0.8738361673713292,True,0.05251263082027435,conv2d,-3.9526112493434,0.17925923104000996,-1.2797362235315044,clip_model.visual.conv3,288,0.13268090821838371,1.5109817923839728,288,33,60,0,9,0.44390314430386024,0.6750594899279316,0.05251263082027435,28.773682993627602,success,0.22915634512901306,0.019147241488099098,,0,0.05251263082027435,0.014895017258822918
15,Conv2d,0.11983052957784257,64,64,1.0,12.434657095689735,2.428319267385294,-3.3021599851565515,0.027145755350142898,0.0,0.8237703040113855,True,0.04366624727845192,conv2d,-2.8148355013173547,-0.38308765291549873,-1.3598541301828775,clip_model.visual.layer1.0.conv1,64,0.621664490127563,0.41391612640207587,64,23,2,0,1,0.2978251551252749,1.024365122307808,0.04366624727845192,9.479086301202072,success,0.20896470546722412,7.51889674575068e-05,,1,0.04366624727845192,0.00650926074013114
18,Conv2d,0.07900729158967468,64,64,1.0,13.98711685859986,2.497846497676956,-2.370045778241278,0.02063557345429337,0.0,0.8711902705526161,True,0.1125030666589737,conv2d,-1.7710493612916431,0.4689660768043542,-0.9488356391977908,clip_model.visual.layer1.0.conv2,576,0.18342231964969635,2.944191650931418,576,79,29,0,9,0.1685208971980763,1.0046307771687184,0.1125030666589737,26.16987908299456,success,0.3354147672653198,0.0013019090984016657,,8,0.1125030666589737,0.010418026708066463
22,Conv2d,0.07975868612376735,64,256,4.0,7.069516989342823,4.33314570958838,-4.30872911129602,0.04069669302509567,0.004521854780566186,0.9439640776045802,True,0.10130592435598373,conv2d,-4.187781397845787,0.1074004889725407,-0.9943651564178119,clip_model.visual.layer1.0.conv3,64,0.4017207609901432,1.2805616424884647,64,12,3,0,1,0.9621962863395488,0.9507756346158904,0.10130592435598373,12.640540527409215,success,0.31828591227531433,0.05513110011816025,,0,0.10130592435598373,0.031038271263241768
27,Conv2d,0.057767518735289014,64,256,4.0,6.328031409966807,3.2435058884008665,-2.481463221035441,0.0049788526022571935,0.0005532058446952437,0.9091095165871914,True,0.17176873981952667,conv2d,-2.349600565352985,0.20364272164516328,-0.7650558705348511,clip_model.visual.layer1.0.downsample.0,64,0.02898578989103812,1.5982426712289453,64,26,50,0,1,0.43998770399293596,0.29767475287494316,0.17176873981952667,9.304618948175207,success,0.41444993019104004,0.01677555777132511,,0,0.17176873981952667,0.02568821795284748
31,Conv2d,0.10264104953859998,64,256,4.0,6.606122072844288,3.1258341634112927,-3.507494494824019,0.04128295350759016,0.004586994834176685,0.9464618058722633,True,0.07549206167459488,conv2d,-2.786745735510415,0.16628678469094954,-1.1220987139625513,clip_model.visual.layer1.1.conv1,64,0.5468515840187074,1.4665159294381738,64,27,6,0,1,0.40911697549933757,0.8948303709513279,0.07549206167459488,19.426094570837453,success,0.2747581899166107,0.06671017408370972,,0,0.07549206167459488,0.02230260521173477
34,Conv2d,0.08142015407348002,64,64,1.0,14.271112319820547,2.5972394862148676,-2.9927139745709006,0.01994914364317689,0.0,0.8785501625456636,True,0.07042595744132996,conv2d,-2.0759118992934,0.45150683494671673,-1.152267240065869,clip_model.visual.layer1.1.conv2,576,0.2832640743265153,2.8281786207036457,576,77,29,0,9,0.18202233259314224,1.0078362087842545,0.07042595744132996,40.15818490021564,success,0.2653788924217224,0.0014225246850401163,,9,0.07042595744132996,0.010857060551643372
38,Conv2d,0.10947913380652291,64,256,4.0,6.9652209344917955,6.449833765706092,-7.8258283409482825,0.04496299459947057,0.004995888288830064,0.9616175567868754,True,0.06118740141391754,conv2d,-7.545272464755729,0.12031018067386616,-1.2133379905941737,clip_model.visual.layer1.1.conv3,64,0.7348407280006402,1.3191985967569053,64,11,2,0,1,1.6431867064233407,0.9846258914557126,0.06118740141391754,21.559970946189644,success,0.24736087024211884,0.06531982123851776,under-trained,0,0.06118740141391754,0.0342731736600399
