layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10554020153963606,3,32,10.666666666666666,24.51601910739706,2.0049787347500425,-4.029106414263206,0.0007896947376544449,0.00022281011104628907,0.7878478534374579,True,0.009782487526535988,conv2d,-3.648382479499228,-1.3475361381659048,-2.009550697187573,clip_model.visual.conv1,27,0.08072535083866123,0.04492249425675254,27,19,8,0,9,0.23055793395698962,0.527441716547213,0.009782487526535988,4.592134069672538,success,0.09890645742416382,0.02996785379946232,,0,0.009782487526535988,0.0005195263656787574
6,Conv2d,0.07293708036883273,32,32,1.0,17.32843102227722,1.7544924472881802,-2.116102607690719,0.013306479527151535,0.0,0.7236897655108998,True,0.06221494451165199,conv2d,-1.1842253604164095,-0.018125996097406692,-1.20610528187879,clip_model.visual.conv2,288,0.21387915124893211,0.9591223337079015,288,78,18,0,9,0.08542944704999583,0.9994494453753062,0.06221494451165199,15.416269213713937,success,0.24942924082279205,0.0006388184847310185,over-trained,15,0.06221494451165199,0.001554239308461547
9,Conv2d,0.11736120681114204,32,64,2.0,13.80501404756834,3.5186259277212466,-4.507792174614093,0.00694387223268459,0.00020440851345613568,0.8741618548130147,True,0.05234523117542267,conv2d,-3.9100454187194456,0.179318781958133,-1.2811228778540424,clip_model.visual.conv3,288,0.13265529785156252,1.5111889940089895,288,33,60,0,9,0.4384364977269595,0.6738714019828895,0.05234523117542267,28.86965937631638,success,0.22879080474376678,0.01957903988659382,,0,0.05234523117542267,0.014801046811044216
15,Conv2d,0.11718818466444136,64,64,1.0,12.425413529006764,2.4318451452355783,-3.3137460882178886,0.0271409240801077,0.0,0.823466180797157,True,0.04338635504245758,conv2d,-2.8195508381803775,-0.38244172873465054,-1.3626468341169309,clip_model.visual.layer1.0.conv1,64,0.6255635914459231,0.4145321999768594,64,23,2,0,1,0.29856035147926374,1.0235125466569004,0.04338635504245758,9.554437093671527,success,0.20829391479492188,9.160175977740437e-05,,1,0.04338635504245758,0.006548732053488493
18,Conv2d,0.07457373884493346,64,64,1.0,13.979147203195435,2.517797118376844,-2.3816030282938168,0.02066938935378007,0.0,0.8712948759016863,True,0.11326417326927185,conv2d,-1.79429137824313,0.4694611271908997,-0.9459074406396858,clip_model.visual.layer1.0.conv2,576,0.1824883258066176,2.9475496356711215,576,78,29,0,9,0.1718566819628947,1.0048807010119094,0.11326417326927185,26.023671480510252,success,0.3365474343299866,0.0017997915856540203,,9,0.11326417326927185,0.010610970668494701
22,Conv2d,0.07975516722872134,64,256,4.0,7.067642191424047,4.32669016194923,-4.295886113577443,0.04003142686757602,0.004447936318619557,0.9438087263497472,True,0.1016528457403183,conv2d,-4.1756460995677225,0.10763086464707909,-0.9928804589146014,clip_model.visual.layer1.0.conv3,64,0.39380527496337925,1.2812411088962108,64,12,3,0,1,0.9603327302559339,0.942722409265227,0.1016528457403183,12.604085006820773,success,0.3188304305076599,0.054268352687358856,,0,0.1016528457403183,0.031042959541082382
27,Conv2d,0.059363307145492206,64,256,4.0,6.328019932639849,3.2363492165444763,-2.4756690307821185,0.004979921809430975,0.0005533246454923306,0.9092133249367905,True,0.17180772125720978,conv2d,-2.343375423948441,0.20364429703060696,-0.7649573223205642,clip_model.visual.layer1.0.downsample.0,64,0.028985436585679626,1.5982484687992837,64,25,50,0,1,0.44726984330889524,0.29770617398422655,0.17180772125720978,9.30254156858631,success,0.4144969582557678,0.01700305938720703,,0,0.17180772125720978,0.026122167706489563
31,Conv2d,0.10132387820318156,64,256,4.0,6.602829178008221,3.1366673131996192,-3.5152970321178607,0.04140699918634863,0.004600777687372071,0.946427298479515,True,0.07573369890451431,conv2d,-2.7999956839611055,0.16671985043833776,-1.1207108313096847,clip_model.visual.layer1.1.conv1,64,0.5467447092285156,1.4679790255613625,64,27,6,0,1,0.4112018161481582,0.8957270334632186,0.07573369890451431,19.383432300226122,success,0.2751975655555725,0.0667220875620842,,0,0.07573369890451431,0.022392109036445618
34,Conv2d,0.07977084902505538,64,64,1.0,14.26345297837621,2.5740266679488295,-2.964657590968318,0.01997640198828371,0.0,0.8785434546179163,True,0.07050847262144089,conv2d,-2.041192170831573,0.4519731339450603,-1.1517586930561103,clip_model.visual.layer1.1.conv2,576,0.28331917066955575,2.831216847407476,576,77,28,0,9,0.17937698644229172,1.0079832456557853,0.07050847262144089,40.15427851640248,success,0.26553431153297424,0.0017121274722740054,,9,0.07050847262144089,0.010762936435639858
38,Conv2d,0.1022513258911052,64,256,4.0,6.961283706963052,6.269829227711558,-7.599344476541628,0.045078902336280605,0.0050087669262534,0.9615020323066155,True,0.06136918067932129,conv2d,-7.305503376749443,0.12080130641698966,-1.2120496748067464,clip_model.visual.layer1.1.conv3,64,0.7345527810096739,1.3206912679597735,64,11,2,0,1,1.5889132961425094,0.9853368862502951,0.06136918067932129,21.520431808612827,success,0.24772803485393524,0.06511913985013962,under-trained,0,0.06136918067932129,0.03407726436853409
