layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.1086579824974856,3,32,10.666666666666666,24.532202064077843,2.014775678604508,-4.048283369767743,0.0007900795569726,0.0002229186867160037,0.7873473377114445,True,0.00978819653391838,conv2d,-3.669875856364019,-1.348109302197098,-2.009297319179325,clip_model.visual.conv1,27,0.0807175820627212,0.04486324649769813,27,19,8,0,9,0.2328055070210505,0.5279184600714397,0.00978819653391838,4.583402707765065,success,0.0989353135228157,0.02972346544265747,,0,0.00978819653391838,0.0005232933326624334
6,Conv2d,0.07351962030292991,32,32,1.0,17.337143043334482,1.7591818720146783,-2.120000008504741,0.013324191084599302,0.0,0.7232518416076551,True,0.0623583123087883,conv2d,-1.1909695463651897,-0.0185625770977838,-1.2051056472500146,clip_model.visual.conv2,288,0.2136714511871338,0.9581586461495983,288,78,18,0,9,0.0859604198421122,1.0006171978679403,0.0623583123087883,15.365371683007574,success,0.24971646070480347,0.0006079906597733498,over-trained,15,0.0623583123087883,0.0015620170161128044
9,Conv2d,0.11452878071092881,32,64,2.0,13.80857540420776,3.5461375525558263,-4.536329850980242,0.006937879167232947,0.00020423209408104278,0.8737158225036642,True,0.05257372930645943,conv2d,-3.9468815110462576,0.17909473610594603,-1.2792312153009262,clip_model.visual.conv3,288,0.13196475233459481,1.5104095958768085,288,33,60,0,9,0.4432256568896957,0.6737543065956658,0.05257372930645943,28.72936000169258,success,0.22928962111473083,0.019327454268932343,,0,0.05257372930645943,0.014880714006721973
15,Conv2d,0.11928276513784597,64,64,1.0,12.437744228527714,2.428231106778332,-3.3056884922240384,0.027112918364011133,0.0,0.8237431067203929,True,0.043515440076589584,conv2d,-2.8160214788322633,-0.38330326937260634,-1.3613566200500071,clip_model.visual.layer1.0.conv1,64,0.6230643265078072,0.41371067829807373,64,23,2,0,1,0.2978067723679714,1.0239995345302149,0.043515440076589584,9.507215773755707,success,0.20860354602336884,0.00029059001826681197,,1,0.043515440076589584,0.006513820495456457
18,Conv2d,0.07693157307764742,64,64,1.0,13.9870539556778,2.5328468388402126,-2.39872246894282,0.020643653135995244,0.0,0.8710954209593658,True,0.11296762526035309,conv2d,-1.8141421239749314,0.4689699830351596,-0.947046000634287,clip_model.visual.layer1.0.conv2,576,0.18273955116271975,2.944218132372754,576,77,29,0,9,0.17468410937856435,1.0048229162861815,0.11296762526035309,26.062494680111254,success,0.3361065685749054,0.0017972473287954926,,8,0.11296762526035309,0.010761143639683723
22,Conv2d,0.08135178350207861,64,256,4.0,7.071715502761092,4.353540618702468,-4.3383923180602935,0.0405188129534929,0.004502090328165877,0.9439955644112378,True,0.1008044108748436,conv2d,-4.216177645759992,0.10713041286590147,-0.9965204641534529,clip_model.visual.layer1.0.conv3,64,0.401954761719704,1.2797655430622399,64,12,3,0,1,0.968083789473107,0.9489905294363681,0.1008044108748436,12.695531197054134,success,0.3174971044063568,0.05490925535559654,,0,0.1008044108748436,0.031100766733288765
27,Conv2d,0.06092989987931907,64,256,4.0,6.331240468596922,3.2522031401260443,-2.490731099446689,0.0049699494968582095,0.0005522166107620232,0.9091076816322519,True,0.171451136469841,conv2d,-2.3600127493336873,0.2032023561965388,-0.7658596318033678,clip_model.visual.layer1.0.downsample.0,64,0.02898755645012855,1.5966229081968777,64,25,50,0,1,0.45044062802520884,0.2975593063436277,0.171451136469841,9.31240784442237,success,0.4140665829181671,0.016366945579648018,,0,0.171451136469841,0.02618728205561638
31,Conv2d,0.10178859779210703,64,256,4.0,6.60697219656675,3.0933724189816987,-3.464012599365487,0.041467931600649495,0.004607547955627721,0.9464709618677646,True,0.07588963955640793,conv2d,-2.745293675313025,0.16617501555206896,-1.1198175098832097,clip_model.visual.layer1.1.conv1,64,0.5464241475257876,1.4661385584622622,64,27,6,0,1,0.4028697098710739,0.8969482914049599,0.07588963955640793,19.319350665415897,success,0.2754807472229004,0.06660781055688858,,0,0.07588963955640793,0.02212369628250599
34,Conv2d,0.07878455248878868,64,64,1.0,14.271883393201051,2.5878657911338934,-2.9798894456506697,0.019954009557275647,0.0,0.8784190012707797,True,0.07055287063121796,conv2d,-2.0616872086667093,0.45145990603739783,-1.151485311123885,clip_model.visual.layer1.1.conv2,576,0.28282349646091476,2.827873030435013,576,77,28,0,9,0.18095410089815755,1.0080135753444708,0.07055287063121796,40.08161546276966,success,0.26561790704727173,0.0017839055508375168,,11,0.07055287063121796,0.010814264416694641
38,Conv2d,0.10901099793225921,64,256,4.0,6.96675197419157,7.061110816350951,-8.546211036455823,0.04516117165578301,0.005017907961753668,0.9614207575778735,True,0.061613935977220535,conv2d,-8.318350996163216,0.12011927530813739,-1.210321047032136,clip_model.visual.layer1.1.conv3,64,0.732970081192016,1.3186188363470137,64,7,2,0,1,2.290884555552614,0.9870103132393635,0.061613935977220535,21.401308250044668,success,0.24822154641151428,0.06529749929904938,under-trained,0,0.061613935977220535,0.03814568743109703
