layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.1085232462845307,3,32,10.666666666666666,24.505296898974624,1.991593838783945,-4.0004120806359795,0.0007533815985736949,0.00021256446274039688,0.7872985424666128,True,0.00980282947421074,conv2d,-3.618049715013013,-1.3471561731706498,-2.0086485520956456,clip_model.visual.conv1,27,0.07685348404312137,0.044961814222915564,27,19,8,0,9,0.2274872282261462,0.5149468143729465,0.00980282947421074,4.586615970542077,success,0.09900923818349838,0.02985929325222969,over-trained,0,0.00980282947421074,0.0005129792261868715
6,Conv2d,0.0706225817614256,32,32,1.0,17.33257878316741,1.749376092732715,-2.1106347820973967,0.013332939862717203,0.0,0.7236038670753328,True,0.06215739995241165,conv2d,-1.1772754866392185,-0.01833387805878918,-1.206507160390169,clip_model.visual.conv2,288,0.21450285682678233,0.9586633444076935,288,80,18,0,9,0.08378279420317686,1.000682137081269,0.06215739995241165,15.423157100227103,success,0.2493138611316681,0.0007091048173606396,over-trained,17,0.06215739995241165,0.0014847841812297702
9,Conv2d,0.1126414243571866,32,64,2.0,13.804432476903209,3.560652202518495,-4.556407884254168,0.0069660299270889806,0.00020506077507948445,0.8738361745208947,True,0.05252240225672722,conv2d,-3.967156610297725,0.17935537420644432,-1.279655418473998,clip_model.visual.conv3,288,0.13262968995666513,1.511316327269924,288,33,60,0,9,0.44575233313221446,0.674917263907753,0.05252240225672722,28.77469922039505,success,0.22917766869068146,0.018565015867352486,,0,0.05252240225672722,0.014923706650733948
15,Conv2d,0.12004037235947962,64,64,1.0,12.428218239857463,2.4225453378414836,-3.299626005454567,0.027167693739612125,0.0,0.8238832269690589,True,0.043446097522974014,conv2d,-2.8061309172635256,-0.3826377677622327,-1.3620492272786822,clip_model.visual.layer1.0.conv1,64,0.6253195405006405,0.4143451238009579,64,23,2,0,1,0.29662120758964045,1.0242483231320216,0.043446097522974014,9.536992904411147,success,0.20843727886676788,0.00014242333418224007,,1,0.043446097522974014,0.006505434866994619
18,Conv2d,0.07674462644257654,64,64,1.0,13.981644555470275,2.5188051444727124,-2.384344045998163,0.02065999046813148,0.0,0.8712038438501167,True,0.1130792424082756,conv2d,-1.795737279929884,0.46930596902162086,-0.9466171097952487,clip_model.visual.layer1.0.conv2,576,0.18270365124607077,2.946496767769292,576,79,29,0,9,0.17087892919104505,1.0048316824117305,0.1130792424082756,26.056919952920158,success,0.33627256751060486,0.0019155684858560562,,9,0.1130792424082756,0.010517549701035023
22,Conv2d,0.0820282384614085,64,256,4.0,7.068593621600553,4.374601224627831,-4.355277310205042,0.040606398767501356,0.004511822085277929,0.9439645338407484,True,0.10102231055498123,conv2d,-4.23568064248669,0.10751394501397105,-0.9955827026440717,clip_model.visual.layer1.0.conv3,64,0.40195476171970335,1.280896222917363,64,12,3,0,1,0.9741634627232596,0.9495962546694148,0.10102231055498123,12.67933999807139,success,0.3178400695323944,0.054403387010097504,,0,0.10102231055498123,0.031170334666967392
27,Conv2d,0.0579898957948089,64,256,4.0,6.329000976237085,3.21783929049498,-2.4620983090537365,0.004977824854032908,0.0005530916504481009,0.9091087415901683,True,0.17173537611961365,conv2d,-2.3270459313804164,0.20350964865648905,-0.7651402344195404,clip_model.visual.layer1.0.downsample.0,64,0.02898543658567967,1.5977530257077888,64,26,50,0,1,0.43495407000948777,0.2976896322017718,0.17173537611961365,9.303575429880878,success,0.41440966725349426,0.016835421323776245,,0,0.17173537611961365,0.02554628811776638
31,Conv2d,0.10143853713388584,64,256,4.0,6.60465310768007,3.1135038962155295,-3.480660389677915,0.04162470917333573,0.004624967685926192,0.9464751476909319,True,0.07622125744819641,conv2d,-2.7703266245818488,0.1664799492732968,-1.1179238907999007,clip_model.visual.layer1.1.conv1,64,0.5461036798248292,1.4671683483757079,64,27,6,0,1,0.4067440144711196,0.8983268064020496,0.07622125744819641,19.248807976867415,success,0.27608197927474976,0.0667884573340416,,0,0.07622125744819641,0.022248269990086555
34,Conv2d,0.07911228451422336,64,64,1.0,14.266331901498482,2.5921417841216554,-2.984792741135746,0.01996214087692052,0.0,0.8784397655965176,True,0.07055415213108063,conv2d,-2.0666797522911597,0.45179783638353493,-1.1514774228089302,clip_model.visual.layer1.1.conv2,576,0.282933608780861,2.8300742925745195,576,77,29,0,9,0.18144139552398028,1.0078267606983444,0.07055415213108063,40.112087057847454,success,0.26562032103538513,0.0016058017499744892,,10,0.07055415213108063,0.01084163598716259
38,Conv2d,0.12235461282760068,64,256,4.0,6.963587364796672,7.055790867057809,-8.529880904550687,0.04522876727276825,0.0050254185858631395,0.9613928467122465,True,0.06181314215064049,conv2d,-8.304706760039357,0.12051391678463874,-1.2089191793332672,clip_model.visual.layer1.1.conv3,64,0.7317014747858049,1.3198176040314138,64,7,2,0,1,2.2888738037215957,0.9873000183071932,0.06181314215064049,21.351731332715275,success,0.24862249195575714,0.06567636877298355,under-trained,0,0.06181314215064049,0.038193926215171814
