layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.1080431438054168,3,32,10.666666666666666,24.5401145283698,2.001558314393187,-4.0235655659095535,0.0007505951343516692,0.0002117782698317546,0.7873619394708115,True,0.00976750161498785,conv2d,-3.641824265914674,-1.3483894063249362,-2.010216508295627,clip_model.visual.conv1,27,0.0768461745836735,0.04483432066626847,27,19,8,0,9,0.22977323571067584,0.5147239313738992,0.00976750161498785,4.590152367875932,success,0.09883067011833191,0.02971510961651802,,0,0.00976750161498785,0.0005164872272871435
6,Conv2d,0.08296556456576953,32,32,1.0,17.33260256637901,1.755667696790125,-2.114049281629993,0.01331530262581307,0.0,0.7234836763748415,True,0.0624987930059433,conv2d,-1.1858984079751511,-0.018335069908034712,-1.204128369790647,clip_model.visual.conv2,288,0.2130489563941956,0.9586607135185997,288,78,18,0,9,0.08556251785204003,1.00002142316848,0.0624987930059433,15.338867639050825,success,0.2499975860118866,0.0005998113774694502,over-trained,16,0.0624987930059433,0.001553980284370482
9,Conv2d,0.11200434796237757,32,64,2.0,13.806345777436377,3.5905613651797132,-4.595287190079426,0.006931095586732822,0.00020403240411563507,0.8737367610593006,True,0.05250199884176254,conv2d,-4.011139005091564,0.17923499572852483,-1.2798241619383728,clip_model.visual.conv3,288,0.13201584205627434,1.510897476109676,288,33,60,0,9,0.450958850059877,0.6733161052792043,0.05250199884176254,28.777903878734566,success,0.22913314402103424,0.019357219338417053,,0,0.05250199884176254,0.014992738142609596
15,Conv2d,0.12050461528504264,64,64,1.0,12.430093094177389,2.4325908391786593,-3.312276111876548,0.027162426804335022,0.0,0.823791244155515,True,0.04348857328295708,conv2d,-2.8221417225049,-0.38276878855059093,-1.361624839874389,clip_model.visual.layer1.0.conv1,64,0.6245876733551023,0.4142201403187684,64,23,2,0,1,0.2987158394148712,1.0243035316714058,0.04348857328295708,9.524804081836802,success,0.20853914320468903,0.00032410406856797636,,1,0.04348857328295708,0.006540325004607439
18,Conv2d,0.07451250419573108,64,64,1.0,13.98197087178188,2.5050047376726887,-2.370956827827371,0.02065395530806439,0.0,0.8712276724875943,True,0.11311287432909012,conv2d,-1.7789022673391564,0.4692856973405344,-0.9464879615477867,clip_model.visual.layer1.0.conv2,576,0.18259597265625008,2.9463592365519222,576,79,29,0,9,0.16932626211918866,1.00470835510869,0.11311287432909012,26.047956556914972,success,0.3363225758075714,0.001914104213938117,,8,0.11311287432909012,0.01045574713498354
22,Conv2d,0.08142753966503002,64,256,4.0,7.068909725334283,4.350909901686649,-4.3316325267782965,0.04059976682566046,0.004511085202851163,0.943871974085104,True,0.10102541744709015,conv2d,-4.209767947256606,0.10747510304762897,-0.9955693463335383,clip_model.visual.layer1.0.conv3,64,0.4018767539062504,1.2807816686108708,64,12,3,0,1,0.9673243668844845,0.9495611682171663,0.10102541744709015,12.677816147423021,success,0.317844957113266,0.054382506757974625,,0,0.10102541744709015,0.03112325444817543
27,Conv2d,0.06123449736147679,64,256,4.0,6.32906178885308,3.2511246085788974,-2.486789978144764,0.004980440926159868,0.0005533823251288742,0.9091126689676995,True,0.17182981967926025,conv2d,-2.3565598582397667,0.20350130280324202,-0.7649014656598375,clip_model.visual.layer1.0.downsample.0,64,0.028984729981422448,1.5977223219233565,64,25,50,0,1,0.4502249217157795,0.2977707077321531,0.17182981967926025,9.298283178703706,success,0.4145236015319824,0.01638849824666977,,0,0.17182981967926025,0.02618660219013691
31,Conv2d,0.10391155458845949,64,256,4.0,6.603951443682807,3.0649261422801497,-3.4267808645906026,0.04155441868273586,0.004617157631415095,0.9464709584410571,True,0.0761968269944191,conv2d,-2.707476734927607,0.1665722311797656,-1.1180631132733434,clip_model.visual.layer1.1.conv1,64,0.5453562874183651,1.467480135615915,64,28,6,0,1,0.39023436058494665,0.8974726404801443,0.0761968269944191,19.259071453505513,success,0.27603772282600403,0.06653164327144623,,0,0.0761968269944191,0.02161511965095997
34,Conv2d,0.07615748236504005,64,64,1.0,14.267597713931881,2.590406614592382,-2.9826293738753558,0.019961190039562735,0.0,0.8784730441470882,True,0.07056452333927155,conv2d,-2.064207409605266,0.4517207722899847,-1.1514135877639784,clip_model.visual.layer1.1.conv2,576,0.2828785499420168,2.8295721499731976,576,77,29,0,9,0.18124365460416908,1.0078921775634497,0.07056452333927155,40.099075513749625,success,0.2656398415565491,0.0014049751916900277,,9,0.07056452333927155,0.010825680568814278
38,Conv2d,0.10628643900084322,64,256,4.0,6.964807222898142,7.186001398623487,-8.70871139172417,0.04503265160964663,0.005003627956627403,0.9613815469204839,True,0.061390407383441925,conv2d,-8.48334702377375,0.1203617735810005,-1.2118994846553142,clip_model.visual.layer1.1.conv3,64,0.7335454109039311,1.3193553229793906,64,7,2,0,1,2.338088758665069,0.9853297623406841,0.061390407383441925,21.491229317615574,success,0.24777087569236755,0.06552590429782867,under-trained,0,0.061390407383441925,0.03831082209944725
