layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10714367030476168,3,32,10.666666666666666,24.517470077241487,2.017977285324726,-4.05306925512879,0.0007535287644367843,0.00021260598516765095,0.7870827270935332,True,0.009806609712541103,conv2d,-3.6748889383204224,-1.347587543701795,-2.0084811085852157,clip_model.visual.conv1,27,0.07683886547183989,0.04491717729251832,27,19,8,0,9,0.2335400059763343,0.5152529353036965,0.009806609712541103,4.580296209308335,success,0.0990283265709877,0.029805125668644905,,0,0.009806609712541103,0.0005249014357104897
6,Conv2d,0.07446511590177896,32,32,1.0,17.33749940931987,1.757368921257473,-2.1175795238327195,0.01332312577555202,0.0,0.7233375490388169,True,0.06237757205963135,conv2d,-1.1884539498881193,-0.01858043081105099,-1.2049715334202566,clip_model.visual.conv2,288,0.21358839941406274,0.9581192573504653,288,78,18,0,9,0.08575514359147034,1.0005977628175977,0.06237757205963135,15.359996000397837,success,0.24975502490997314,0.00043288004235364497,over-trained,15,0.06237757205963135,0.001557759940624237
9,Conv2d,0.11535901612788857,32,64,2.0,13.80359862390553,3.5621596619468234,-4.559983693017525,0.006958618665629719,0.00020484260791180643,0.8738400756267037,True,0.05246652290225029,conv2d,-3.970892846715609,0.17940784267178292,-1.280117716712721,clip_model.visual.conv3,288,0.132629689956665,1.5114989251196675,288,33,60,0,9,0.4460147481359462,0.6745173946714642,0.05246652290225029,28.808825923831886,success,0.229055717587471,0.019315749406814575,,0,0.05246652290225029,0.01491883397102356
15,Conv2d,0.11943389781274905,64,64,1.0,12.432668165880148,2.4141483928850063,-3.2841034363735018,0.02711700050832817,0.0,0.8238151944849272,True,0.04361572489142418,conv2d,-2.7921189519695884,-0.3829487105509377,-1.3603569051730344,clip_model.visual.layer1.0.conv1,64,0.6217253198435314,0.414048570373339,64,23,2,0,1,0.2948703235321711,1.0236586750358385,0.04361572489142418,9.493103035752826,success,0.20884378254413605,0.0003001526347361505,,2,0.04361572489142418,0.006469905376434326
18,Conv2d,0.07793804684200747,64,64,1.0,13.982730913246133,2.506591270104514,-2.371059404039106,0.020660198814052802,0.0,0.871179968501113,True,0.11325833946466446,conv2d,-1.7809060885640835,0.4692384832752372,-0.9459298100644239,clip_model.visual.layer1.0.conv2,576,0.1824165788736342,2.94603894227731,576,79,29,0,9,0.169504760963536,1.0049148236825927,0.11325833946466446,26.01167345559085,success,0.33653876185417175,0.0017068941378965974,,8,0.11325833946466446,0.010463020764291286
22,Conv2d,0.08347338267441418,64,256,4.0,7.068330457648829,4.423094748519151,-4.395464258478188,0.03995890226774775,0.004439878029749751,0.943866806179648,True,0.10144878923892975,conv2d,-4.281472315867133,0.10754628320902454,-0.9937531317749377,clip_model.visual.layer1.0.conv3,64,0.3938824954690933,1.280991603853181,64,12,3,0,1,0.9881623372595633,0.9419597826747086,0.10144878923892975,12.626977743777902,success,0.3185102641582489,0.0545455664396286,,0,0.10144878923892975,0.03133568912744522
27,Conv2d,0.060528965909370624,64,256,4.0,6.329134028557539,3.2511061037834526,-2.4885075068856093,0.004974700169887933,0.0005527444633208815,0.9091444937197928,True,0.1716192066669464,conv2d,-2.3578591142993814,0.20349138881376877,-0.7654341099448049,clip_model.visual.layer1.0.downsample.0,64,0.028986849820032717,1.5976858498470392,64,25,50,0,1,0.4502212207566905,0.29760244080729475,0.1716192066669464,9.309481618497372,success,0.41426947712898254,0.016738027334213257,,0,0.1716192066669464,0.026201941072940826
31,Conv2d,0.10311428410059009,64,256,4.0,6.605416875899483,3.120001377311851,-3.4955538651813325,0.04142337301070423,0.004602597001189358,0.9464933878029345,True,0.07579327374696732,conv2d,-2.779459353000191,0.1663795106461204,-1.1203693340010805,clip_model.visual.layer1.1.conv1,64,0.546530990982055,1.4668290778063238,64,27,6,0,1,0.4079944552911248,0.8962552288742086,0.07579327374696732,19.35302442144499,success,0.27530577778816223,0.06670551747083664,,0,0.07579327374696732,0.02228640764951706
34,Conv2d,0.08274457824439307,64,64,1.0,14.268327740980604,2.584056090120088,-2.979678807954383,0.019957359668983682,0.0,0.8784682606245539,True,0.07029081135988235,conv2d,-2.056200130747859,0.4516763305255891,-1.153101443636198,clip_model.visual.layer1.1.conv2,576,0.28392558405399354,2.829282611997998,576,77,29,0,9,0.18051994517448544,1.0078470359091867,0.07029081135988235,40.25110191874634,success,0.2651241421699524,0.0015298810321837664,,10,0.07029081135988235,0.010803092271089554
38,Conv2d,0.10495121675079794,64,256,4.0,6.965115602619419,7.025067173690352,-8.509795422098414,0.04508111322309134,0.005009012580343481,0.9614855783562362,True,0.06146852672100067,conv2d,-8.27626844274827,0.12032331604954649,-1.2113471959340876,clip_model.visual.layer1.1.conv3,64,0.7334015573158257,1.3192384969443083,64,7,2,0,1,2.2772613391490677,0.9859034488541261,0.06146852672100067,21.462015885498545,success,0.2479284703731537,0.06546724587678909,under-trained,0,0.06146852672100067,0.038086168467998505
