layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10373646881095655,3,32,10.666666666666666,24.53320303690593,2.03468772987034,-4.0939225836421524,0.0007854773820287059,0.0002216201962216271,0.7883017448878659,True,0.009726031683385372,conv2d,-3.7141965518524365,-1.348144741992199,-2.012064320013881,clip_model.visual.conv1,27,0.08076031495666507,0.04485958566510817,27,19,8,0,9,0.23737364487506962,0.5264001423429923,0.009726031683385372,4.612321563967366,success,0.09862064570188522,0.029780270531773567,,0,0.009726031683385372,0.0005333505687303841
6,Conv2d,0.07549723081187243,32,32,1.0,17.33558278561006,1.7487977879644718,-2.109552152450506,0.01332417672272842,0.0,0.7233475599003067,True,0.06218890845775604,conv2d,-1.1762699517484048,-0.018484404839408313,-1.2062870658739437,clip_model.visual.conv2,288,0.2142532656250001,0.9583311285776307,288,81,18,0,9,0.08319975421827465,1.0005266080106159,0.06218890845775604,15.410000791839112,success,0.24937704205513,0.0005250134854577482,over-trained,15,0.06218890845775604,0.0014570887433364987
9,Conv2d,0.11468020953537594,32,64,2.0,13.80379897441145,3.55109226059333,-4.545075400339783,0.006925717214434167,0.0002038740796174959,0.8737698808035127,True,0.05249172821640968,conv2d,-3.953708215834075,0.1793952357436783,-1.2799091284607669,clip_model.visual.conv3,288,0.13193921118164073,1.5114550491725822,288,33,60,0,9,0.4440881608508092,0.6729306597904181,0.05249172821640968,28.79415672772761,success,0.2291107326745987,0.019242485985159874,,0,0.05249172821640968,0.014895740896463394
15,Conv2d,0.11965023565879529,64,64,1.0,12.43284994287944,2.4228416034817633,-3.297945366037757,0.027123384183579395,0.0,0.8237852577985327,True,0.04353223741054535,conv2d,-2.807026962520142,-0.3829614100245436,-1.3611890109937104,clip_model.visual.layer1.0.conv1,64,0.623064326507807,0.41403646309997555,64,23,2,0,1,0.2966829832460286,1.023794127452328,0.04353223741054535,9.511031082442788,success,0.2086438089609146,0.00030612637056037784,,1,0.04353223741054535,0.0065064080990850925
18,Conv2d,0.07706137198001939,64,64,1.0,13.982288252522586,2.533889551419917,-2.4011693984154734,0.020668981677816098,0.0,0.8711624128748081,True,0.1128179058432579,conv2d,-1.8153471028345687,0.4692659812159277,-0.9476219660284437,clip_model.visual.layer1.0.conv2,576,0.18320657100772886,2.9462254806105506,576,77,29,0,9,0.1748029375052292,1.0050965807922263,0.1128179058432579,26.114874749615108,success,0.335883766412735,0.0015351251931861043,,10,0.1128179058432579,0.010769653134047985
22,Conv2d,0.07913993591024648,64,256,4.0,7.068595759625297,4.31935788309115,-4.3020922135258814,0.04057501964751018,0.004508335516390021,0.9439337128834384,True,0.10092465579509735,conv2d,-4.1774993732751,0.10751368229347585,-0.9960027230823225,clip_model.visual.layer1.0.conv3,64,0.4020327771034242,1.280895448056981,64,12,3,0,1,0.9582160836696908,0.9492295644751837,0.10092465579509735,12.691600857748018,success,0.31768640875816345,0.054425183683633804,,0,0.10092465579509735,0.031053466722369194
27,Conv2d,0.06101959753648839,64,256,4.0,6.330072222657091,3.194673063664528,-2.4423974676338456,0.004984309763124434,0.0005538121959027148,0.9090912590395644,True,0.17198006808757782,conv2d,-2.30501607634641,0.20336264376828955,-0.7645218834481403,clip_model.visual.layer1.0.downsample.0,64,0.02898190365052223,1.5972122917883098,64,26,50,0,1,0.43041079913776503,0.2979338978451102,0.17198006808757782,9.287194205406161,success,0.4147047996520996,0.016453023999929428,,0,0.17198006808757782,0.025418180972337723
31,Conv2d,0.10376425576409964,64,256,4.0,6.605812818191511,3.088382413568432,-3.457460487505047,0.041497752973282315,0.004610861441475813,0.9464876745078754,True,0.0759442150592804,conv2d,-2.7387537514556457,0.1663274471950675,-1.1195053022951806,clip_model.visual.layer1.1.conv1,64,0.5464241475257869,1.4666532441042364,64,27,6,0,1,0.4019093828815382,0.8971132991918509,0.0759442150592804,19.312244427826382,success,0.2755797803401947,0.0665714293718338,,0,0.0759442150592804,0.022100195288658142
34,Conv2d,0.0812503879821958,64,64,1.0,14.26901921049398,2.4594338589754123,-2.8302666479262912,0.019970895903683124,0.0,0.8785147659694786,True,0.07066758722066879,conv2d,-1.8799578407689541,0.4516342381202042,-1.1507797364005414,clip_model.visual.layer1.1.conv2,576,0.28260333611392996,2.829008407409738,576,81,29,0,9,0.1621593176639347,1.0082376267155628,0.07066758722066879,40.03261634751713,success,0.2658337652683258,0.001897086389362812,,12,0.07066758722066879,0.009880691766738892
38,Conv2d,0.11646706204846963,64,256,4.0,6.964558626010414,7.0832004507495725,-8.576617101378515,0.04512501877681349,0.005013890975201499,0.9613759970395482,True,0.06154046207666397,conv2d,-8.347720100317073,0.12039277693255032,-1.2108392471754634,clip_model.visual.layer1.1.conv3,64,0.7332577178344719,1.3194495122879744,64,7,2,0,1,2.2992336525770556,0.9863045515365361,0.06154046207666397,21.440357575545523,success,0.2480735033750534,0.06549248844385147,under-trained,0,0.06154046207666397,0.03820125758647919
43,Conv2d,0.13216818990555768,64,256,4.0,6.897599272557111,3.3337259733876885,-3.7473170729916974,0.03835970565343116,0.004262189517047907,0.9432541696405153,True,0.07515143603086472,conv2d,-3.180979372838582,0.12878405456842787,-1.1240627162837031,clip_model.visual.layer1.2.conv1,64,0.5104321045532226,1.3451913145836443,64,24,7,0,1,0.4763698195233193,0.9006256957650053,0.07515143603086472,17.899741982723707,success,0.27413761615753174,0.056967418640851974,,0,0.07515143603086472,0.02316095307469368
46,Conv2d,0.09247784263811226,64,64,1.0,14.34461593614034,3.2692679067318076,-3.8744692795312408,0.019902557202100372,0.0,0.8831135585600047,True,0.0652952641248703,conv2d,-3.104834093147993,0.4470446336161444,-1.1851183170254271,clip_model.visual.layer1.2.conv2,576,0.3048085870981214,2.7992689932817827,576,43,29,0,9,0.34606011147826315,1.0118435547121318,0.0652952641248703,42.87093452793875,success,0.25552937388420105,0.0012107351794838905,,10,0.0652952641248703,0.018083984032273293
50,Conv2d,0.12419649962075019,64,256,4.0,7.158442674437529,4.112318381147405,-4.745544209384223,0.041615316018886996,0.004623924002098555,0.9600742719903246,True,0.07014832645654678,conv2d,-4.441599130298461,0.09654287111731827,-1.1539826855672923,clip_model.visual.layer1.2.conv3,64,0.5932474532327654,1.2489437272306532,64,22,1,0,1,0.6635485083873606,0.9735402032991476,0.07014832645654678,17.804326778976094,success,0.264855295419693,0.0602385438978672,,0,0.07014832645654678,0.023062938824295998
56,Conv2d,0.11611224877474835,128,256,2.0,7.035983356099858,6.010354970389506,-5.911907143329513,0.04507538176554597,0.0013268953505212885,0.9156743336335974,True,0.10384359210729599,conv2d,-5.576291835713019,0.4125603627565375,-0.9836202973792723,clip_model.visual.layer2.0.conv1,128,0.43406993971252467,2.585594187316019,128,8,13,0,1,1.7714279878570716,0.8750519214505668,0.10384359210729599,24.898928617997573,success,0.322247713804245,0.0278583075851202,under-trained,0,0.10384359210729599,0.06154147535562515
59,Conv2d,0.07387727362635754,128,128,1.0,10.394196205549656,3.883976139096167,-3.4998828768112427,0.03798543862998487,0.0,0.9564302941958291,True,0.12557169795036316,conv2d,-2.853167048894166,1.0278706580805526,-0.9011082332822193,clip_model.visual.layer2.0.conv2,1152,0.30250000000000016,10.662785140435178,1152,72,46,0,9,0.33987984745584965,1.0129068022801007,0.12557169795036316,84.91392021034896,success,0.354360967874527,0.0010494102025404572,,15,0.12557169795036316,0.034478530287742615
63,Conv2d,0.0899729912953029,128,512,4.0,4.993614735586704,6.081884156918766,-4.930675332573778,0.0844918426814424,0.009387982520160267,0.9663769650689756,True,0.15462684631347656,conv2d,-4.704577031810397,0.7103799038947514,-0.8107151016621437,clip_model.visual.layer2.0.conv3,128,0.5464241475257875,5.133102114312351,128,15,5,0,1,1.3121368471401131,0.9676786620776627,0.15462684631347656,33.19670701881846,success,0.3932262063026428,0.0801028162240982,under-trained,0,0.15462684631347656,0.07384511828422546
68,Conv2d,0.06809333690620673,256,512,2.0,4.902943502209498,6.199371627840544,-3.6361555687535314,0.08334446675230466,0.0024534320308261877,0.9301888874573386,True,0.2590978741645813,conv2d,-3.3700181819863277,1.0273261877201765,-0.5865361502807874,clip_model.visual.layer2.0.downsample.0,256,0.32167175057315794,10.649425696465187,256,17,36,0,1,1.2610328475544823,0.8291528300900532,0.2590978741645813,41.10194161493033,success,0.5090165734291077,0.039268214255571365,under-trained,0,0.2590978741645813,0.1237332746386528
72,Conv2d,0.0993076451147723,128,512,4.0,4.789347839979458,4.47519858710045,-3.458349918524102,0.08021175167159333,0.00891241685239926,0.9560444134777738,True,0.16874024271965027,conv2d,-2.8554974602711423,0.7466572095330981,-0.7727813305296961,clip_model.visual.layer2.1.conv1,128,0.47535638433837846,5.580295657739043,128,21,13,0,1,0.7583505038281618,0.9042824896001129,0.16874024271965027,33.07033086950279,success,0.41078004240989685,0.07740285992622375,,0,0.16874024271965027,0.07479983568191528
75,Conv2d,0.06220879325400114,128,128,1.0,10.034497144329663,4.48074467628825,-3.550118409228657,0.04048039196074738,0.0,0.938285251538176,True,0.16132235527038574,conv2d,-2.9174847704539113,1.0584612516812848,-0.7923054460156156,clip_model.visual.layer2.1.conv2,1152,0.25092859506607046,11.440927978151638,1152,30,62,0,9,0.6354941253730306,1.0094573453550573,0.16132235527038574,70.91966862854173,success,0.401649534702301,0.000538457534275949,,15,0.16132235527038574,0.06283363699913025
79,Conv2d,0.07198213465330888,128,512,4.0,4.90660999341054,4.28851667202791,-2.7812255364778884,0.0789291566461668,0.008769906294018531,0.9539381013843777,True,0.2246319055557251,conv2d,-2.535165858998813,0.7256468915670665,-0.6485285587482001,clip_model.visual.layer2.1.conv3,128,0.3513710861816404,5.316757979802787,128,17,11,0,1,0.7975824464926908,0.9189862452024535,0.2246319055557251,23.66875696775783,success,0.4739534854888916,0.07217855006456375,,0,0.2246319055557251,0.07395242899656296
