layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.07577415263678478,3,768,256.0,3.4061841359460834,24.60792916162071,-9.303158791235216,0.015424855691745044,0.012008970694265177,1.0979991423530906,True,0.4187402129173279,conv2d,-9.203591457087013,2.4228849675216213,-0.3780553304641624,clip_model.visual.conv1,3072,0.03683633722274097,264.7798717790283,3072,31,1459,0,1024,4.2401092472995945,0.3981527667986602,0.4187402129173279,632.3249203469836,success,0.6471014022827148,0.4358305037021637,under-trained,0,0.4187402129173279,0.3261381983757019
9,NonDynamicallyQuantizableLinear,0.05230624522454741,768,768,1.0,2.84647849897263,3.9432720594761475,0.19483033311534712,0.5031848143658708,0.0,0.9752504835498446,True,1.1204907894134521,dense,0.6055131688814149,1.9767454046447288,0.049408290926096984,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.44907536868667614,94.786263728101,768,197,5,0,1,0.20969945154951486,1.0095821771126485,1.1204907894134521,84.59352332357784,success,1.0585323572158813,0.000275470461929217,,3,1.1204907894134521,0.18622943758964539
12,Linear,0.05247768887866955,768,3072,4.0,1.226289848189214,2.7752902349923074,5.393583332462717,0.21946758270263678,0.024385286966959643,0.8321375529025161,True,87.78703308105469,dense,5.409388478849977,2.708174954068941,1.9434303715184829,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.002500000000000001,510.7106966241263,768,163,364,0,1,0.13905146283193012,0.3829896732523319,87.78703308105469,5.817609716375558,success,9.369473457336426,0.018301045522093773,,0,87.78703308105469,0.8530194759368896
14,Linear,0.021098161140587157,768,3072,4.0,1.840676392017364,2.6854065922896524,3.0008704802951938,0.11691014385633124,0.012990015984036802,0.9200444629515291,True,13.106098175048828,dense,3.140615953418424,2.3554063355977948,1.1174734168417186,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.00892028598403931,226.67641508183442,768,212,417,0,1,0.11575419999987242,0.41957758663321393,13.106098175048828,17.295491919431612,success,3.620234489440918,0.05991333723068237,,0,13.106098175048828,0.32623621821403503
18,NonDynamicallyQuantizableLinear,0.030171095164253536,768,768,1.0,2.964118338324576,4.210831403340839,0.7738232950596836,0.457434362603292,0.0,0.9931993933811304,True,1.5267562866210938,dense,0.8344973788157353,1.941570143511778,0.183769716936598,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.2996119070291517,87.41181612421087,768,240,6,0,1,0.20725827587698095,1.0023743284120994,1.5267562866210938,57.253287175037194,success,1.2356197834014893,0.0002353680320084095,,2,1.5267562866210938,0.1425565928220749
21,Linear,0.017658308977183124,768,3072,4.0,1.2501139713748481,3.1017598982641066,3.509932724323486,1.3498850364836539,0.14998722627596153,0.9925466190105943,True,13.539229393005371,dense,3.621058229912542,2.691462002202878,1.131593946484321,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09970176272964477,491.4303815206513,768,320,52,0,1,0.11749195012253962,0.9682928867453606,13.539229393005371,36.29677637152184,success,3.6795692443847656,0.04894581809639931,,0,13.539229393005371,0.5782410502433777
23,Linear,0.03068679643377492,768,3072,4.0,1.7347136850980365,5.644848915930953,0.9996425925220904,0.5112582202963791,0.0568064689218199,1.002473882811299,True,1.5034512281417847,dense,1.8038004899777151,2.406905610761046,0.17708934418083155,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.3400564053735732,255.21465607488062,768,87,143,0,1,0.4979800745197317,0.8269070555221829,1.5034512281417847,169.7525342343944,success,1.226153016090393,0.044071972370147705,,0,1.5034512281417847,0.6271175742149353
27,NonDynamicallyQuantizableLinear,0.031518354400680515,768,768,1.0,2.9498819398979403,4.168761803965607,0.10198755117031309,0.4709331271218836,0.0,0.9495523084681345,True,1.0579489469528198,dense,0.7772349560132843,1.9457519500256024,0.024464710618221377,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.4451378570566178,88.25756678933311,768,92,16,0,1,0.3303662554201639,1.0121718622231533,1.0579489469528198,83.4232758050744,success,1.0285664796829224,0.00016653808415867388,,3,1.0579489469528198,0.2770984470844269
30,Linear,0.040650715335829535,768,3072,4.0,1.2699994031490978,5.807384310157464,3.692835264087536,0.9945002190833508,0.11050002434259454,0.9900275601125806,True,4.324004650115967,dense,3.9721227510660637,2.677754186322928,0.6358861523299819,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.2299951779785156,476.16139987669885,768,64,159,0,1,0.600923038769683,0.8443348192370855,4.324004650115967,110.12046433944712,success,2.0794241428375244,0.12730814516544342,,0,4.324004650115967,1.4326081275939941
32,Linear,0.059098503929373436,768,3072,4.0,1.6419642122052358,4.879980398521974,1.2043304729234867,0.715457842118691,0.07949531579096566,0.997488883506099,True,1.7651841640472412,dense,2.254024343408914,2.4546338457815544,0.24679002261735494,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.40531625917053227,284.86155834479723,768,78,85,0,1,0.4393212698177627,0.92590078485913,1.7651841640472412,161.37781209846247,success,1.3286023139953613,0.033497411757707596,,0,1.7651841640472412,0.7792723774909973
36,NonDynamicallyQuantizableLinear,0.04009349924727612,768,768,1.0,2.985941016552196,4.563027325225513,-0.19792903067207832,0.4593077287143718,0.0,0.9520901492209004,True,0.9049473404884338,dense,0.5204489965756047,1.9351987709486835,-0.04337669195577221,clip_model.visual.transformer.resblocks.3.attn.out_proj,768,0.5075518852472303,86.13879080452993,768,59,17,0,1,0.46386664726602733,1.0118196410888851,0.9049473404884338,95.1865229616981,success,0.9512872099876404,0.00017114306683652103,,3,0.9049473404884338,0.3255841135978699
39,Linear,0.02162708837244176,768,3072,4.0,1.2967742866162724,4.25923992568827,2.6802373232934826,1.1785746775721313,0.13095274195245907,1.002926453710905,True,4.2586894035339355,dense,3.264541733295324,2.65963243919356,0.629275967087102,clip_model.visual.transformer.resblocks.3.mlp.c_fc,768,0.27674586378479005,456.70150123909116,768,117,55,0,1,0.30131683772073076,0.9385376174890924,4.2586894035339355,107.23991772213118,success,2.063659191131592,0.13586069643497467,,0,4.2586894035339355,0.9828388690948486
41,Linear,0.04416294410233973,768,3072,4.0,1.6391128262919163,6.029472578011568,1.5785226524820821,0.7382493223228965,0.08202770248032182,1.002814142857901,True,1.8272632360458374,dense,2.187166880827155,2.456143522592121,0.2618011164423698,clip_model.visual.transformer.resblocks.3.mlp.c_proj,768,0.4040191406250004,285.85350558999926,768,61,73,0,1,0.6439579765966599,0.9388995224206025,1.8272632360458374,156.43805443630595,success,1.3517630100250244,0.03250391408801079,under-trained,0,1.8272632360458374,0.8214529752731323
45,NonDynamicallyQuantizableLinear,0.05465846375709005,768,768,1.0,2.9630121685876336,5.239821342425899,-0.4969377018283889,0.46765040149219583,0.0,0.9531715422068517,True,0.8038246631622314,dense,0.24179396135484335,1.9418943499167625,-0.09483867280068749,clip_model.visual.transformer.resblocks.4.attn.out_proj,768,0.5817816035308842,87.4770945294453,768,48,16,0,1,0.6119654983413784,1.013127479704432,0.8038246631622314,108.82608924353231,success,0.8965626955032349,0.0002890211180783808,,2,0.8038246631622314,0.3608977198600769
48,Linear,0.022939327959082073,768,3072,4.0,1.3017802620720176,4.492057825541416,3.0646359806199936,1.17710604887307,0.1307895609858967,1.0025861690718236,True,4.810988426208496,dense,3.4526768487402393,2.6562858552897675,0.6822343121218885,clip_model.visual.transformer.resblocks.4.mlp.c_fc,768,0.24467031399631498,453.19577799364924,768,93,56,0,1,0.36210952802918145,0.9415734826096676,4.810988426208496,94.20013889969165,success,2.19339656829834,0.15354573726654053,,0,4.810988426208496,1.0720199346542358
