layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.0575342443490966,3,768,256.0,5.026614212321397,5.6372903687871725,-3.1939587399794678,0.008602544727023594,0.006697482918963006,1.107290484584064,True,0.2712832987308502,conv2d,-2.0250886242745487,2.0848701016907967,-0.5665769422955284,clip_model.visual.conv1,3072,0.031710557809010144,121.58222914859653,3072,179,1648,0,1024,0.34660735569120993,0.43879339914037985,0.2712832987308502,448.1743981933166,success,0.5208486318588257,0.37717628479003906,,0,0.2712832987308502,0.11541533470153809
9,NonDynamicallyQuantizableLinear,0.04862730639299484,768,768,1.0,4.9256071708307445,3.6946774401163287,-0.4738088225028211,0.16845664601523314,0.0,0.936515930727431,True,0.744318962097168,dense,-0.10968514476485149,1.5004416743486813,-0.12824091688174624,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.22632319555664063,31.654953095751623,768,51,24,0,1,0.3773303152274475,1.0108200598930384,0.744318962097168,42.528747361966566,success,0.8627392053604126,0.0002825208066496998,,4,0.744318962097168,0.1350531429052353
12,Linear,0.03943435306313048,768,3072,4.0,2.5365456442949053,3.015009298203212,2.700927140100793,0.06713015843252002,0.007458906492502226,0.8900036430688355,True,7.867325782775879,dense,2.7903751909627657,2.076875856614631,0.8958271345001836,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.008532779788970943,119.36468508947291,768,96,335,0,1,0.20565602531506244,0.4381373314051186,7.867325782775879,15.1722057005445,success,2.804875373840332,0.019776755943894386,,0,7.867325782775879,0.35879120230674744
14,Linear,0.04057120382206292,768,3072,4.0,2.636593127123551,2.9958916597107974,1.3192601261148582,0.07550095000725993,0.0083889944452511,0.9495422236847935,True,2.7564899921417236,dense,1.656065604870968,2.0432749887180948,0.44035642004564696,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.027390250000000026,110.47779272100888,768,137,395,0,1,0.17052053234469353,0.4829787962225228,2.7564899921417236,40.079156113739565,success,1.6602680683135986,0.04451161250472069,,0,2.7564899921417236,0.24029541015625
18,NonDynamicallyQuantizableLinear,0.04038484859872671,768,768,1.0,3.5723988277014267,3.7021464771048813,0.24282705803613497,0.31522078951179633,0.0,0.9899304584897647,True,1.1630299091339111,dense,0.355019111984897,1.7794413436741,0.06559088343420393,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.2710341213378906,60.178497962015626,768,306,7,0,1,0.1544714325571006,1.002853209489257,1.1630299091339111,51.74286360944023,success,1.078438639640808,0.0005291365087032318,,2,1.1630299091339111,0.08446036279201508
21,Linear,0.03584649465708378,768,3072,4.0,1.6447441021659046,3.489129144950728,2.614862519445144,0.8719780011989997,0.09688644457766662,0.9966099724635691,True,5.616054058074951,dense,2.7667359346389517,2.4531645445322456,0.7494312795011403,clip_model.visual.transformer.resblocks.1.mlp.c_fc,767,0.15526524356460572,283.89944566380336,768,339,36,2,1,0.13519093784804315,1.0239054223114916,5.616054058074951,50.55140900141501,success,2.369821548461914,0.0,,2,5.616054058074951,0.35554802417755127
23,Linear,0.03182252408423758,768,3072,4.0,2.057965124824885,5.550698479281888,0.154942150404187,0.3839922991102814,0.04266581101225348,1.0026700472916932,True,1.0663849115371704,dense,0.9882089351659399,2.258485198541602,0.02791399154223783,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.36008789598941804,181.33648724097293,768,87,120,0,1,0.48788608819054025,0.8501743715922478,1.0663849115371704,170.0478741579158,success,1.0326591730117798,0.03732772544026375,,0,1.0663849115371704,0.4458707869052887
27,NonDynamicallyQuantizableLinear,0.027021993951664824,768,768,1.0,3.580169102925443,4.012909022864822,-0.5437558095207635,0.3198470343537546,0.0,0.947378864237886,True,0.7319785356521606,dense,0.18694269684035433,1.7775541395186507,-0.13550165389310906,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.4369623134765625,59.91756276980562,768,88,18,1,1,0.32117718099453113,1.0123826850125943,0.7319785356521606,81.85699423060501,success,0.8555574417114258,5.0662903959164396e-05,,4,0.7319785356521606,0.19165624678134918
30,Linear,0.041101735989509613,768,3072,4.0,1.6318620737585048,6.784576952212689,2.723443783816697,0.5562541288152328,0.06180601431280366,0.985555527857502,True,2.520094871520996,dense,2.948377073112491,2.459994321902865,0.40141689054444085,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.22072745558166518,288.39937966747675,768,42,185,0,1,0.8925796018399255,0.8113884359882415,2.520094871520996,114.43988991311828,success,1.5874806642532349,0.04321839287877083,under-trained,0,2.520094871520996,1.0223908424377441
32,Linear,0.06620208340841782,768,3072,4.0,1.8856728733283283,5.09818308123003,0.636113794703664,0.5402150412093341,0.060023893467703766,0.997595440045929,True,1.3328235149383545,dense,1.6654719569790353,2.3344285130388345,0.12477264636604417,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.4053162591705324,215.98744797817199,768,63,86,0,1,0.5163225361974798,0.923971191328633,1.3328235149383545,162.05254901145844,success,1.154479742050171,0.02970881387591362,,0,1.3328235149383545,0.634472668170929
36,NonDynamicallyQuantizableLinear,0.04353950977360055,768,768,1.0,3.5019073756249006,4.77082016159685,-0.873539694138647,0.33431304498098646,0.0,0.9507795130018895,True,0.6559934020042419,dense,-0.16420657868895144,1.7967519101442968,-0.18310052874561988,clip_model.visual.transformer.resblocks.3.attn.out_proj,768,0.5096286699829103,62.62560149733919,768,53,16,0,1,0.51796198394603,1.012398098717454,0.6559934020042419,95.46681613869985,success,0.8099341988563538,0.00016590040468145162,,3,0.6559934020042419,0.24964764714241028
39,Linear,0.028785425599327646,768,3072,4.0,1.611909018653857,4.19108715801074,1.9147994705634983,0.7325713542720637,0.0813968171413404,0.9997299623316125,True,2.8633482456207275,dense,2.494257821436207,2.470680169673613,0.4568741709185403,clip_model.visual.transformer.resblocks.3.mlp.c_fc,768,0.25584430932998653,295.5834880005568,768,93,73,0,1,0.33090032365317334,0.9197593942915836,2.8633482456207275,103.23001697492758,success,1.6921430826187134,0.11668174713850021,,0,2.8633482456207275,0.7064054608345032
41,Linear,0.047207877081522576,768,3072,4.0,1.860055085005557,5.860769297631859,0.8209590464077468,0.5729943190766675,0.06366603545296307,1.0033881583422049,True,1.380629062652588,dense,1.5077988642381575,2.3463096081981445,0.14007701117658203,clip_model.visual.transformer.resblocks.3.mlp.c_proj,768,0.4150240890741353,221.977833410725,768,66,72,0,1,0.5983193401520694,0.9386630122671858,1.380629062652588,160.78021201744178,success,1.1750017404556274,0.029030414298176765,,0,1.380629062652588,0.6190870404243469
45,NonDynamicallyQuantizableLinear,0.059034924480021234,768,768,1.0,3.3105055539736385,5.220345803750549,-0.9240638601707076,0.374425102421165,0.0,0.9532470730046889,True,0.6652547717094421,dense,-0.2419791209717952,1.845572578380056,-0.17701200167751635,clip_model.visual.transformer.resblocks.4.attn.out_proj,768,0.5628296381235122,70.0765283500095,768,45,15,1,1,0.6291320070494809,1.0128538979074222,0.6652547717094421,105.33788156068461,success,0.8156315088272095,3.1892624974716455e-05,,3,0.6652547717094421,0.29187676310539246
48,Linear,0.025216474120033583,768,3072,4.0,1.6210184007923745,4.230009947638511,2.1994737070639356,0.7158949320246337,0.0795438813360704,1.000266324558149,True,3.3110742568969727,dense,2.643864885880761,2.4657853305969937,0.5199689207094741,clip_model.visual.transformer.resblocks.4.mlp.c_fc,768,0.21621228534317027,292.270734237507,768,83,74,0,1,0.35453965166187956,0.914368654634025,3.3110742568969727,88.2706673306123,success,1.8196357488632202,0.1340961903333664,,0,3.3110742568969727,0.7248600721359253
50,Linear,0.046476889346428574,768,3072,4.0,1.8345557435440751,5.634917665941589,0.8598285882214298,0.6163003153149212,0.06847781281276902,1.0085838232628752,True,1.4209846258163452,dense,1.4704263513004174,2.358299395102101,0.15258937915249085,clip_model.visual.transformer.resblocks.4.mlp.c_proj,768,0.4337135702371595,228.19146423618076,768,73,45,0,1,0.5424760807814154,0.9601428416360567,1.4209846258163452,160.58686356658254,success,1.192050576210022,0.028607884421944618,,0,1.4209846258163452,0.5785029530525208
54,NonDynamicallyQuantizableLinear,0.08164816139307585,768,768,1.0,3.258358880846956,9.043200592413605,-1.588869534883344,0.38669653750598987,0.0,0.954101426602486,True,0.667271077632904,dense,-1.3238100150113616,1.8593633870430404,-0.17569769891162826,clip_model.visual.transformer.resblocks.5.attn.out_proj,768,0.5795194044342037,72.33748195644483,768,14,15,0,1,2.149635779279208,1.0131040757325973,0.667271077632904,108.40793851436933,success,0.8168666362762451,0.0003215275937691331,under-trained,2,0.667271077632904,0.41631174087524414
57,Linear,0.03049902794055573,768,3072,4.0,1.6464102963154663,4.319560623851264,2.8031170404768924,0.6935865357313493,0.07706517063681657,0.9997073623147353,True,4.455902576446533,dense,2.910248317592492,2.452285073198916,0.6489356868842067,clip_model.visual.transformer.resblocks.5.mlp.c_fc,768,0.15565567779636388,283.3251146618277,768,44,75,0,1,0.5004425935523973,0.9141072243437487,4.455902576446533,63.58422559762788,success,2.11090087890625,0.13644461333751678,,0,4.455902576446533,0.8730716705322266
59,Linear,0.05646035711737529,768,3072,4.0,1.7561440372746957,4.738939294367052,0.9042510523392402,0.657651459434965,0.07307238438166277,1.0102772326323486,True,1.5517185926437378,dense,1.6957109018262388,2.3962409531234807,0.1908129638660026,clip_model.visual.transformer.resblocks.5.mlp.c_proj,768,0.4238213439941404,249.02385569608305,768,120,51,0,1,0.34131689877788046,0.9494383469806349,1.5517185926437378,160.48261384289344,success,1.2456799745559692,0.028928453102707863,,0,1.5517185926437378,0.5307248830795288
63,NonDynamicallyQuantizableLinear,0.059886483117740474,768,768,1.0,3.260281776801152,4.868442485723964,-0.661219868936682,0.3853846877021828,0.0,0.9531354353910518,True,0.7314463257789612,dense,0.018755877624551914,1.8588509469990115,-0.13581753730800314,clip_model.visual.transformer.resblocks.6.attn.out_proj,768,0.5268803384742736,72.25217863516087,768,54,17,0,1,0.5264283438515284,1.0119810226100072,0.7314463257789612,98.77987774183592,success,0.855246365070343,8.698231249582022e-05,,2,0.7314463257789612,0.28975436091423035
