layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10601715815999746,3,32,10.666666666666666,24.499690047662266,2.0335301814283007,-4.087609114533847,0.0007888773017588227,0.00022257947384688492,0.78847681970209,True,0.009770010598003864,conv2d,-3.7100990274868986,-1.3469574158809816,-2.010104965180705,clip_model.visual.conv1,27,0.08074477441406257,0.04498239595704945,27,19,8,0,9,0.23710808504974842,0.5268175365291514,0.009770010598003864,4.604129699331126,success,0.09884336590766907,0.02965814620256424,,0,0.009770010598003864,0.0005355235771276057
6,Conv2d,0.0761572786210265,32,32,1.0,17.331012883710265,1.7549792278299614,-2.114197698113278,0.013316363369776315,0.0,0.7233333045987265,True,0.06241869553923607,conv2d,-1.184542212386972,-0.018255402463940227,-1.2046853117045104,clip_model.visual.conv2,288,0.21333934095764176,0.9588365873956106,288,78,18,0,9,0.08548456409280857,0.9999695330453018,0.06241869553923607,15.361368562931451,success,0.24983733892440796,0.0009047401254065335,over-trained,15,0.06241869553923607,0.0015514885308220983
9,Conv2d,0.11365712811187911,32,64,2.0,13.802278263064832,3.553987808565388,-4.552209986279884,0.006949196668951767,0.00020456525022575,0.873858251675818,True,0.05237525701522827,conv2d,-3.958000167858329,0.17949093011436212,-1.280873832855786,clip_model.visual.conv3,288,0.13268090821838385,1.5117881265705364,288,33,60,0,9,0.4445922110544923,0.673996114232756,0.05237525701522827,28.864548122999743,success,0.2288564145565033,0.01918683759868145,,0,0.05237525701522827,0.014912046492099762
15,Conv2d,0.11415240701946472,64,64,1.0,12.428867853399252,2.318925382878563,-3.1557999772062657,0.027142129350763548,0.0,0.8237153800602903,True,0.04356232285499573,conv2d,-2.6407305184483656,-0.38268316706214645,-1.3608889706010552,clip_model.visual.layer1.0.conv1,64,0.6230643265078067,0.41430181218602513,64,24,2,0,1,0.26922451640478473,1.023819820112536,0.04356232285499573,9.510553731606462,success,0.20871588587760925,0.00038674339884892106,,1,0.04356232285499573,0.0059623876586556435
18,Conv2d,0.0774133257218605,64,64,1.0,13.979786366987417,2.515859914666252,-2.38320616754611,0.02066530745463261,0.0,0.8711616131609035,True,0.11290859431028366,conv2d,-1.7917743506116297,0.469421413901086,-0.9472729994437151,clip_model.visual.layer1.0.conv2,576,0.18302687745666518,2.947280114537577,576,77,29,0,9,0.17274826970742366,1.0048274128449062,0.11290859431028366,26.103239815723576,success,0.33601874113082886,0.0016573822358623147,,8,0.11290859431028366,0.010684249922633171
22,Conv2d,0.0798257848481082,64,256,4.0,7.06827966139315,4.309396876645465,-4.2920211224775375,0.04058614470271874,0.004509571633635416,0.9440136521388923,True,0.10093273967504501,conv2d,-4.166311390230863,0.107552525309035,-0.995967938283407,clip_model.visual.layer1.0.conv3,64,0.402110800057411,1.2810100156348199,64,12,3,0,1,0.9553405887932831,0.9493172336269972,0.10093273967504501,12.691719453559443,success,0.317699134349823,0.05486847460269928,,0,0.10093273967504501,0.031002851203083992
27,Conv2d,0.06210121952730541,64,256,4.0,6.328760280046515,3.2630126861263293,-2.4931796782335085,0.004989282464280738,0.0005543647182534153,0.9090827766609658,True,0.17215794324874878,conv2d,-2.3651991816000595,0.20354268231079045,-0.7640729344491993,clip_model.visual.layer1.0.downsample.0,64,0.028980843811962764,1.597874559898628,64,25,50,0,1,0.4526025372252659,0.29802070154656013,0.17215794324874878,9.281445454944125,success,0.4149191975593567,0.016872860491275787,,0,0.17215794324874878,0.02624325267970562
31,Conv2d,0.10014931457280074,64,256,4.0,6.603764063864848,3.091956051344339,-3.4667240434132838,0.04137585098655431,0.004597316776283811,0.9465723304883134,True,0.07564715296030045,conv2d,-2.7428235212196816,0.16659687678056417,-1.1212074123453342,clip_model.visual.layer1.1.conv1,64,0.5469584692535397,1.4675634154118598,64,27,6,0,1,0.4025971297921736,0.8955168441759149,0.07564715296030045,19.400114319993452,success,0.27504026889801025,0.06671450287103653,,0,0.07564715296030045,0.02212066389620304
34,Conv2d,0.07959077134530157,64,64,1.0,14.265853272018882,2.464193745488883,-2.834297696101077,0.01997455062682651,0.0,0.8784653776227318,True,0.07076317071914673,conv2d,-1.8860185404813168,0.4518269776695069,-1.1501927156863097,clip_model.visual.layer1.1.conv2,576,0.28227325632572176,2.8302641977534435,576,82,29,0,9,0.1616931497835828,1.0081061542997325,0.07076317071914673,39.9962885917949,success,0.2660134732723236,0.0016437906306236982,,11,0.07076317071914673,0.009824244305491447
38,Conv2d,0.10321564110918235,64,256,4.0,6.963957871821982,7.223432468562288,-8.745257539687843,0.04515053400843592,0.005016726000937324,0.9614275071151627,True,0.06156318262219429,conv2d,-8.524541290797858,0.12046770357078018,-1.210678936606498,clip_model.visual.layer1.1.conv3,64,0.7334015573158265,1.3196771699003875,64,7,2,0,1,2.352236373288659,0.9864982558662142,0.06156318262219429,21.43614273484015,success,0.2481192946434021,0.06487888097763062,under-trained,0,0.06156318262219429,0.038388848304748535
