layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.06785698115302885,3,768,256.0,3.4037125298203814,23.870612572346438,-9.047533484104362,0.015395979140069857,0.011986488949881378,1.09801289461215,True,0.41780734062194824,conv2d,-8.927764218509164,2.423515464577096,-0.3790239339976438,clip_model.visual.conv1,3072,0.036849470182001576,265.16455124597996,3072,32,1460,0,1024,4.042991309949119,0.3974912671362125,0.41780734062194824,634.6574735887978,success,0.6463801860809326,0.4364486038684845,under-trained,0,0.41780734062194824,0.3251635432243347
9,NonDynamicallyQuantizableLinear,0.05207130920101066,768,768,1.0,2.842139725922428,3.9060668718153084,0.18155422353913653,0.5046953547166866,0.0,0.9752556627957244,True,1.1129612922668457,dense,0.6125674621660666,1.9780703700298705,0.04648006024913774,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.45347071656799354,95.07588354650754,768,202,5,1,1,0.2044701515831291,1.0095552301632094,1.1129612922668457,85.42604689589866,success,1.0549697875976562,4.050853385706432e-05,,3,1.1129612922668457,0.1844429224729538
12,Linear,0.05220421220876803,768,3072,4.0,1.2243608446213667,2.788889489929589,5.4268155896896175,0.22070375442504891,0.024522639380560984,0.8317511642802777,True,88.28150177001953,dense,5.442150601419695,2.7095423554380007,1.9458697124017732,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.002500000000000001,512.3212329811067,768,159,364,0,1,0.14186816466631827,0.3834626187003375,88.28150177001953,5.803268212583708,success,9.39582347869873,0.01828448474407196,,0,88.28150177001953,0.871139407157898
14,Linear,0.021138453438182436,768,3072,4.0,1.8396907093400294,2.6883170526716147,3.0159161537575154,0.11800915311796564,0.013112128124218405,0.9200062639943464,True,13.239155769348145,dense,3.150824433244937,2.355871589792412,1.121860292021857,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.00891364639663697,226.91938078287058,768,213,417,0,1,0.11568157830998844,0.42131934749511935,13.239155769348145,17.140018951075714,success,3.6385650634765625,0.05994878336787224,,0,13.239155769348145,0.3260657489299774
18,NonDynamicallyQuantizableLinear,0.029667375253120132,768,768,1.0,2.959849144325995,4.2557155643560485,0.7795229558887984,0.4587783978316264,0.0,0.9932760414431561,True,1.524652361869812,dense,0.8369628798130604,1.9428220664652152,0.18317083087453742,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.3009068882226943,87.66415812729386,768,228,5,0,1,0.2156150305194933,1.0024000076917408,1.524652361869812,57.49780101988875,success,1.2347681522369385,0.00022441920009441674,,1,1.524652361869812,0.14596319198608398
21,Linear,0.01813755744376122,768,3072,4.0,1.2491938962266071,3.096672277897669,3.5108296894708166,1.355749894982063,0.1506388772202292,0.9924610129166065,True,13.60638427734375,dense,3.6217972118448807,2.692101512977917,1.1337427323288853,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09964071772098544,492.1545595617499,768,321,51,0,1,0.11702483482336087,0.9696798793908832,13.60638427734375,36.170855499153134,success,3.688683271408081,0.05243039131164551,,0,13.60638427734375,0.5776036977767944
23,Linear,0.03170370147353144,768,3072,4.0,1.7335873598972267,5.654068318767221,1.003652944505688,0.5267784463345676,0.05853093848161862,1.0025203138522396,True,1.5049077272415161,dense,1.805416814706859,2.4074697565262375,0.17750987217015418,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.3500403624746803,255.54639370308723,768,88,132,0,1,0.4961253497645615,0.8388194097863055,1.5049077272415161,169.80867934773764,success,1.2267467975616455,0.04407732933759689,,0,1.5049077272415161,0.6265247464179993
27,NonDynamicallyQuantizableLinear,0.031379956576833234,768,768,1.0,2.947512630385555,4.194543145192446,0.10238570441888506,0.4717045686104218,0.0,0.9496117255774581,True,1.0578138828277588,dense,0.7718284569420348,1.946449870498956,0.0244092624333198,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.4459239723243718,88.39951260153367,768,86,16,1,1,0.34447644646413583,1.0121869189368264,1.0578138828277588,83.56811537131958,success,1.0285007953643799,9.277040226152167e-05,,4,1.0578138828277588,0.2844073474407196
30,Linear,0.03663232444833592,768,3072,4.0,1.2690342054492247,5.72297247640152,3.654687303656182,1.0003417816026212,0.1111490868447357,0.9900148745858106,True,4.351104259490967,dense,3.937805492756767,2.678414563647234,0.6385994898151545,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.2299052658691407,476.88598974607885,768,71,158,0,1,0.5605137107147726,0.8461673687962834,4.351104259490967,109.60114060835431,success,2.085930109024048,0.12791796028614044,,0,4.351104259490967,1.398118495941162
32,Linear,0.058473677206783425,768,3072,4.0,1.6409656611956696,4.853891207716581,1.2009620010125452,0.7163621070071267,0.07959578966745852,0.9975024515024229,True,1.7677568197250366,dense,2.254616298448542,2.455162233804997,0.24742252135838755,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.40523792583560914,285.2083484684117,768,78,85,0,1,0.4363672506589264,0.9259222847029283,1.7677568197250366,161.33913063493318,success,1.3295701742172241,0.03364480286836624,,0,1.7677568197250366,0.7787933945655823
