layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.07948763911970724,3,768,256.0,3.411066123623337,24.651660267113908,-9.356820215822458,0.015372105147094514,0.011967901931128948,1.097966362180865,True,0.4172905385494232,conv2d,-9.255749885078306,2.421640934757289,-0.3795614621666984,clip_model.visual.conv1,3072,0.03683789524807035,264.02249740436673,3072,31,1461,0,1024,4.247963585709665,0.3980410587909715,0.4172905385494232,632.7066468416857,success,0.6459802985191345,0.4360978603363037,under-trained,0,0.4172905385494232,0.3253553509712219
9,NonDynamicallyQuantizableLinear,0.050468087806672446,768,768,1.0,2.858599766297383,3.956035188513835,0.2254802665726966,0.49882533797388784,0.0,0.9752563189435874,True,1.1402406692504883,dense,0.6123774223335942,1.9730545122929422,0.056996527034786776,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.4374737293853757,93.98412712793417,768,198,5,1,1,0.21007627325451386,1.0094797487307017,1.1402406692504883,82.42481579762678,success,1.0678205490112305,6.896986451465636e-05,,3,1.1402406692504883,0.18417823314666748
12,Linear,0.05243201972632627,768,3072,4.0,1.2282305970669238,2.780804928957617,5.390936068557242,0.2170522689819336,0.024116918775770397,0.832745037103282,True,86.82090759277344,dense,5.407262080028246,2.706801395815435,1.9386243214758796,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.0025000000000000005,509.09800575321424,768,163,365,0,1,0.13948340699961154,0.3814791604039139,86.82090759277344,5.863771986133777,success,9.317773818969727,0.018301965668797493,,0,86.82090759277344,0.8529465198516846
14,Linear,0.02090885451227542,768,3072,4.0,1.8438134266309831,2.691330957923518,2.985037182855421,0.11477109067260471,0.012752343408067189,0.9201725015808914,True,12.856728553771973,dense,3.1319911451620603,2.353927273672267,1.1091304746698676,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008926928043365479,225.90574400429614,768,212,420,0,1,0.11616108710212544,0.41642996123382675,12.856728553771973,17.57101295710399,success,3.585628032684326,0.0596543587744236,,0,12.856728553771973,0.32603076100349426
18,NonDynamicallyQuantizableLinear,0.02955442842639866,768,768,1.0,2.9760409696743477,4.199677167778139,0.7752533696400333,0.4538397025946944,0.0,0.993051111794343,True,1.5296720266342163,dense,0.8360256996344909,1.9380834087697028,0.1845983247446101,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.2966908557472229,86.71283967960949,768,241,6,0,1,0.20610932499677315,1.0024440742632605,1.5296720266342163,56.68721017956142,success,1.2367991209030151,0.0005471950280480087,,2,1.5296720266342163,0.14093047380447388
21,Linear,0.018629956817176385,768,3072,4.0,1.251552720699595,3.1090490783303246,3.506621014385038,1.3400169956931538,0.14889077729923936,0.9927593359351662,True,13.423808097839355,dense,3.6181777075948602,2.690462922727663,1.1278757350039081,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09982390882873525,490.3011622421909,768,320,52,0,1,0.11789942767574711,0.9658574697681936,13.423808097839355,36.524744593235646,success,3.663851499557495,0.04606138542294502,,0,13.423808097839355,0.5777629613876343
23,Linear,0.03204508557210084,768,3072,4.0,1.7372153875934373,5.728744958512714,1.0129887203623202,0.5257954533204863,0.05842171703560958,1.002430371385527,True,1.5025384426116943,dense,1.7974592522613952,2.4056538849862394,0.17682559228911987,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.34993810368442546,254.48013411904685,768,86,132,0,1,0.5099136826482044,0.839790237395964,1.5025384426116943,169.36680413761164,success,1.225780725479126,0.043583404272794724,,0,1.5025384426116943,0.6288529634475708
27,NonDynamicallyQuantizableLinear,0.030606313703399946,768,768,1.0,2.9555905912967813,4.123890863185743,0.08227474595867773,0.4691768971855391,0.0,0.9494081864737672,True,1.047009825706482,dense,0.7812888423876129,1.9440726692833594,0.019950757352273807,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.44811126473331486,87.91696135212025,768,93,16,0,1,0.3239323924733347,1.0122378885155947,1.047009825706482,83.9695666588394,success,1.0232349634170532,0.00032914101029746234,,4,1.047009825706482,0.273920476436615
30,Linear,0.03701173403282043,768,3072,4.0,1.272271860903912,5.748190427607722,3.5953924205028467,1.0128270321225927,0.11253633690251029,0.9901719622678334,True,4.221652507781982,dense,3.908637598191764,2.6762013762194927,0.6254824828409825,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.23991245851135268,474.46193556301296,768,66,152,0,1,0.5844618391880299,0.8536037314024851,4.221652507781982,112.38772842824312,success,2.054666042327881,0.12627458572387695,,0,4.221652507781982,1.4117158651351929
32,Linear,0.051241326451608116,768,3072,4.0,1.645240553945415,4.896231359620407,1.201673990587682,0.7132181344249245,0.07924645938054717,0.997489482847733,True,1.7596583366394043,dense,2.2498482539555207,2.452902408027009,0.24542835138428692,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.40531625917053227,283.72813804564066,768,77,85,0,1,0.44401677176246046,0.9262950334755848,1.7596583366394043,161.24047045831904,success,1.3265211582183838,0.03346432000398636,,0,1.7596583366394043,0.7785125374794006
