layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.06898877959039076,3,768,256.0,3.409218108555405,24.056744361980982,-9.1371259141915,0.015365712929221897,0.0119629252909167,1.0980298543696088,True,0.417046457529068,conv2d,-9.023024119908849,2.4221116381701067,-0.37981556343225376,clip_model.visual.conv1,3072,0.03684412767887115,264.30880926782265,3072,28,1462,0,1024,4.357315116042306,0.3977426889504706,0.417046457529068,633.7634680649468,success,0.6457913517951965,0.43604984879493713,under-trained,0,0.417046457529068,0.3263382315635681
9,NonDynamicallyQuantizableLinear,0.051385701546305285,768,768,1.0,2.8450967559791414,3.9188785926578444,0.17120273343336168,0.5036056693529006,0.0,0.9752577482928156,True,1.105825662612915,dense,0.6058915545746857,1.977167139115338,0.043686664280469405,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.4554114508094786,94.8783534321598,768,202,5,0,1,0.2053715811159869,1.0095140091190011,1.105825662612915,85.7986540192739,success,1.0515824556350708,0.00020615512039512396,,2,1.105825662612915,0.18431679904460907
12,Linear,0.05217501464104013,768,3072,4.0,1.2359479153414135,2.778129245581445,5.342257049533317,0.20936748504638678,0.02326305389404297,0.8361702150418864,True,83.74699401855469,dense,5.3587868844279605,2.701360881368039,1.922969227594455,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.0025000000000000005,502.76018963038223,768,165,370,0,1,0.138427174026788,0.377019252826287,83.74699401855469,6.003322214991889,success,9.151338577270508,0.018384847790002823,,0,83.74699401855469,0.8406544327735901
14,Linear,0.020793387298052246,768,3072,4.0,1.8455438102799024,2.6939889813311213,2.998778557446512,0.11574858306479417,0.01286095367386602,0.9208522691298828,True,12.975882530212402,dense,3.133834614999964,2.353112501800476,1.1131369052462834,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008920285984039305,225.48232371197082,768,213,419,0,1,0.11607021245803256,0.41859201709293115,12.975882530212402,17.377031827081428,success,3.602205276489258,0.060125932097435,,0,12.975882530212402,0.3251158893108368
18,NonDynamicallyQuantizableLinear,0.02843535746790471,768,768,1.0,2.962633336274162,4.244206919989576,0.7792656146991508,0.45789127331297347,0.0,0.9933110513664574,True,1.5261839628219604,dense,0.8369780925157196,1.9420054094010981,0.18360688566547662,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.3000236435890197,87.49946737487596,768,233,5,0,1,0.21253506188611965,1.0023723837912597,1.5261839628219604,57.332188980079955,success,1.235388159751892,0.00024708377895876765,,1,1.5261839628219604,0.14443829655647278
21,Linear,0.017780561827378194,768,3072,4.0,1.2505708382550804,3.0898084308749496,3.497646624550353,1.3505795609801121,0.1500643956644569,0.9925114581833245,True,13.551727294921875,dense,3.610163264310547,2.6911446255123126,1.1319946536490983,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09966106398010263,491.07138185884105,768,336,52,0,1,0.1140083966957303,0.9688959146772611,13.551727294921875,36.23681108480216,success,3.681267023086548,0.02672211453318596,,0,13.551727294921875,0.5628895163536072
23,Linear,0.032001823498864046,768,3072,4.0,1.7348908564246326,5.643746549324858,1.0011146736401288,0.5265754386938503,0.05850838207709448,1.0025023919066776,True,1.5044742822647095,dense,1.8030692057622533,2.4068169037875125,0.17738476823695934,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.35000627455139194,255.16253243817482,768,90,133,0,1,0.4894938657471332,0.839288356550671,1.5044742822647095,169.60245545312648,success,1.2265701293945312,0.044088106602430344,,0,1.5044742822647095,0.6221637725830078
27,NonDynamicallyQuantizableLinear,0.030291559657854905,768,768,1.0,2.9491410349478713,4.187224674059898,0.09003996601691908,0.4711335290527138,0.0,0.949627238625893,True,1.0507599115371704,dense,0.7693266175361121,1.9459701359418082,0.02150349528047108,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.44837409943008427,88.30191779274594,768,90,16,0,1,0.3359629794905687,1.0121329247558117,1.0507599115371704,84.03624540982717,success,1.0250657796859741,0.00023595821403432637,,2,1.0507599115371704,0.2795885503292084
30,Linear,0.0348296173710273,768,3072,4.0,1.270091873108621,5.753373888428186,3.663126916437585,0.9961524149903102,0.11068360166559002,0.9899314958049906,True,4.332035064697266,dense,3.948014639582888,2.6776909457716043,0.636691963267895,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.22995021972656263,476.092067848891,768,69,159,0,1,0.572238970594047,0.8450974167063392,4.332035064697266,109.90032646057578,success,2.0813541412353516,0.12742972373962402,,0,4.332035064697266,1.4086456298828125
32,Linear,0.05589271173784094,768,3072,4.0,1.641927641319415,4.890031549426412,1.2001223118323063,0.7134837519461363,0.07927597243845959,0.9974915061911643,True,1.7596334218978882,dense,2.2539899128835,2.4546531917705448,0.24542220222956998,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.4054729485511784,284.8742480094079,768,78,85,0,1,0.44045933855134445,0.9246019367139162,1.7596334218978882,161.89408797552335,success,1.3265117406845093,0.03373624384403229,,0,1.7596334218978882,0.7797717452049255
36,NonDynamicallyQuantizableLinear,0.042771783322432144,768,768,1.0,2.9869641264987017,4.595630945350001,-0.20605296414124716,0.4591037344066858,0.0,0.9521685252558119,True,0.9019101858139038,dense,0.5094690982176321,1.934901206532138,-0.0448367082978536,clip_model.visual.transformer.resblocks.3.attn.out_proj,768,0.5090348702430724,86.07979152857683,768,57,16,0,1,0.47625295311804483,1.011941539536627,0.9019101858139038,95.44164472529658,success,0.949689507484436,0.00014896733046043664,,3,0.9019101858139038,0.32921063899993896
39,Linear,0.021649031468238267,768,3072,4.0,1.2967577484477206,4.274770550182339,2.7016738130682576,1.185069021836403,0.13167433575960036,1.0028750211110806,True,4.285528659820557,dense,3.2747381266147104,2.659643516651245,0.6320044038277138,clip_model.visual.transformer.resblocks.3.mlp.c_fc,768,0.27652808227539055,456.713150376454,768,116,53,0,1,0.3040548123841798,0.9411078921979232,4.285528659820557,106.57101763393118,success,2.0701518058776855,0.1354065090417862,,0,4.285528659820557,0.987295925617218
41,Linear,0.04754789235707846,768,3072,4.0,1.6390801439891818,6.145048195189423,1.6101400888577546,0.7386255222248842,0.08206950246943158,1.0028145923688196,True,1.8281943798065186,dense,2.1999232401656825,2.4561608415771383,0.2620223695101746,clip_model.visual.transformer.resblocks.3.mlp.c_proj,768,0.40401914062499983,285.8649052082328,768,57,74,0,1,0.6814782813187495,0.9391199904446115,1.8281943798065186,156.36461219101136,success,1.3521074056625366,0.03247540444135666,under-trained,0,1.8281943798065186,0.8362762331962585
45,NonDynamicallyQuantizableLinear,0.052904525053683704,768,768,1.0,2.9645078577617947,5.256100706120293,-0.4971500584577963,0.46710407268939774,0.0,0.9531787035381527,True,0.804293692111969,dense,0.2371633921490067,1.9414560083736692,-0.09458533735453477,clip_model.visual.transformer.resblocks.4.attn.out_proj,768,0.5807630686035149,87.38884680440438,768,48,15,0,1,0.6143152220941769,1.0130466322454676,0.804293692111969,108.65290584951974,success,0.8968242406845093,0.00019423918274696916,,2,0.804293692111969,0.3605978786945343
48,Linear,0.02175458902988181,768,3072,4.0,1.3013742358076625,4.458776820788615,3.049154799518748,1.1449881437418703,0.12722090486020782,1.002586805813524,True,4.828970432281494,dense,3.438162111052106,2.656556811113082,0.683854546229441,clip_model.visual.transformer.resblocks.4.mlp.c_fc,768,0.23710812890625002,453.4786145351827,768,103,63,0,1,0.3408034068159035,0.9283493554328346,4.828970432281494,93.9079294219104,success,2.1974918842315674,0.1537015289068222,,0,4.828970432281494,1.0382161140441895
50,Linear,0.04335407823544646,768,3072,4.0,1.6404614279169685,5.755920673732243,1.5511871611637646,0.7670397707776276,0.08522664119751419,1.0083427597685004,True,1.8599196672439575,dense,2.05890188718862,2.455429173433773,0.2694941867845352,clip_model.visual.transformer.resblocks.4.mlp.c_proj,768,0.4124047851562496,285.38370601122733,768,67,46,0,1,0.5810281861125329,0.9578195684614197,1.8599196672439575,153.4387269715315,success,1.3637887239456177,0.03178807348012924,,0,1.8599196672439575,0.7404879331588745
54,NonDynamicallyQuantizableLinear,0.08214936464217298,768,768,1.0,2.945960131105844,5.494368597499227,-0.5603126582736788,0.47331299336308386,0.0,0.9541135912274646,True,0.7907160520553589,dense,0.13106818296122438,1.9469074899116317,-0.1019794446496921,clip_model.visual.transformer.resblocks.5.attn.out_proj,768,0.5985878143396369,88.49270893536924,768,55,14,1,1,0.6060205380586186,1.0133770925814813,0.7907160520553589,111.91464838148217,success,0.8892221450805664,2.5058734536287375e-05,,2,0.7907160520553589,0.358845591545105
57,Linear,0.020336228492407238,768,3072,4.0,1.2547718609794192,4.7761692625349585,3.9332488741491196,1.237571476938495,0.137507941882055,1.002052106621305,True,6.66063117980957,dense,4.021259856454618,2.6882316783964035,0.8235153860651794,clip_model.visual.transformer.resblocks.5.mlp.c_fc,768,0.18580393412113197,487.78863605484366,768,52,66,0,1,0.5236604577269551,0.9305905915975872,6.66063117980957,73.23459637481228,success,2.580819845199585,0.1558937281370163,,0,6.66063117980957,1.3969223499298096
59,Linear,0.05646647742112154,768,3072,4.0,1.5498274721296936,4.777883090234793,1.5022901200941663,0.8331868646039334,0.09257631828932593,1.0097435052232566,True,2.0626516342163086,dense,2.23680706200044,2.50479451023597,0.31442588521360015,clip_model.visual.transformer.resblocks.5.mlp.c_proj,768,0.40393969140625025,319.7381885967916,768,116,54,0,1,0.3507676390172578,0.9431120702463955,2.0626516342163086,155.01317977927673,success,1.4361934661865234,0.03241981565952301,,0,2.0626516342163086,0.6937350034713745
63,NonDynamicallyQuantizableLinear,0.07145312621913757,768,768,1.0,2.9405249328941676,5.212149692406081,-0.2959571710015442,0.47391092004159335,0.0,0.9530021840588325,True,0.8774408102035522,dense,0.373778411717573,1.9485114877042187,-0.05678217021140881,clip_model.visual.transformer.resblocks.6.attn.out_proj,768,0.5401058561792375,88.82014701955353,768,39,17,0,1,0.6744837537956514,1.0121461523753787,0.8774408102035522,101.2263687609295,success,0.9367181062698364,0.00016767122724559158,,3,0.8774408102035522,0.39621859788894653
66,Linear,0.02164278730786473,768,3072,4.0,1.2261199249554815,4.796809899598227,5.012571247722855,1.3063005117357165,0.14514450130396844,1.0019707296794493,True,11.091241836547852,dense,5.019705599524431,2.708295320124701,1.0449801748747016,clip_model.visual.transformer.resblocks.6.mlp.c_fc,768,0.11777766015625014,510.8522612862289,768,71,59,0,1,0.4505984348492021,0.9342502858219037,11.091241836547852,46.05906793979272,success,3.3303515911102295,0.2302538901567459,,0,11.091241836547852,1.3035935163497925
68,Linear,0.06099209944383355,768,3072,4.0,1.4416311876636434,5.376294085554506,2.062488074329075,0.9537151096802207,0.10596834552002452,1.0092653953822814,True,2.4189469814300537,dense,2.6928479751223233,2.567652881857384,0.3836263495835816,clip_model.visual.transformer.resblocks.6.mlp.c_proj,768,0.3942687115516667,369.53270565578714,768,61,59,0,1,0.5603270403831851,0.9385820443433787,2.4189469814300537,152.76593844042156,success,1.5552964210510254,0.03715365007519722,,0,2.4189469814300537,0.9935535788536072
72,NonDynamicallyQuantizableLinear,0.03768623317647818,768,768,1.0,2.9374650148297934,4.875265918245455,0.18129054773503556,0.47305911580235777,0.0,0.9573241956323983,True,1.0893959999084473,dense,0.5645150244816688,1.9494158142936104,0.03718577627869777,clip_model.visual.transformer.resblocks.7.attn.out_proj,768,0.4342398134765628,89.00528892048239,768,51,14,1,1,0.5426457685631628,1.010183835989773,1.0893959999084473,81.70150149987919,success,1.0437413454055786,3.672589809866622e-05,,3,1.0893959999084473,0.34895801544189453
75,Linear,0.022563225748044147,768,3072,4.0,1.2350702051870643,4.9291584496057155,5.499659658932379,1.3012144951725413,0.14457938835250464,1.0018476170762338,True,13.05389404296875,dense,5.501469440700265,2.7019779301700835,1.11574008325342,clip_model.visual.transformer.resblocks.7.mlp.c_fc,768,0.09968017902469628,503.47502271458507,768,89,53,0,1,0.4164899626791135,0.9392362202627609,13.05389404296875,38.568952762855695,success,3.6130173206329346,0.19932544231414795,,0,13.05389404296875,1.1875805854797363
77,Linear,0.054661435867105035,768,3072,4.0,1.3569765686871853,6.002831604639996,2.2158084261712654,1.1405519580694705,0.1267279953410523,1.0132651543835136,True,2.339522361755371,dense,2.807261211846618,2.6202165227632026,0.3691272006461945,clip_model.visual.transformer.resblocks.7.mlp.c_proj,768,0.487514877700806,417.0772705581039,768,81,37,0,1,0.555870178293333,0.9661368048093457,2.339522361755371,178.2745390153766,success,1.5295497179031372,0.04030763357877731,under-trained,0,2.339522361755371,0.9997376203536987
81,NonDynamicallyQuantizableLinear,0.043936323297172564,768,768,1.0,2.863648667353133,6.732338392468996,0.6357492051692087,0.4966803736158947,0.0,0.9624510250536124,True,1.2428884506225586,dense,0.6680662709416907,1.9715217508530132,0.09443215241235907,clip_model.visual.transformer.resblocks.8.attn.out_proj,768,0.3996178203821181,93.65301231357904,768,24,7,0,1,1.1701086745429183,1.009086133959439,1.2428884506225586,75.35110030724685,success,1.1148490905761719,0.0004116416093893349,under-trained,2,1.2428884506225586,0.425954669713974
84,Linear,0.031483071503116467,768,3072,4.0,1.2806880275654164,5.241398284432846,6.304566529742996,1.2582941673908665,0.1398104630434296,1.0003963783550835,True,15.952934265136719,dense,6.3047455362796745,2.6704745208977445,1.202840575666192,clip_model.visual.transformer.resblocks.8.mlp.c_fc,768,0.07887540602111813,468.24647957645357,768,88,37,0,1,0.45213457629527,0.9577302001555996,15.952934265136719,29.35174631790164,success,3.994112491607666,0.13638836145401,,0,15.952934265136719,1.0817062854766846
86,Linear,0.043898375993417726,768,3072,4.0,1.2269860432244175,8.310247302395002,4.4060221893358165,1.428334221176774,0.1587038023529749,1.01466539240138,True,3.3899357318878174,dense,4.466557352624128,2.7076819745858067,0.5301914647071944,clip_model.visual.transformer.resblocks.8.mlp.c_proj,768,0.42134551630020156,510.13130392087623,768,21,27,0,1,1.595226743431992,0.9776047080285499,3.3899357318878174,150.48406349485268,success,1.8411778211593628,0.04735647141933441,under-trained,0,3.3899357318878174,1.577125906944275
90,NonDynamicallyQuantizableLinear,0.041280259836798394,768,768,1.0,2.680475961122473,7.17689980408599,0.8563389643402919,0.5676359166378324,0.0,0.96252758884891,True,1.3161906003952026,dense,0.8879012895981157,2.0289373864993663,0.11931878495123431,clip_model.visual.transformer.resblocks.9.attn.out_proj,768,0.4312718207130431,106.89007615764332,768,23,6,0,1,1.2879726433382503,1.0097569585719035,1.3161906003952026,81.21169998140714,success,1.1472535133361816,0.00022741948487237096,under-trained,2,1.3161906003952026,0.48866400122642517
93,Linear,0.05211562733848463,768,3072,4.0,1.1789352452807453,5.1599280597446855,7.774217128204293,1.4078046403307496,0.15642273781452773,0.9895023931507146,True,32.11088180541992,dense,7.774226529914305,2.7423813170331455,1.5066522320059172,clip_model.visual.transformer.resblocks.9.mlp.c_fc,768,0.043841980075836146,552.5623843707144,768,99,42,0,1,0.41808850088012917,0.9325451948465728,32.11088180541992,17.20794800090008,success,5.666646480560303,0.15908977389335632,,0,32.11088180541992,1.1989225149154663
95,Linear,0.03782581417106834,768,3072,4.0,1.1540955498900178,10.255243087756135,4.872876242898049,1.5933603889562051,0.17704004321735614,1.0140176177153177,True,2.9864792823791504,dense,5.031729653038004,2.760877687189084,0.4751595063325059,clip_model.visual.transformer.resblocks.9.mlp.c_proj,768,0.5335246751441951,576.6040482635144,768,23,33,0,1,1.929851589399262,0.9711974100030305,2.9864792823791504,193.07150451891576,success,1.728143334388733,0.05014694854617119,under-trained,0,2.9864792823791504,1.7620675563812256
99,NonDynamicallyQuantizableLinear,0.0468495806793236,768,768,1.0,2.526438387502638,5.355841761730447,0.2957622419366657,0.6398938902464363,0.0,0.9610763930669467,True,1.1355921030044556,dense,0.846673996515745,2.0803437969878162,0.05522236374681585,clip_model.visual.transformer.resblocks.10.attn.out_proj,768,0.5634892040491106,120.32165501842661,768,56,10,0,1,0.5820738394070408,1.010491576605029,1.1355921030044556,105.95499449149878,success,1.0656416416168213,0.00017224079056177288,,2,1.1355921030044556,0.4490680992603302
102,Linear,0.06853712862394234,768,3072,4.0,1.191865622104005,5.64185265819471,7.601126756587776,1.5414446313154666,0.17127162570171853,1.0017338017364341,True,22.24717903137207,dense,7.6011393937849245,2.732906633499078,1.3472749497538274,clip_model.visual.transformer.resblocks.10.mlp.c_fc,768,0.0692871949806213,540.6380817443132,768,128,11,0,1,0.4102856864847851,0.9865066086469128,22.24717903137207,24.301421810914874,success,4.716691493988037,0.2403610348701477,,0,22.24717903137207,1.0869407653808594
104,Linear,0.03933459962476063,768,3072,4.0,1.027791782343021,6.306772659844018,4.36281550849879,1.7825141249845713,0.1980571249982857,1.004313069294015,True,4.917753219604492,dense,4.891248166309297,2.861550938064372,0.691766731386619,clip_model.visual.transformer.resblocks.10.mlp.c_proj,768,0.3624651432037351,727.0276667270809,768,40,83,0,1,0.8390744314908534,0.9148088806004786,4.917753219604492,147.837362767372,success,2.2176008224487305,0.05460864678025246,under-trained,0,4.917753219604492,2.308459997177124
108,NonDynamicallyQuantizableLinear,0.07312460808900445,768,768,1.0,2.2346873636978244,7.590321731737775,3.351121102518586,0.8049662070099215,0.0,0.9761456904374165,True,2.7637529373168945,dense,3.3512740962523933,2.186927673568164,0.4414992171552338,clip_model.visual.transformer.resblocks.11.attn.out_proj,768,0.2912583813629153,153.7898500797941,768,76,1,0,1,0.7559617482648665,1.0024797345179781,2.7637529373168945,55.645295931949796,success,1.6624538898468018,0.00020360955386422575,under-trained,2,2.7637529373168945,0.45287632942199707
111,Linear,0.027502787727742284,768,3072,4.0,1.2540335346426643,4.315630384665365,4.877460628364708,1.3479857289890307,0.1497761921098923,0.9940070013377219,True,13.495375633239746,dense,4.897803215701401,2.6887429194256414,1.1301849773084558,clip_model.visual.transformer.resblocks.11.mlp.c_fc,768,0.09988500991916656,488.3631872246042,768,117,42,0,1,0.3065301374973683,0.9706452608230203,13.495375633239746,36.187446759298986,success,3.67360520362854,0.10755565762519836,,0,13.495375633239746,1.0505279302597046
113,Linear,0.0408176396145547,768,3072,4.0,1.258026992580763,3.3838325641255262,2.614672545505164,0.27788308786307486,0.03087589865145276,0.9446819185507734,True,5.925098896026611,dense,3.592836773938395,2.6859813009241185,0.772695603566563,clip_model.visual.transformer.resblocks.11.mlp.c_proj,768,0.04689931640625004,485.2676059267251,768,100,401,0,1,0.23838325641255262,0.44210940990269276,5.925098896026611,81.90033861749497,success,2.434152603149414,0.04150812327861786,,0,5.925098896026611,1.3955421447753906
120,NonDynamicallyQuantizableLinear,0.05193478516910344,512,512,1.0,3.9790712585043777,4.798019586259599,-2.146479614600503,0.2531096687309209,0.0,0.9771839301113192,True,0.3569703698158264,dense,-1.607178409392089,1.5097065275696429,-0.4473678308332706,clip_model.transformer.resblocks.0.attn.out_proj,512,0.7090495182037351,32.33750639200926,512,59,1,0,1,0.49446003381897646,1.00093549120404,0.3569703698158264,90.5887690586009,success,0.5974699854850769,7.690853817621246e-05,,2,0.3569703698158264,0.1258230060338974
123,Linear,0.055597282734006104,512,2048,4.0,1.142402912921762,3.4648512086260195,7.131383463964561,1.4044297673900958,0.1560477519322329,0.7950213080367085,True,114.3425064086914,dense,7.131447563884949,2.5936313573633227,2.0582077077972123,clip_model.transformer.resblocks.0.mlp.c_fc,512,0.012282656830787664,392.31178760388866,512,122,18,0,1,0.22315714305676015,0.9025641010212997,114.3425064086914,3.4310231595034217,success,10.693105697631836,0.06594637036323547,,0,114.3425064086914,0.7668437957763672
125,Linear,0.029631230626689042,512,2048,4.0,2.23452394155203,5.658589654025835,0.290410280821933,0.4271602665235699,0.047462251835952214,0.9948180479894918,True,1.125439167022705,dense,0.5923630443039127,2.0108999365357874,0.05132202520027565,clip_model.transformer.resblocks.0.mlp.c_proj,512,0.3795498495521546,102.54156385094393,512,45,22,0,1,0.6944615430452663,0.9736193073293343,1.125439167022705,91.11248911143966,success,1.060867190361023,0.031350914388895035,,0,1.125439167022705,0.388541042804718
129,NonDynamicallyQuantizableLinear,0.08524969304989571,512,512,1.0,3.9190040414183436,4.719574372635048,-1.8732660339457772,0.26744149184790705,0.0,0.9317518245213908,True,0.4009459316730499,dense,-0.9701560754535994,1.5229185382988906,-0.3969141888741737,clip_model.transformer.resblocks.1.attn.out_proj,512,0.6670263262977596,33.336387700306325,512,49,11,0,1,0.5313677675192926,1.0133514861745283,0.4009459316730499,83.14434707243862,success,0.6332029104232788,0.00021733682660851628,,2,0.4009459316730499,0.18284165859222412
132,Linear,0.034287578932623686,512,2048,4.0,1.3703540375275631,4.7836972647999945,4.571548350763005,1.0762585199189265,0.11958427999099182,0.9886244056468682,True,9.029250144958496,dense,4.575027981645381,2.4356043935520293,0.9556516848175051,clip_model.transformer.resblocks.1.mlp.c_fc,512,0.11919688818454743,272.64930410310626,512,79,23,0,1,0.42569920133933636,0.9477631652868344,9.029250144958496,30.1962288923118,success,3.004871129989624,0.09693862497806549,,0,9.029250144958496,0.8396106958389282
134,Linear,0.058394625650117105,512,2048,4.0,2.1162041976968284,4.784147284439287,0.18906894424448034,0.45366672863624463,0.05040741429291608,0.9913966786167918,True,1.0952666997909546,dense,0.8557406730675582,2.058154817941175,0.03951988369159075,clip_model.transformer.resblocks.1.mlp.c_proj,512,0.4142066299676897,114.3285822380567,512,65,34,0,1,0.4693657040719009,0.9502432151355895,1.0952666997909546,104.38424016714627,success,1.046549916267395,0.02790362574160099,,0,1.0952666997909546,0.40113314986228943
138,NonDynamicallyQuantizableLinear,0.08841514988801313,512,512,1.0,3.7408883845724734,5.723344045572067,-2.0715745066529534,0.29265385895666335,0.0,0.9384391876674507,True,0.4345584809780121,dense,-1.4038669989989463,1.563320459942913,-0.3619517698321231,clip_model.transformer.resblocks.2.attn.out_proj,512,0.673451035400391,36.586465854993186,512,31,8,0,1,0.84833763388134,1.0118633884484378,0.4345584809780121,84.19227205657597,success,0.6592105031013489,6.397304241545498e-05,,2,0.4345584809780121,0.22461117804050446
141,Linear,0.02743410353803677,512,2048,4.0,1.3812864866634198,4.982515848246582,4.898730400005393,1.05994032018089,0.11777114668676555,0.9890527936853474,True,9.620200157165527,dense,4.899928951111533,2.428702434848972,0.983184108030349,clip_model.transformer.resblocks.2.mlp.c_fc,512,0.1101786140480042,268.35051608551294,512,75,22,0,1,0.4598613194074229,0.9480542960263878,9.620200157165527,27.89448365953532,success,3.10164475440979,0.0914081558585167,,0,9.620200157165527,0.8353242874145508
143,Linear,0.06508470230921193,512,2048,4.0,2.093477028554426,4.405440294015682,0.02053526530091846,0.47214871226706445,0.052460968029673836,0.9925335353341745,True,1.0107909440994263,dense,0.8828734919734418,2.067533561380457,0.004661342324582952,clip_model.transformer.resblocks.2.mlp.c_proj,512,0.4671081740722656,116.82440058566863,512,97,34,0,1,0.34577007431203266,0.9589950058590451,1.0107909440994263,115.57721333737753,success,1.0053809881210327,0.028207233175635338,,0,1.0107909440994263,0.3518645763397217
147,NonDynamicallyQuantizableLinear,0.10200941339939534,512,512,1.0,3.5204310443605915,6.132028788474749,-2.4440793109643097,0.3296580040541262,0.0,0.9431945320269988,True,0.39941468834877014,dense,-1.523622055132533,1.6160782767887034,-0.3985759681295036,clip_model.transformer.resblocks.3.attn.out_proj,512,0.8253527315607077,41.3121955954709,512,39,5,0,1,0.8217822951730195,1.0106427359775059,0.39941468834877014,103.43183863933656,success,0.6319926381111145,0.0003748919116333127,under-trained,1,0.39941468834877014,0.2329683005809784
150,Linear,0.035715021693759175,512,2048,4.0,1.4016060654812896,5.173794523514178,5.230344385471289,1.0748543287038808,0.11942825874487561,0.9869660253762996,True,10.254867553710938,dense,5.230734259600429,2.416018024481709,1.0109300556294032,clip_model.transformer.resblocks.3.mlp.c_fc,512,0.10481406250000004,260.6261715181172,512,68,18,0,1,0.5061469317668673,0.9687450894627541,10.254867553710938,25.41487446357161,success,3.202322244644165,0.11603696644306183,,0,10.254867553710938,0.8412509560585022
152,Linear,0.07833591412327173,512,2048,4.0,2.0263499378980536,6.395181578204006,-0.3722826760029016,0.5181184958593575,0.05756872176215084,0.9957785143174941,True,0.8745547533035278,dense,0.43625971423693627,2.0958410661190947,-0.05821299543264131,clip_model.transformer.resblocks.3.mlp.c_proj,512,0.592436887344361,124.69271068059606,512,45,25,0,1,0.8042661839879169,0.9723838482661504,0.8745547533035278,142.57850661674868,success,0.9351763129234314,0.028088735416531563,under-trained,0,0.8745547533035278,0.4822615683078766
156,NonDynamicallyQuantizableLinear,0.10243737955761684,512,512,1.0,3.554572598059705,8.680831066362607,-3.5485808353983472,0.3240823339035457,0.0,0.940648148636267,True,0.39013639092445374,dense,-2.788538960765977,1.6076951837349236,-0.4087835379205523,clip_model.transformer.resblocks.4.attn.out_proj,512,0.8306898342285152,40.522402289922184,512,23,6,0,1,1.601563989273976,1.011777627091048,0.39013639092445374,103.8672711199837,success,0.6246089935302734,5.010761378798634e-05,under-trained,1,0.39013639092445374,0.27501216530799866
159,Linear,0.05119783716845727,512,2048,4.0,1.4137732741094429,5.3168207359057025,5.331879014120478,1.0667800635023537,0.1185311181669282,0.9873469522320851,True,10.06542682647705,dense,5.332144136928005,2.4085104259270533,1.0028321959612223,clip_model.transformer.resblocks.4.mlp.c_fc,512,0.10598458285903926,256.15947584901005,512,83,15,0,1,0.4738326335848399,0.9734775801263598,10.06542682647705,25.449439975578972,success,3.1726057529449463,0.10993713140487671,,0,10.06542682647705,0.7868219017982483
161,Linear,0.08177448409831833,512,2048,4.0,1.9610505409712395,5.907635884855148,-0.2086206359497804,0.5562479890576182,0.06180533211751314,0.9957601885411979,True,0.9219052195549011,dense,0.6742965585580882,2.1242923877330018,-0.03531372616998985,clip_model.transformer.resblocks.4.mlp.c_proj,512,0.6033678704261775,133.13504448591266,512,61,25,0,1,0.6283583865435703,0.9750609291425437,0.9219052195549011,144.4129414411936,success,0.9601589441299438,0.028056737035512924,,0,0.9219052195549011,0.475129634141922
165,NonDynamicallyQuantizableLinear,0.10555117831355604,512,512,1.0,3.335678994958934,7.860730076363614,-2.747279427069908,0.36816302834303466,0.0,0.9392923454928189,True,0.4472041428089142,dense,-1.8901891351649542,1.6629014606330341,-0.3494941818865766,clip_model.transformer.resblocks.5.attn.out_proj,512,0.8232549592018135,46.01521553848414,512,25,7,0,1,1.372146015272723,1.0119856199389905,0.4472041428089142,102.89532482740434,success,0.6687332391738892,0.0005837758653797209,under-trained,2,0.4472041428089142,0.3083210289478302
