layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.068336161414153,3,768,256.0,3.388735156033523,23.417651814380122,-8.852098339487053,0.01544139544754776,0.012021847666775937,1.0980679913848195,True,0.4187842607498169,conv2d,-8.706997536393976,2.4273459549285947,-0.37800964886031946,clip_model.visual.conv1,3072,0.036871957460627915,267.5136548918672,3072,34,1462,0,1024,3.844595568383587,0.3963254506297421,0.4187842607498169,638.7863154477067,success,0.6471354365348816,0.43412983417510986,under-trained,0,0.4187842607498169,0.32659807801246643
9,NonDynamicallyQuantizableLinear,0.053198305144749436,768,768,1.0,2.8477492637590247,3.877373322907223,0.17131623904229668,0.5026191695908852,0.0,0.9750721199482256,True,1.1070916652679443,dense,0.6203080874850421,1.9763577235285625,0.044183581196624404,clip_model.visual.transformer.resblocks.0.attn.out_proj,768,0.4539995967445374,94.70168874603453,768,206,5,1,1,0.20047609885114379,1.0094650255269721,1.1070916652679443,85.54096441789608,success,1.0521842241287231,4.937511039315723e-05,,3,1.1070916652679443,0.18211676180362701
12,Linear,0.053246354526163,768,3072,4.0,1.2228682598681768,2.7771003044552094,5.426995263586063,0.22497533798217778,0.024997259775797528,0.8300235745060912,True,89.9901351928711,dense,5.441810550749015,2.7106018743874456,1.9541949042602875,clip_model.visual.transformer.resblocks.0.mlp.c_fc,768,0.002500000000000001,513.5726343904971,768,163,360,0,1,0.13919323841413234,0.386683704207828,89.9901351928711,5.706988141419991,success,9.486312866210938,0.018492041155695915,,0,89.9901351928711,0.8544247150421143
14,Linear,0.021133967416149924,768,3072,4.0,1.840326832371339,2.6938963897231494,3.003612357209506,0.11628131604901007,0.012920146227667788,0.9207115887870849,True,13.030753135681152,dense,3.1415024080382774,2.355571303479176,1.1149695172642426,clip_model.visual.transformer.resblocks.0.mlp.c_proj,768,0.008923606704711911,226.76253505935892,768,211,419,0,1,0.11661263657954803,0.41836820178203493,13.030753135681152,17.402105058565784,success,3.6098134517669678,0.06006183847784996,,0,13.030753135681152,0.3287404179573059
18,NonDynamicallyQuantizableLinear,0.028474109628989497,768,768,1.0,2.9628955499546676,4.228898227655673,0.778856415506435,0.45786121076462066,0.0,0.9929961740342235,True,1.5281809568405151,dense,0.8383351850971469,1.9419285366312347,0.1841747834963153,clip_model.visual.transformer.resblocks.1.attn.out_proj,768,0.29961190702915175,87.48398080658262,768,230,6,0,1,0.21290724418984153,1.0024281922271823,1.5281809568405151,57.247134519627885,success,1.2361961603164673,0.0001537476055091247,,2,1.5281809568405151,0.14538483321666718
21,Linear,0.017817037126903745,768,3072,4.0,1.24752692879244,3.10665524281948,3.5159644580254805,1.3514803655876215,0.15016448506529126,0.9925908678271631,True,13.544169425964355,dense,3.627270861439921,2.6932613621024006,1.131752377787027,clip_model.visual.transformer.resblocks.1.mlp.c_fc,768,0.09978318515396119,493.4706894578412,768,323,51,0,1,0.11721743327186698,0.9668598816202245,13.544169425964355,36.43417871839755,success,3.6802403926849365,0.05351453274488449,,0,13.544169425964355,0.5794113874435425
23,Linear,0.03065006567677908,768,3072,4.0,1.7300209468697048,5.780711213558862,1.0274309872782244,0.5422851206285052,0.06025390229205613,1.0024399280985714,True,1.505685806274414,dense,1.8123450605449678,2.409258496947502,0.1777343564349571,clip_model.visual.transformer.resblocks.1.mlp.c_proj,768,0.3601582205057147,256.60109005426057,768,86,125,0,1,0.5155173480428277,0.849325075971147,1.505685806274414,170.42140464163646,success,1.2270638942718506,0.043292637914419174,,0,1.505685806274414,0.6349721550941467
27,NonDynamicallyQuantizableLinear,0.02949474304030797,768,768,1.0,2.9498819478392186,4.133115346634524,0.08184596984244133,0.47085224757858957,0.0,0.9495523840266905,True,1.0466524362564087,dense,0.7806460196589048,1.945751947687303,0.019802488674574768,clip_model.visual.transformer.resblocks.2.attn.out_proj,768,0.4498649516000747,88.25756631414262,768,94,16,0,1,0.32315617354983317,1.0120849444186653,1.0466524362564087,84.32366204565095,success,1.0230603218078613,0.00014150336210150272,,2,1.0466524362564087,0.2742481529712677
30,Linear,0.03651343088746084,768,3072,4.0,1.2682786621434132,5.781910609827727,3.6976940789754402,1.0024829138370472,0.11138699042633857,0.9900568243705156,True,4.360417366027832,dense,3.9730851227014243,2.678931848373831,0.6395280606189817,clip_model.visual.transformer.resblocks.2.mlp.c_fc,768,0.22990526586914076,477.4543432947248,768,70,158,0,1,0.5715476368145777,0.8465681328862482,4.360417366027832,109.49739513804084,success,2.0881612300872803,0.12675568461418152,,0,4.360417366027832,1.4064067602157593
32,Linear,0.056911494813279395,768,3072,4.0,1.6395380260159116,4.871417888370368,1.2063943326946,0.7168718043646761,0.07965242270718624,0.9974640813967377,True,1.7686727046966553,dense,2.2622657259871795,2.4559182324917823,0.24764747355685687,clip_model.visual.transformer.resblocks.2.mlp.c_proj,768,0.40531625917053243,285.70525764580816,768,78,85,0,1,0.4383517564578333,0.9254457905556808,1.7686727046966553,161.5365335186814,success,1.3299145698547363,0.03354187309741974,,0,1.7686727046966553,0.7812030911445618
