layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.11197632578348315,3,32,10.666666666666666,24.516481480537287,2.024291462225422,-4.060087311067645,0.0007581105146059324,0.00021389871287026476,0.7864683939333107,True,0.009869992733001709,conv2d,-3.687741441175464,-1.3475525196354183,-2.0056831670890682,clip_model.visual.conv1,27,0.07680963250064848,0.044920799824467395,27,19,8,0,9,0.2349885775037959,0.5167961920405785,0.009869992733001709,4.551249533778114,success,0.09934783726930618,0.029568780213594437,,0,0.009869992733001709,0.0005273229908198118
6,Conv2d,0.07624161461235823,32,32,1.0,17.33521977609962,1.7585557363832116,-2.1227718396992885,0.013306669741859066,0.0,0.7236521251337787,True,0.062071047723293304,conv2d,-1.1904787427248247,-0.018466216275473176,-1.2071109239137074,clip_model.visual.conv2,288,0.2143780430641175,0.9583712650120986,288,78,18,0,9,0.08588952394253525,0.9998481456463331,0.062071047723293304,15.4399079790698,success,0.24914062023162842,0.0005120960413478315,over-trained,15,0.062071047723293304,0.0015620141057297587
9,Conv2d,0.11509912240756137,32,64,2.0,13.803614729371754,3.5236140549805577,-4.512436489617326,0.00695179986012936,0.00020464188101920698,0.8739053594761662,True,0.052404992282390594,conv2d,-3.9149468797429634,0.17940682923880508,-1.2806273386380351,clip_model.visual.conv3,288,0.13265529785156252,1.5114953980173595,288,33,60,0,9,0.43930481922786907,0.674187617817847,0.052404992282390594,28.842584116270547,success,0.22892136871814728,0.01947994902729988,,0,0.052404992282390594,0.01482981164008379
15,Conv2d,0.12005256781180951,64,64,1.0,12.435394329430244,2.4300069182579915,-3.3084650103493116,0.027095750101305358,0.0,0.8237164921625282,True,0.043500639498233795,conv2d,-2.818244353237011,-0.38313914883563127,-1.3615043584818531,clip_model.visual.layer1.0.conv1,64,0.6228816498756413,0.41386704972939015,64,23,2,0,1,0.2981770546581283,1.023481872147665,0.043500639498233795,9.51404518423675,success,0.20856806635856628,0.00038189245969988406,,1,0.043500639498233795,0.00651298463344574
18,Conv2d,0.07681663476710429,64,64,1.0,13.981689318867664,2.4960835318491714,-2.36620809760554,0.02066061019784945,0.0,0.8711423382088678,True,0.11272796988487244,conv2d,-1.7666218270551093,0.46930318816629585,-0.9479683141263241,clip_model.visual.layer1.0.conv2,576,0.18327847311496745,2.9464779009511877,576,79,29,0,9,0.16832254804581764,1.0048499701721814,0.11272796988487244,26.13794876249777,success,0.33574986457824707,0.0017873093020170927,,8,0.11272796988487244,0.010410455986857414
22,Conv2d,0.07815888299352047,64,256,4.0,7.068037554347502,4.295457779382754,-4.268660653381217,0.03995813045393557,0.0044397922726595075,0.9438155988323247,True,0.10144682973623276,conv2d,-4.1444547187231855,0.1075822772599457,-0.9937615203366318,clip_model.visual.layer1.0.conv3,64,0.3938824954690932,1.281097776023671,64,12,3,0,1,0.9513167180148396,0.9419116522358136,0.10144682973623276,12.62826822045198,success,0.31850719451904297,0.05518929660320282,,0,0.10144682973623276,0.03099041059613228
27,Conv2d,0.06191584246602855,64,256,4.0,6.327114735628002,3.2498954147464145,-2.489845232255456,0.0049674517871989106,0.0005519390874665456,0.9091276421934816,True,0.1713440865278244,conv2d,-2.3575786831645034,0.2037685539676546,-0.7661308794608505,clip_model.visual.layer1.0.downsample.0,64,0.028991089729800808,1.598705812561093,64,25,50,0,1,0.4499790829492829,0.2972906710329584,0.1713440865278244,9.330382185681561,success,0.4139373004436493,0.016804737970232964,,0,0.1713440865278244,0.026195192709565163
31,Conv2d,0.10583117334128328,64,256,4.0,6.603475160014805,3.0858540016702056,-3.446476536769098,0.04164493340226047,0.0046272148224733856,0.9463650686347225,True,0.07640765607357025,conv2d,-2.733193891753881,0.16663487695479198,-1.1168631227866603,clip_model.visual.layer1.1.conv1,64,0.5450361330566406,1.4676918308250606,64,27,6,0,1,0.4014227897848504,0.8983847586999383,0.07640765607357025,19.20870114654311,success,0.27641934156417847,0.06664874404668808,,0,0.07640765607357025,0.022120779380202293
34,Conv2d,0.07856996045646925,64,64,1.0,14.265096240010488,2.5842067081226237,-2.977020991758204,0.019957276444021496,0.0,0.8783463142542396,True,0.07046837359666824,conv2d,-2.0550247245510627,0.4518730714490088,-1.1520057518622233,clip_model.visual.layer1.1.conv2,576,0.2832089833412173,2.830564603359759,576,77,28,0,9,0.1805371096888796,1.007616677041513,0.07046837359666824,40.16787189613226,success,0.2654587924480438,0.001975450897589326,,8,0.07046837359666824,0.010805867612361908
38,Conv2d,0.10396403620330819,64,256,4.0,6.963348180962932,6.334481961305857,-7.679563918830557,0.044995524854692014,0.004999502761632446,0.9613898544302609,True,0.06132776662707329,conv2d,-7.3903857510823965,0.1205437514080053,-1.212342850724199,clip_model.visual.layer1.1.conv3,64,0.7336892785987845,1.3199082743376493,64,11,2,0,1,1.6084068287791546,0.9847171761359501,0.06132776662707329,21.522196990538585,success,0.24764443933963776,0.06533531099557877,under-trained,0,0.06132776662707329,0.034184131771326065
