layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.1081439044355339,3,32,10.666666666666666,24.526790526628837,2.02260708764012,-4.064049839864895,0.0007901658785534091,0.00022294304210307748,0.7882052717747274,True,0.009787852875888348,conv2d,-3.687969842450517,-1.3479176797655608,-2.0093125672800007,clip_model.visual.conv1,27,0.08072923536682129,0.044883045738970395,27,19,8,0,9,0.23460215547219596,0.5278308391875521,0.009787852875888348,4.58558647214002,success,0.09893357753753662,0.029755733907222748,,0,0.009787852875888348,0.0005288177635520697
6,Conv2d,0.07790515229378026,32,32,1.0,17.334525292078784,1.7540948441429758,-2.1167010048231476,0.013295409268663879,0.0,0.7237396061029084,True,0.062126971781253815,conv2d,-1.1843246071972375,-0.018431418145003386,-1.2067198144336009,clip_model.visual.conv2,288,0.21400381971740706,0.9584480582153747,288,79,18,0,9,0.08484229852959578,0.9993849674957307,0.062126971781253815,15.427245699179188,success,0.2492528259754181,0.0006278932560235262,over-trained,15,0.062126971781253815,0.001523435115814209
9,Conv2d,0.11345100544096276,32,64,2.0,13.804186385884403,3.55812672186734,-4.5571673201713185,0.00694940259540335,0.00020457131213450053,0.8740355218152622,True,0.052386920899152756,conv2d,-3.9663618039510298,0.17937085864223548,-1.2807771269539474,clip_model.visual.conv3,288,0.13265529785156244,1.5113702130520323,288,33,60,0,9,0.44531270338029993,0.6740992797512375,0.052386920899152756,28.850144026626225,success,0.22888189554214478,0.0194216500967741,,0,0.052386920899152756,0.01489758025854826
15,Conv2d,0.11850038888262804,64,64,1.0,12.429980193336139,2.41210984698239,-3.284149116626804,0.027120921526246938,0.0,0.8238026896111001,True,0.04349851980805397,conv2d,-2.789478657667025,-0.38276089923959977,-1.3615255212093085,clip_model.visual.layer1.0.conv1,64,0.6234906761407859,0.41422766503143293,64,23,2,0,1,0.2944452573277586,1.0235113475386288,0.04349851980805397,9.522799094297838,success,0.20856298506259918,0.0006968385423533618,,1,0.04349851980805397,0.006469151470810175
18,Conv2d,0.07566814455573861,64,64,1.0,13.98202339116208,2.514291042286251,-2.376892655320526,0.020651060021329697,0.0,0.8711423327438483,True,0.11340885609388351,conv2d,-1.7887790455496788,0.46928243473408415,-0.9453530300769046,clip_model.visual.layer1.0.conv2,576,0.18209389224624647,2.946337102320559,576,77,29,0,9,0.17256948010660714,1.004641705903019,0.11340885609388351,25.97977974384545,success,0.33676230907440186,0.0019168300786986947,,7,0.11340885609388351,0.010673543438315392
22,Conv2d,0.08255207068080062,64,256,4.0,7.0674766604117245,4.408189042390385,-4.385286835335449,0.040663425690179555,0.004518158410019951,0.9439078402509178,True,0.10120346397161484,conv2d,-4.269382482408421,0.10765120807849765,-0.9948046222984763,clip_model.visual.layer1.0.conv3,64,0.4017987536630631,1.2813011268153787,64,12,3,0,1,0.9838594305366107,0.950112660870805,0.10120346397161484,12.660644967397095,success,0.318124920129776,0.05442070588469505,,0,0.10120346397161484,0.03128979355096817
27,Conv2d,0.06200582978589736,64,256,4.0,6.328008352646434,3.1762837573747347,-2.4316944968528733,0.004973228559327162,0.0005525809510363513,0.9090926040375121,True,0.17156216502189636,conv2d,-2.2901086352969107,0.20364588651101181,-0.7655784818364968,clip_model.visual.layer1.0.downsample.0,64,0.028987909768406293,1.598254318261752,64,26,50,0,1,0.4268043594603384,0.2975054967129114,0.17156216502189636,9.315890354133545,success,0.41420063376426697,0.01682380586862564,,0,0.17156216502189636,0.025354590266942978
31,Conv2d,0.10895970310144326,64,256,4.0,6.603793524193573,3.0831419638107405,-3.450254149279141,0.04153116972328494,0.004614574413698327,0.9464545221646948,True,0.07602023333311081,conv2d,-2.731037107613698,0.16659300189056578,-1.1190708017267725,clip_model.visual.layer1.1.conv1,64,0.5463173145141602,1.467550321482122,64,27,6,0,1,0.40090085785544555,0.897200090200687,0.07602023333311081,19.30473318927484,success,0.27571767568588257,0.06665626168251038,,0,0.07602023333311081,0.022094156593084335
34,Conv2d,0.08021812455375799,64,64,1.0,14.265720957483314,2.574849661283805,-2.9568735509933415,0.019961091471463428,0.0,0.8783741202227844,True,0.07106120139360428,conv2d,-2.041881400922828,0.4518350337931839,-1.1483674544008373,clip_model.visual.layer1.1.conv2,576,0.28089999999999976,2.830316699387346,576,77,29,0,9,0.17947077523716798,1.0077571115083646,0.07106120139360428,39.82928298257118,success,0.26657307147979736,0.0016191983595490456,,10,0.07106120139360428,0.01076640747487545
38,Conv2d,0.11490373527954434,64,256,4.0,6.962344033370236,7.009192014974865,-8.494465191839769,0.04504105459277142,0.0050045616214190475,0.9613943517734196,True,0.061389822512865067,conv2d,-8.25482976748703,0.12066901505811856,-1.2119036222280222,clip_model.visual.layer1.1.conv3,64,0.7336892785987851,1.3202890306711197,64,8,2,0,1,2.1245702116203904,0.9850731816492002,0.061389822512865067,21.506643554710315,success,0.24776969850063324,0.06517206132411957,under-trained,0,0.061389822512865067,0.037232812494039536
43,Conv2d,0.12731466965267835,64,256,4.0,6.896982728017705,6.580652613012746,-7.382670703720638,0.038523064194363875,0.004280340466040431,0.9433431174414308,True,0.07553093135356903,conv2d,-7.19807554874674,0.12886169719405538,-1.1218751600900436,clip_model.visual.layer1.2.conv1,64,0.5100303081665041,1.3454318277072161,64,8,7,0,1,1.9730586530538692,0.9024606855199804,0.07553093135356903,17.812991361235756,success,0.2748289108276367,0.05677299574017525,under-trained,0,0.07553093135356903,0.042356815189123154
46,Conv2d,0.09631877594173377,64,64,1.0,14.343683940513476,3.215747033126715,-3.8206338056734,0.019905012354487314,0.0,0.8831236168700716,True,0.06484828889369965,conv2d,-3.031071009581775,0.4471010692445766,-1.1881014788525033,clip_model.visual.layer1.2.conv2,576,0.30694737970829006,2.799632775867786,576,43,29,0,9,0.3378982547705345,1.0118402172503786,0.06484828889369965,43.172037745775974,success,0.25465327501296997,0.001378138898871839,,10,0.06484828889369965,0.017895210534334183
50,Conv2d,0.11839134654956218,64,256,4.0,7.157446230882835,4.012367967112133,-4.637164184323834,0.04210754795962565,0.004678616439958405,0.9601009885170707,True,0.06986866146326065,conv2d,-4.312313422266544,0.09666378570135625,-1.1557175768356542,clip_model.visual.layer1.2.conv3,64,0.6026671626129155,1.249291501706466,64,23,1,0,1,0.6281221415866879,0.9791445503021585,0.06986866146326065,17.88057013749128,success,0.264326810836792,0.06006550416350365,,0,0.06986866146326065,0.022496024146676064
56,Conv2d,0.11336573447148068,128,256,2.0,7.034511152455664,6.085553019601987,-6.008056056363695,0.0448649584957136,0.0013207010678009704,0.9156610031436592,True,0.10297565907239914,conv2d,-5.663076125017389,0.41274212464723875,-0.9872654197591133,clip_model.visual.layer2.0.conv1,128,0.43568508227920516,2.5866765424143523,128,8,13,0,1,1.7980145131221439,0.8728243831337594,0.10297565907239914,25.11930067469378,success,0.3208982050418854,0.028298137709498405,under-trained,0,0.10297565907239914,0.061730045825242996
59,Conv2d,0.07772803486822233,128,128,1.0,10.391891513610615,3.857325816251026,-3.475551604445096,0.0379926147311926,0.0,0.9565023061521616,True,0.12559542059898376,conv2d,-2.82317075191241,1.028063270564294,-0.9010261953508039,clip_model.visual.layer2.0.conv2,1152,0.3025000000000001,10.667515205209634,1152,72,45,0,9,0.33673907678841464,1.0127778637463807,0.12559542059898376,84.9355426681532,success,0.35439443588256836,0.001281272852793336,,11,0.12559542059898376,0.03436708077788353
63,Conv2d,0.08493979358056883,128,512,4.0,4.993232794540013,5.560067428626372,-4.5162863403505815,0.08423890715091675,0.009359878572324084,0.9663816889701936,True,0.154073566198349,conv2d,-4.230474256096236,0.7104463412318874,-0.8122718651033233,clip_model.visual.layer2.0.conv3,128,0.5467447092285154,5.133887424133718,128,17,5,0,1,1.1059788040097207,0.9661552478367017,0.154073566198349,33.32101379106477,success,0.39252206683158875,0.08009152114391327,,0,0.154073566198349,0.07015343010425568
68,Conv2d,0.07240244484347391,256,512,2.0,4.902037573087843,6.335288404270971,-3.711945983024768,0.08343082647205799,0.00245597422361801,0.9302607206890487,True,0.2594681978225708,conv2d,-3.4602581043672833,1.0274866939023417,-0.5859158646230436,clip_model.visual.layer2.0.downsample.0,256,0.3215454809961318,10.653362229466438,256,16,36,0,1,1.3338221010677427,0.829429009919878,0.2594681978225708,41.05845078074426,success,0.5093802213668823,0.03969108313322067,under-trained,0,0.2594681978225708,0.1257680505514145
