layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10712505640194503,3,32,10.666666666666666,24.559196535392832,1.9986584537321057,-4.016805295614298,0.0007513290987498559,0.00021198535578695514,0.7878617705703342,True,0.009777982719242573,conv2d,-3.6388991055431195,-1.3490645449850465,-2.0097507346058534,clip_model.visual.conv1,27,0.07683886547183996,0.04476467698259512,27,19,8,0,9,0.22910796204899148,0.5153759664191281,0.009777982719242573,4.57810964366919,success,0.09888368099927902,0.029383264482021332,over-trained,0,0.009777982719242573,0.0005151168443262577
6,Conv2d,0.0777884314327002,32,32,1.0,17.33226063793552,1.7573504933231794,-2.1185220363890296,0.013314056990442342,0.0,0.7235438600581302,True,0.06229877471923828,conv2d,-1.1882344350859777,-0.018317934673968764,-1.2055204948802607,clip_model.visual.conv2,288,0.21371298312759388,0.9586985385439424,288,78,18,0,9,0.08575305703879159,0.9999549195200923,0.06229877471923828,15.388722215878346,success,0.2495972216129303,0.000754381122533232,over-trained,16,0.06229877471923828,0.001558608957566321
9,Conv2d,0.1152311216719879,32,64,2.0,13.800502262576131,3.5277561206616244,-4.506581411618196,0.006962123785963127,0.00020494578902067895,0.8739487453084775,True,0.05278809741139412,conv2d,-3.9185305189418345,0.1796027025080814,-1.2774639905586769,clip_model.visual.conv3,288,0.1318881362915038,1.5121772586708175,288,33,60,0,9,0.4400258603124437,0.674535910778858,0.05278809741139412,28.64617845356214,success,0.22975660860538483,0.019161690026521683,,0,0.05278809741139412,0.014839655719697475
15,Conv2d,0.1192685544802271,64,64,1.0,12.426163695913788,2.43583243304601,-3.314362436482792,0.027211626548053328,0.0,0.8235401124762702,True,0.04358436167240143,conv2d,-2.82576729291487,-0.3824941669916476,-1.3606693102194143,clip_model.visual.layer1.0.conv1,64,0.6243438128700259,0.41448215090952756,64,23,2,0,1,0.29939175846073285,1.0249066850403348,0.04358436167240143,9.50988232946834,success,0.20876868069171906,5.006569699617103e-05,,2,0.04358436167240143,0.006553287152200937
18,Conv2d,0.07322075042873744,64,64,1.0,13.979089003892827,2.504908690176569,-2.3695959090816716,0.020669954079708446,0.0,0.8712428850568362,True,0.11324500292539597,conv2d,-1.7779578149454742,0.46946474338983096,-0.9459809526688339,clip_model.visual.layer1.0.conv2,576,0.18252420456314078,2.947574178857054,576,79,29,0,9,0.16931545593160882,1.00489024484622,0.11324500292539597,26.028293546858485,success,0.33651894330978394,0.0017013071337714791,,9,0.11324500292539597,0.01045179832726717
22,Conv2d,0.07884668409122697,64,256,4.0,7.067321716842136,4.290259290798666,-4.25930428179909,0.03995903308122498,0.004439892564580553,0.9437438603021255,True,0.10167523473501205,conv2d,-4.135326442626536,0.10767025076605075,-0.9927848162776629,clip_model.visual.layer1.0.conv3,64,0.3930065485992433,1.281357309781015,64,12,3,0,1,0.9498160436231385,0.9418268946389621,0.10167523473501205,12.602452437120139,success,0.3188655376434326,0.05492836609482765,,0,0.10167523473501205,0.030965231359004974
27,Conv2d,0.06095444338043232,64,256,4.0,6.327219340712788,3.2443638859823993,-2.4819315324930784,0.004979517330103605,0.0005532797033448451,0.9090386014029285,True,0.171791672706604,conv2d,-2.3502619752480993,0.20375419385646132,-0.7649978916411052,clip_model.visual.layer1.0.downsample.0,64,0.028985789891038085,1.5986529516230803,64,25,50,0,1,0.4488727771964799,0.2976564207058538,0.171791672706604,9.305765095805048,success,0.4144775867462158,0.016437377780675888,,0,0.171791672706604,0.026191551238298416
31,Conv2d,0.10184909277853305,64,256,4.0,6.60383810256218,3.1045102822610153,-3.483958664557641,0.041351664563052934,0.004594629395894771,0.9465713910724854,True,0.07547013461589813,conv2d,-2.759621852958351,0.16658713857152557,-1.1222248753578852,clip_model.visual.layer1.1.conv1,64,0.5479209063758848,1.4675305085256696,64,27,6,0,1,0.4050131926585775,0.8952651041243892,0.07547013461589813,19.44518207095562,success,0.2747182846069336,0.06724186986684799,,0,0.07547013461589813,0.02220047265291214
34,Conv2d,0.08088676686340623,64,64,1.0,14.263539714170618,2.6008596593248012,-2.993440509910258,0.019978954582057357,0.0,0.8784650309280377,True,0.07064107060432434,conv2d,-2.078830304833045,0.4519678520876559,-1.1509427274085882,clip_model.visual.layer1.1.conv2,576,0.2828234964609148,2.831182414566726,576,77,29,0,9,0.18243488960763396,1.008053773797615,0.07064107060432434,40.07841883406299,success,0.2657838761806488,0.001631983439438045,,13,0.07064107060432434,0.010876006446778774
38,Conv2d,0.0981788279932102,64,256,4.0,6.963139259072286,6.932813522971305,-8.401128334391984,0.04509681138587941,0.0050107568206532675,0.9613814997516745,True,0.061405595391988754,conv2d,-8.157591138145612,0.12056981214289018,-1.2117920533352786,clip_model.visual.layer1.1.conv3,64,0.7344088286743156,1.3199874805286527,64,8,2,0,1,2.09756633680413,0.9857952920810968,0.061405595391988754,21.496208482344006,success,0.2478015273809433,0.06519942730665207,under-trained,0,0.061405595391988754,0.03716124966740608
