layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.10755722487405772,3,32,10.666666666666666,24.501607880463332,2.0225013412376054,-4.061723909101991,0.0007919931867020933,0.00022345861186960953,0.7875033404501224,True,0.009811432100832462,conv2d,-3.683998812210287,-1.3470254062598785,-2.008267597299366,clip_model.visual.conv1,27,0.08072146640396112,0.04497535435075406,27,19,8,0,9,0.2345778955836589,0.5278982361881943,0.009811432100832462,4.583974478806012,success,0.09905267506837845,0.029950805008411407,,0,0.009811432100832462,0.0005281128105707467
6,Conv2d,0.07482224094027395,32,32,1.0,17.334699892153168,1.7589921634025782,-2.123651490582721,0.013305687401468713,0.0,0.7237326390098803,True,0.06204238533973694,conv2d,-1.191255453369367,-0.018440166866492542,-1.2073115132444643,clip_model.visual.conv2,288,0.21446124820327755,0.9584287507845539,288,78,18,0,9,0.08593893957164617,0.99978125461134,0.06204238533973694,15.44796747475631,success,0.24908308684825897,0.0005802722880616784,over-trained,14,0.06204238533973694,0.0015629824483767152
9,Conv2d,0.11579535439200334,32,64,2.0,13.802743320145035,3.568643251755326,-4.5676761288439085,0.006961346009846732,0.00020492289342951216,0.8739512349612799,True,0.0524870865046978,conv2d,-3.979120829328971,0.1794616641747413,-1.2799475337292914,clip_model.visual.conv3,288,0.13262968995666516,1.5116862546583434,288,33,60,0,9,0.4471433962519886,0.6746077631927196,0.0524870865046978,28.801108145391943,success,0.22910059988498688,0.019440166652202606,,0,0.0524870865046978,0.014928839169442654
15,Conv2d,0.11774280903746936,64,64,1.0,12.427589560170745,2.4163706513486707,-3.290001180363122,0.027188542654422748,0.0,0.8234180768028547,True,0.04349641129374504,conv2d,-2.7947236694602156,-0.382593829199289,-1.3615465733813825,clip_model.visual.layer1.0.conv1,64,0.6250755371704095,0.41438704616251165,64,23,2,0,1,0.2953336964536054,1.0245894285486206,0.04349641129374504,9.526924953969758,success,0.20855793356895447,0.00011770102719310671,,2,0.04349641129374504,0.0064820097759366035
18,Conv2d,0.07732307279259087,64,64,1.0,13.97933426893757,2.517131135147612,-2.3830250692405537,0.02067120677238245,0.0,0.8713064446388732,True,0.11305176466703415,conv2d,-1.7942803307805884,0.4694495040103425,-0.9467226542016476,clip_model.visual.layer1.0.conv2,576,0.18284727207279206,2.947470750387994,576,78,29,0,9,0.1717812742113362,1.0049383263032428,0.11305176466703415,26.071868573383494,success,0.33623170852661133,0.0018709094729274511,,8,0.11305176466703415,0.010602420195937157
22,Conv2d,0.08085228315084847,64,256,4.0,7.067246534639034,4.374192398899475,-4.348895372573105,0.04070269868897879,0.004522522076553199,0.9439459638117127,True,0.10134054720401764,conv2d,-4.231101489098832,0.10767949086885802,-0.9942167549985377,clip_model.visual.layer1.0.conv3,64,0.40164277588748937,1.2813845723867416,64,12,3,0,1,0.9740454449011006,0.9505404108330736,0.10134054720401764,12.644342346080615,success,0.3183403015136719,0.055266764014959335,,0,0.10134054720401764,0.031211188063025475
27,Conv2d,0.05986961795017787,64,256,4.0,6.327596603361364,3.222225021166159,-2.46333217417873,0.004985013617827885,0.0005538904019808761,0.9090035529289595,True,0.17199596762657166,conv2d,-2.3292374232412985,0.20370240548205043,-0.7644817348253421,clip_model.visual.layer1.0.downsample.0,64,0.028983316798746567,1.5984623281983659,64,25,50,0,1,0.4444450042332318,0.2978384065449966,0.17199596762657166,9.293603508594229,success,0.4147239625453949,0.016560545191168785,,0,0.17199596762657166,0.02605087123811245
31,Conv2d,0.11167110431851734,64,256,4.0,6.604173532712795,3.2369067309727413,-3.6214207066829527,0.0415661039664746,0.004618455996274955,0.9462656464968483,True,0.07606930285692215,conv2d,-2.9264808224491867,0.16654302126832193,-1.1187905638525022,clip_model.visual.layer1.1.conv1,64,0.546424147525787,1.4673814387060702,64,24,6,0,1,0.456606674423365,0.8976290042162258,0.07606930285692215,19.290060294966164,success,0.27580663561820984,0.06622582674026489,,0,0.07606930285692215,0.02420189045369625
34,Conv2d,0.07635859597664785,64,64,1.0,14.263648786088241,2.6037924328985302,-2.9929638589978564,0.019965268070343854,0.0,0.8783958264420958,True,0.07088211923837662,conv2d,-2.08174805498656,0.45196121009670676,-1.149463306361215,clip_model.visual.layer1.1.conv2,576,0.28166861099624635,2.8311391155036247,576,77,28,0,9,0.18276911017472172,1.007716138668798,0.07088211923837662,39.94151340174384,success,0.26623696088790894,0.001736960606649518,,10,0.07088211923837662,0.010892708785831928
38,Conv2d,0.11351722072740028,64,256,4.0,6.962564729341892,6.484383252753948,-7.859201961567109,0.045028990223466465,0.005003221135940718,0.9615035685713479,True,0.061373379081487656,conv2d,-7.583271137457003,0.12064148251357984,-1.212019964771402,clip_model.visual.layer1.1.conv3,64,0.7336892785987854,1.3202053322456777,64,11,2,0,1,1.6536037687176117,0.9849724667202254,0.061373379081487656,21.511041953430546,success,0.24773651361465454,0.06548847258090973,under-trained,0,0.061373379081487656,0.0343276783823967
43,Conv2d,0.13173260423080696,64,256,4.0,6.898104682623635,3.45063725107616,-3.8784577001408858,0.03836674503518502,0.004262971670576113,0.9434308818899659,True,0.07516522705554962,conv2d,-3.3355441681711975,0.1287204124944022,-1.1239830263037067,clip_model.visual.layer1.2.conv1,64,0.5104321045532225,1.3449942029546946,64,22,7,0,1,0.5224776174571812,0.9007743266914315,0.07516522705554962,17.89383542952247,success,0.27416276931762695,0.0568668432533741,,0,0.07516522705554962,0.024575119838118553
46,Conv2d,0.09802475685156481,64,64,1.0,14.340906568529032,3.28874951150587,-3.904801818975092,0.01990602760597939,0.0,0.8831174000773391,True,0.0649649128317833,conv2d,-3.1316011119289464,0.44726927068087396,-1.1873211399390344,clip_model.visual.layer1.2.conv2,576,0.3064119805335998,2.800717278377453,576,43,29,0,9,0.3490310283540925,1.0116700933508442,0.0649649128317833,43.11122968223604,success,0.25488215684890747,0.0012793808709830046,,10,0.0649649128317833,0.018163204193115234
50,Conv2d,0.11453877161057757,64,256,4.0,7.1569710714377175,6.953363405700934,-8.033035431369674,0.04207718256154702,0.0046752425068385586,0.9602231386108315,True,0.06994016468524933,conv2d,-7.972749146382592,0.0967214503958406,-1.1552733494100909,clip_model.visual.layer1.2.conv3,64,0.601616864228249,1.2494573909789324,64,8,1,0,1,2.1048318175194844,0.9787264581711923,0.06994016468524933,17.86466183775584,success,0.26446202397346497,0.060368217527866364,under-trained,0,0.06994016468524933,0.03495430201292038
56,Conv2d,0.11873516475948415,128,256,2.0,7.0349028752368135,2.868532199972269,-2.8343318706504066,0.04478989964795798,0.001318491541620572,0.9157251488901503,True,0.10278330743312836,conv2d,-2.0620362822580343,0.412693757873186,-0.9880774113945128,clip_model.visual.layer2.0.conv1,128,0.43577017286682124,2.5863884838763624,128,42,13,0,1,0.2883207779677585,0.8721425254272162,0.10278330743312836,25.163507075884745,success,0.3205983638763428,0.027558717876672745,,0,0.10278330743312836,0.023740826174616814
59,Conv2d,0.07550109766557517,128,128,1.0,10.391788607105395,4.720177995811754,-4.26235354840666,0.038004622266911404,0.0,0.9564770636734766,True,0.12502390146255493,conv2d,-3.7840738704154724,1.0280718718759212,-0.9030069527438743,clip_model.visual.layer2.0.conv2,1152,0.3039788538217543,10.667726480127941,1152,35,46,0,9,0.6288248523015418,1.012927864227347,0.12502390146255493,85.32549660772632,success,0.35358718037605286,0.0010626415023580194,,13,0.12502390146255493,0.047108981758356094
63,Conv2d,0.09001936212265427,128,512,4.0,4.992179583454815,6.058271087633393,-4.913141144602716,0.0844566902082641,0.009384076689807123,0.9663926594103174,True,0.1545322984457016,conv2d,-4.6836760094807115,0.7106295700248355,-0.8109807358458745,clip_model.visual.layer2.0.conv3,128,0.5465309909820558,5.136053867638111,128,15,5,0,1,1.3060399788671073,0.9671992913129406,0.1545322984457016,33.23611904628972,success,0.39310595393180847,0.07972230017185211,under-trained,0,0.1545322984457016,0.07380332052707672
68,Conv2d,0.08116741973041275,256,512,2.0,4.901765333010838,6.214801190152952,-3.6372482523612195,0.08355773152009555,0.0024597099594366118,0.9302387068687589,True,0.25986286997795105,conv2d,-3.378628516935179,1.0275349332904073,-0.585255769424171,clip_model.visual.layer2.0.downsample.0,256,0.3215454809961319,10.65454562054947,256,16,36,0,1,1.303700297538238,0.8300134863145503,0.25986286997795105,41.00064630800657,success,0.509767472743988,0.039503272622823715,under-trained,0,0.25986286997795105,0.12528930604457855
72,Conv2d,0.0971341189649566,128,512,4.0,4.78839706967734,4.454252406313739,-3.4380721558436327,0.08036585008067805,0.008929538897853117,0.9560294016538362,True,0.16909746825695038,conv2d,-2.83554462134584,0.7468296569311103,-0.7718628946510286,clip_model.visual.layer2.1.conv1,128,0.4752634732446669,5.582511892542243,128,21,13,0,1,0.7537796724483842,0.9049710132883443,0.16909746825695038,33.013574656596234,success,0.4112146198749542,0.07735098898410797,,0,0.16909746825695038,0.07474518567323685
75,Conv2d,0.061576173719853355,128,128,1.0,10.031650905526956,4.525874365253573,-3.5798913811354915,0.04050887596561036,0.0,0.9383076153307611,True,0.16181419789791107,conv2d,-2.95594512190129,1.0587076578797068,-0.790983375194711,clip_model.visual.layer2.1.conv2,1152,0.2503419137001037,11.447421073461017,1152,30,63,0,9,0.6437336415928637,1.0095260063093163,0.16181419789791107,70.74423148383568,success,0.402261346578598,0.0005570809589698911,,16,0.16181419789791107,0.06308957934379578
79,Conv2d,0.07478488774914677,128,512,4.0,4.904602557558288,4.31802654275452,-2.809898061745012,0.07862930306785682,0.008736589229761869,0.9539538381136026,True,0.22349271178245544,conv2d,-2.561931308261679,0.7260023291120364,-0.6507366348777803,clip_model.visual.layer2.1.conv3,128,0.3518204349517824,5.321111129596829,128,17,11,0,1,0.8047396414341105,0.9168636908404826,0.22349271178245544,23.808879883189757,success,0.47275015711784363,0.07246759533882141,,0,0.22349271178245544,0.07426026463508606
84,Conv2d,0.09878038232405892,128,512,4.0,4.886275751247694,4.308481716535686,-3.261199350302828,0.08065832699287517,0.008962036332541687,0.9564329531894935,True,0.17501471936702728,conv2d,-2.770794464190714,0.7292540251892388,-0.7569254240505529,clip_model.visual.layer2.2.conv1,128,0.46086596192932083,5.361101444810629,128,23,11,0,1,0.6898661265419836,0.9251482209297155,0.17501471936702728,30.632288896614135,success,0.4183475971221924,0.08186239749193192,,0,0.17501471936702728,0.0678478553891182
87,Conv2d,0.07457115232638079,128,128,1.0,10.091081778863042,2.645611903786879,-2.3623401587576747,0.040128077316284184,0.0,0.953786670669075,True,0.12795943021774292,conv2d,-1.2467263283078176,1.0535770276029133,-0.8929277024253881,clip_model.visual.layer2.2.conv2,1152,0.3136,11.312980215108853,1152,211,46,0,9,0.11328859548407295,1.0107224350740234,0.12795943021774292,88.41067982139381,success,0.3577141761779785,0.0007359305745922029,,13,0.12795943021774292,0.016841385513544083
