layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
3,Conv2d,0.11015152946466922,3,32,10.666666666666666,24.555955294026145,2.009720895622346,-4.041530422789538,0.0007871181810420673,0.00022208314296919885,0.7883461765068135,True,0.009750100784003735,conv2d,-3.6626477059799587,-1.348949903927069,-2.01099089510039,clip_model.visual.conv1,27,0.08072923536682139,0.04477649510954507,27,19,8,0,9,0.23164586027364134,0.5274383559273224,0.009750100784003735,4.592413565919906,success,0.09874259680509567,0.029639076441526413,,0,0.009750100784003735,0.0005208039656281471
6,Conv2d,0.07696468979251592,32,32,1.0,17.333505865221493,1.758500707539706,-2.1244880476471324,0.013301418675829235,0.0,0.7238018928996558,True,0.061926331371068954,conv2d,-1.1905208622317078,-0.01838033575651188,-1.2081246476263716,clip_model.visual.conv2,288,0.2147942301979067,0.9585607989882292,288,80,19,1,9,0.0848029571520235,0.9995520123993344,0.061926331371068954,15.479050312934481,success,0.248850017786026,0.0006747113075107336,over-trained,16,0.061926331371068954,0.0015094017144292593
9,Conv2d,0.11995564841413975,32,64,2.0,13.800688322517754,3.514272519759777,-4.49202100712796,0.006952671725023108,0.00020466754632537812,0.874055624547399,True,0.052696023136377335,conv2d,-3.9000786612919423,0.1795909921717896,-1.278222158887956,clip_model.visual.conv3,288,0.1319392111816406,1.5121364848037047,288,33,60,0,9,0.43767866667360794,0.6740869546336007,0.052696023136377335,28.695457357195526,success,0.229556143283844,0.019395578652620316,,0,0.052696023136377335,0.014808731153607368
15,Conv2d,0.12309660474505535,64,64,1.0,12.426629884190358,2.439017391767482,-3.321627877649304,0.027205346468633183,0.0,0.8235473370481353,True,0.043463896960020065,conv2d,-2.8309734937615647,-0.38252675294548233,-1.3618713375562366,clip_model.visual.layer1.0.conv1,64,0.625929757142067,0.4144510526798504,64,23,2,0,1,0.3000558682623365,1.0248268574872408,0.043463896960020065,9.535524462085856,success,0.20847997069358826,0.00011161070870002732,,2,0.043463896960020065,0.006563194561749697
18,Conv2d,0.07457751486298025,64,64,1.0,13.978990093141968,2.523863734443218,-2.3846040184408497,0.020668150087046984,0.0,0.8710714284923449,True,0.11354739964008331,conv2d,-1.800102006747068,0.4694708892188273,-0.94482280715005,clip_model.visual.layer1.0.conv2,576,0.18202222290039066,2.9476158911416674,576,78,29,0,9,0.17254359096758748,1.004839282533034,0.11354739964008331,25.95934297469487,success,0.33696794509887695,0.0016991988522931933,,9,0.11354739964008331,0.01063575316220522
22,Conv2d,0.07961813982585364,64,256,4.0,7.0674935176826725,4.314115278029279,-4.2847386336290345,0.039932289758573304,0.004436921084285923,0.9438335861743594,True,0.10158028453588486,conv2d,-4.16274503661917,0.10764913633171329,-0.9931905750062238,clip_model.visual.layer1.0.conv3,64,0.393110631073952,1.2812950145453215,64,12,3,0,1,0.9567026739478278,0.941534561728468,0.10158028453588486,12.613619073814304,success,0.3187166154384613,0.054852839559316635,,0,0.10158028453588486,0.031009551137685776
27,Conv2d,0.05953798302081176,64,256,4.0,6.328225600954536,3.199897885030572,-2.451066177667059,0.00496890557299574,0.0005521006192217489,0.9092294731592964,True,0.17140258848667145,conv2d,-2.312812091036087,0.20361606729566978,-0.76598262373727,clip_model.visual.layer1.0.downsample.0,64,0.02898967639209329,1.5981445838406216,64,26,50,0,1,0.43143547091086093,0.29738637434275283,0.17140258848667145,9.32392327298427,success,0.4140079617500305,0.01676446758210659,,0,0.17140258848667145,0.025470387190580368
31,Conv2d,0.10560626839465476,64,256,4.0,6.60284152930884,3.082956481409151,-3.4517446438990658,0.041494754700848166,0.004610528300094239,0.9464554813169836,True,0.07592388242483139,conv2d,-2.7304594322487064,0.1667182256509804,-1.1196215920379615,clip_model.visual.layer1.1.conv1,64,0.5465309909820555,1.46797353355214,64,27,6,0,1,0.4008651617506163,0.8966773835352877,0.07592388242483139,19.33480594864877,success,0.27554288506507874,0.06715342402458191,,0,0.07592388242483139,0.022100426256656647
34,Conv2d,0.07874182719213663,64,64,1.0,14.264825435259729,2.5987209775059643,-2.9908046359649965,0.01997037498689736,0.0,0.8784604576502552,True,0.07065198570489883,conv2d,-2.0757463505101783,0.45188956066482516,-1.1508756276079017,clip_model.visual.layer1.1.conv2,576,0.2826583681640623,2.8306720757745243,576,77,28,0,9,0.18219116419469555,1.0079281523164578,0.07065198570489883,40.06500380042755,success,0.2658044099807739,0.0021336530335247517,,10,0.07065198570489883,0.010871346108615398
38,Conv2d,0.10854618007319955,64,256,4.0,6.963141736389027,6.285192016409224,-7.619215238338172,0.04501411646281209,0.0050015684958680095,0.9614699822834006,True,0.06134107708930969,conv2d,-7.326424567872948,0.12056950311997418,-1.2122486025003076,clip_model.visual.layer1.1.conv3,64,0.7338331604003899,1.3199865412898362,64,11,2,0,1,1.5935453512192068,0.9848913915049095,0.06134107708930969,21.51880279780543,success,0.24767130613327026,0.06552037596702576,under-trained,0,0.06134107708930969,0.034100085496902466
43,Conv2d,0.1318850431690206,64,256,4.0,6.895813738788182,3.4352305360860145,-3.863574854814959,0.03831928103551642,0.004257697892835158,0.9434565603778304,True,0.07504269480705261,conv2d,-3.315342135872508,0.12900892928704635,-1.1246915786959049,clip_model.visual.layer1.2.conv1,64,0.5106330620727538,1.3458880258258432,64,22,7,0,1,0.5191928947845955,0.8999180015149281,0.07504269480705261,17.934963946675257,success,0.27393922209739685,0.05661506578326225,,0,0.07504269480705261,0.024528268724679947
46,Conv2d,0.10177440183649539,64,64,1.0,14.341793055479924,3.2713245620546987,-3.8900641393832607,0.01992296071999699,0.0,0.8831844721176633,True,0.06469334661960602,conv2d,-3.1095251684726266,0.44721558028265895,-1.1891403820047546,clip_model.visual.layer1.2.conv2,576,0.3079599643707274,2.800371056314688,576,43,29,0,9,0.34637374847467095,1.0121628550260087,0.06469334661960602,43.286847916227686,success,0.25434887409210205,0.0005747729446738958,,10,0.06469334661960602,0.018096551299095154
50,Conv2d,0.11692203686367836,64,256,4.0,7.156464243162102,3.9279601911687085,-4.544090425143592,0.042016608593468154,0.004668512065940906,0.9601117116131971,True,0.06968550384044647,conv2d,-4.201565802036542,0.09678296259570772,-1.156857555573027,clip_model.visual.layer1.2.conv3,64,0.6029461836090092,1.2496343730017543,64,24,1,0,1,0.5976673712954355,0.9779524615266609,0.06968550384044647,17.93248673157255,success,0.26398012042045593,0.06012297794222832,,0,0.06968550384044647,0.021956413984298706
56,Conv2d,0.11577820552790596,128,256,2.0,7.034559093902109,6.121570872262068,-6.044055765474787,0.04484876495897768,0.00132022437458703,0.9156204695223902,True,0.10295859724283218,conv2d,-5.699345228777126,0.4127362050789146,-0.9873373830990806,clip_model.visual.layer2.0.conv1,128,0.4355999999999998,2.5866412854520604,128,8,13,0,1,1.8107487470520047,0.8726727978891372,0.10295859724283218,25.123120892482227,success,0.32087162137031555,0.0275665745139122,under-trained,0,0.10295859724283218,0.06185579299926758
59,Conv2d,0.07569146731095,128,128,1.0,10.391451445011226,4.673548698600623,-4.21879432092473,0.03800219757144222,0.0,0.9564662631479853,True,0.12511341273784637,conv2d,-3.7321199440975326,1.0281000537448985,-0.9026961294290017,clip_model.visual.layer2.0.conv2,1152,0.30374199488163023,10.668418743642698,1152,36,45,0,9,0.6122581164334372,1.0128626878593556,0.12511341273784637,85.26998433010962,success,0.3537137508392334,0.0014738122699782252,,12,0.12511341273784637,0.04657690227031708
63,Conv2d,0.09151572958392612,128,512,4.0,4.9923389688128665,4.236199287785601,-3.4316764164761087,0.08448245055049064,0.009386938950054515,0.9663509498449104,True,0.1548517793416977,conv2d,-2.956443383915566,0.7106018390206248,-0.8100837999691836,clip_model.visual.layer2.0.conv3,128,0.5455697758827214,5.135725925676525,128,37,5,0,1,0.5320278856302713,0.9673776684696829,0.1548517793416977,33.16543050076275,success,0.393512099981308,0.08000044524669647,,0,0.1548517793416977,0.051781754940748215
68,Conv2d,0.07112968784295015,256,512,2.0,4.901757548875948,6.2611604231501135,-3.683968682225094,0.08323507355960552,0.002450211795897814,0.9302385424069018,True,0.25799760222435,conv2d,-3.417707454185516,1.027536312634086,-0.5883843302599195,clip_model.visual.layer2.0.downsample.0,256,0.3226195625152587,10.654579460038804,256,16,36,0,1,1.3152901057875284,0.8284080732786685,0.25799760222435,41.29720341654097,success,0.5079346299171448,0.039559945464134216,under-trained,0,0.25799760222435,0.12552042305469513
72,Conv2d,0.10215046958781876,128,512,4.0,4.788447695064429,3.296660865175662,-2.546091808724685,0.08028048392239401,0.00892005376915489,0.9560428210763796,True,0.16891784965991974,conv2d,-1.7537879471027837,0.7468204738121197,-0.7723244558214565,clip_model.visual.layer2.1.conv1,128,0.47526347324466733,5.582393852062523,128,44,13,0,1,0.34623465274912185,0.9044998094735719,0.16891784965991974,33.047980798367306,success,0.4109961688518524,0.07767748087644577,,0,0.16891784965991974,0.048781104385852814
75,Conv2d,0.0665013908248725,128,128,1.0,10.031739229042174,4.435767711469234,-3.521839724565812,0.04049923759886892,0.0,0.9383845322830379,True,0.16070745885372162,conv2d,-2.876741494081455,1.058700010435277,-0.7939639660254647,clip_model.visual.layer2.1.conv2,1152,0.2520059609413148,11.447219498839639,1152,30,62,0,9,0.6272824926398668,1.0094147870818866,0.16070745885372162,71.2301692808115,success,0.40088334679603577,0.0007221343694254756,,18,0.16070745885372162,0.06260772049427032
79,Conv2d,0.07745116489998971,128,512,4.0,4.904510019329249,4.561546258303476,-2.977424645939824,0.07845622812937893,0.008717358681042103,0.9540538373275156,True,0.22247301042079926,conv2d,-2.7559947270851906,0.7260187174823087,-0.6527226684416401,clip_model.visual.layer2.1.conv3,128,0.35265503883361826,5.321311928797513,128,16,11,0,1,0.8903865645758691,0.9158367774130338,0.22247301042079926,23.918910067933425,success,0.4716704487800598,0.07211369276046753,,0,0.22247301042079926,0.07725470513105392
