layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.1517968531116345,3,64,21.333333333333332,1.5569322053626284,16.6516167378743,-3.828010715039746,0.6111759336382396,0.25351779239169764,0.9941835427880413,True,0.5889952182769775,conv2d,-3.4947446232304133,1.0468243598036449,-0.22988823099278344,conv1,27,1.0376585661020283,11.138439744710922,27,7,0,0,9,5.915755072073059,1.0005491881701882,0.5889952182769775,18.910917099284536,success,0.7674602270126343,0.5988088846206665,under-trained,0,0.5889952182769775,0.49850034713745117
7,Conv2d,0.12835520456200572,64,64,1.0,7.3460787894577475,4.312920007520031,-4.939105442687494,0.075217667165328,0.0,0.9547489456389752,True,0.07158330082893372,conv2d,-3.421472317499671,1.0283113194114055,-1.1451882794198927,layer1.0.conv1,576,1.0507711476602555,10.673609734974747,576,115,0,0,9,0.30893138363279654,1.0073618887506017,0.07158330082893372,149.1075378108369,success,0.2675505578517914,0.0036630779504776,,6,0.07158330082893372,0.03586571663618088
10,Conv2d,0.1260741499922703,64,64,1.0,7.345791551672944,7.7347272875955095,-8.884518445819467,0.07517748580658368,0.0,0.9551774661447407,True,0.07101447880268097,conv2d,-7.659959945967858,1.0283452826256332,-1.1486530960267884,layer1.0.conv2,576,1.0586219468774802,10.674444477952633,576,53,0,0,9,0.925085938264744,1.0070534077397673,0.07101447880268097,150.31363544344774,success,0.26648542284965515,0.0033420217223465443,under-trained,3,0.07101447880268097,0.050082720816135406
15,Conv2d,0.1085560991147333,64,64,1.0,7.305037855194729,26.922891885552247,-30.247854875852408,0.07594131135106641,0.0,0.9548244565659995,True,0.07524896413087845,conv2d,-29.9632289726577,1.0331775417848164,-1.1234994741439515,layer1.1.conv1,576,1.0092007541656491,10.793878912869381,576,10,0,0,9,8.197538189664202,1.0065411189693125,0.07524896413087845,143.44222591683635,success,0.2743154466152191,0.0034515622537583113,under-trained,4,0.07524896413087845,0.0661570355296135
18,Conv2d,0.13396177381367136,64,64,1.0,7.3401237060487,5.889598733911152,-6.667773782877154,0.0754575072646957,0.0,0.9541788929128501,True,0.07376884669065475,conv2d,-5.360757892479078,1.0290157247895444,-1.13212700629084,layer1.1.conv2,576,1.0228912427101138,10.690935879054269,576,71,0,0,9,0.5802886093333642,1.0081487378779463,0.07376884669065475,144.92480713282762,success,0.2716042101383209,0.0036062493454664946,,6,0.07376884669065475,0.04517452418804169
24,Conv2d,0.09544149629241039,64,128,2.0,5.188001972718236,34.51152980865889,-33.045229831088434,0.10901046974840703,0.0032089686166089162,0.9910610938537457,True,0.11027758568525314,conv2d,-32.74466161554273,1.3304222183213779,-0.957512750501064,layer2.0.conv1,576,0.9885097599029541,21.400416132761165,576,13,0,0,9,9.294426080335352,1.0033987383044423,0.11027758568525314,194.05952714489771,success,0.3320806920528412,0.06548662483692169,under-trained,0,0.11027758568525314,0.09908102452754974
27,Conv2d,0.10877994784537903,128,128,1.0,7.351839537645584,23.96333763689018,-27.15779921478677,0.07506221269568142,0.0,0.995048336621071,True,0.07356882095336914,conv2d,-26.43855944356105,1.3286604400774327,-1.1333062040981678,layer2.0.conv2,1152,1.0202992480096813,21.313778104819086,1152,28,0,0,9,4.339662904230075,1.0071095287896683,0.07356882095336914,289.71210668618176,success,0.27123573422431946,0.0018072122475132346,under-trained,9,0.07356882095336914,0.06428448855876923
31,Conv2d,0.1270058970929302,64,128,2.0,1.7395543607129893,6.381581319721747,-0.1723614031650109,0.9699873230795891,0.02855376080347898,0.945324993021002,True,0.9397034049034119,conv2d,0.3147028376322664,1.3253039641675788,-0.027009199527449772,layer2.0.shortcut.0,64,1.032227102741306,21.149687957018614,64,12,0,0,1,1.553528711803606,1.0035992928244815,0.9397034049034119,22.50676952606392,success,0.9693830013275146,0.17819608747959137,under-trained,0,0.9397034049034119,0.5802735090255737
34,Conv2d,0.13326318078196375,128,128,1.0,7.351454186222494,12.035259288954492,-13.685423555568288,0.07514900135959528,0.0,0.9952509611365005,True,0.07292713969945908,conv2d,-12.494531856795392,1.3287059689228256,-1.1371108197168842,layer2.1.conv1,1152,1.0304668696632384,21.316012631425636,1152,49,0,0,9,1.5764656127077845,1.007638763434916,0.07292713969945908,292.2919055823568,success,0.2700502574443817,0.0014598205452784896,under-trained,9,0.07292713969945908,0.0585666187107563
37,Conv2d,0.12895609832098476,128,128,1.0,7.3617295277536074,9.225143473275981,-10.438953725769519,0.07486223056494103,0.0,0.9948220519301236,True,0.07386244833469391,conv2d,-9.128467432024523,1.3274927645099976,-1.1315763007924793,layer2.1.conv2,1152,1.013535730980874,21.256549308064685,1152,73,0,0,9,0.9626802279649868,1.0071200524217372,0.07386244833469391,287.7856040155154,success,0.2717764675617218,0.0020479795057326555,under-trained,4,0.07386244833469391,0.054528750479221344
43,Conv2d,0.11584022666593718,128,256,2.0,5.191605452504436,17.022246662330847,-16.376680801979955,0.10760996232694374,0.003167741527383671,1.0265367472819003,True,0.10912514477968216,conv2d,-15.393152036223,1.6308491193265506,-0.96207516709416,layer3.0.conv1,1152,0.98611518494846,42.74143699393608,1152,51,0,0,9,2.2435632902646137,0.9976247892049219,0.10912514477968216,391.6735879730447,success,0.3303409516811371,0.06318286806344986,under-trained,0,0.10912514477968216,0.0905892476439476
46,Conv2d,0.11059177981602086,256,256,1.0,7.347789403700536,20.76839557301631,-23.48928160658464,0.07515082172660173,0.0,1.0651991920447563,True,0.07395867258310318,conv2d,-22.340093874646143,1.6301690739097194,-1.1310108921992745,layer3.0.conv2,2304,1.0161191257476803,42.67456215520662,2304,47,0,0,9,2.8835168521850405,1.0071486422668618,0.07395867258310318,577.0055176051953,success,0.27195343375205994,0.0004771144886035472,under-trained,12,0.07395867258310318,0.06507142633199692
50,Conv2d,0.13360473315158017,128,256,2.0,1.7287360998859727,5.786437742256106,-0.17109169529017265,0.9625586678574949,0.02833508161122958,0.9537139118546805,True,0.9341837167739868,conv2d,0.7504897917019189,1.6317525673808446,-0.029567706922819976,layer3.0.shortcut.0,128,1.0303740587360002,42.83044309914112,128,25,0,0,1,0.9572875484512211,0.9935314478801265,0.9341837167739868,45.847987210746226,success,0.9665318131446838,0.1704840511083603,,0,0.9341837167739868,0.5832750201225281
53,Conv2d,0.12262426952524558,256,256,1.0,7.354576549379,21.65855324430128,-24.542874451676752,0.07499738876611088,0.0,1.0655749315129461,True,0.07359149307012558,conv2d,-23.434127924716392,1.6293671294785104,-1.133172385747159,layer3.1.conv1,2304,1.0191040518045422,42.59583435293678,2304,43,0,0,9,3.1503998348959374,1.0070493378481657,0.07359149307012558,578.8146506600575,success,0.271277517080307,0.0010139555670320988,under-trained,13,0.07359149307012558,0.06499165296554565
56,Conv2d,0.10720238586991293,256,256,1.0,7.348829224026116,26.449602891325345,-29.41161866677171,0.07512742517266158,0.0,1.06546235575988,True,0.07727034389972687,conv2d,-28.789000638818834,1.6300461644863307,-1.11198715487777,layer3.1.conv2,2304,0.9722672552118296,42.66248656155011,2304,34,0,0,9,4.364570888300999,1.0071343574491731,0.07727034389972687,552.1197966572129,success,0.2779754400253296,0.0006766880978830159,under-trained,13,0.07727034389972687,0.06694173067808151
62,Conv2d,0.11235849261151876,256,512,2.0,5.1969115560058095,33.694255137805264,-32.488830408579446,0.10903221637650368,0.003209608777569972,1.0915218224148526,True,0.108586385846138,conv2d,-31.583457083645357,1.930991823120264,-0.9642246215476263,layer4.0.conv1,2304,1.004105768203736,85.30840520327911,2304,32,0,0,9,5.779582378446306,1.0052221704411095,0.108586385846138,785.6270796613238,success,0.3295244872570038,0.059244293719530106,under-trained,0,0.108586385846138,0.09965803474187851
65,Conv2d,0.12402798938052872,512,512,1.0,7.34918113326298,17.874402902206977,-20.26951639938134,0.07508937020621938,0.0,1.1963863318932983,True,0.0734519213438034,conv2d,-18.71427284431492,1.9310345675167473,-1.1339968395184064,layer4.0.conv2,4608,1.0222927982339853,85.3168018923923,4608,114,0,0,9,1.5804326337120014,1.0069274646118884,0.0734519213438034,1161.5326097877473,success,0.27102014422416687,0.0004728138155769557,under-trained,23,0.0734519213438034,0.06346528232097626
69,Conv2d,0.11376645626452148,256,512,2.0,1.7353725848461903,9.663462036446035,-0.227196400152875,0.9717781407758047,0.028606477554434056,0.9684118113889318,True,0.9473034739494324,conv2d,0.6613546426168049,1.929454500809059,-0.02351087004802182,layer4.0.shortcut.0,256,1.0258361417427662,85.00696303322911,256,25,0,0,1,1.732692407289207,1.00211048846315,0.9473034739494324,89.73572394791707,success,0.9732951521873474,0.1753702461719513,under-trained,0,0.9473034739494324,0.7139236330986023
72,Conv2d,0.11912911469969129,512,512,1.0,7.349559492843731,19.730246214899843,-22.314115201693657,0.0751008423945445,0.0,1.1964246182422342,True,0.07396737486124039,conv2d,-20.86581573059068,1.930989850902634,-1.1309597943507939,layer4.1.conv1,4608,1.015323884826661,85.30801780172158,4608,95,0,0,9,1.9216827145712136,1.007056224931377,0.07396737486124039,1153.319527180135,success,0.27196943759918213,0.0005909909959882498,under-trained,22,0.07396737486124039,0.06457269936800003
75,Conv2d,0.11238355916050075,512,512,1.0,7.348193445815137,28.541800776916332,-32.27031325425627,0.07512788129447703,0.0,1.1963566680596722,True,0.07402298599481583,conv2d,-31.01707338379839,1.931151308695733,-1.1306333999904952,layer4.1.conv2,4608,1.0149263811073304,85.33973868581118,4608,57,0,0,9,3.6480006300864845,1.0070502830509898,0.07402298599481583,1152.8816020984066,success,0.2720716595649719,0.0004151957109570503,under-trained,22,0.07402298599481583,0.0675632581114769
80,Linear,0.17583100067437263,10,512,51.2,1.7294225663773473,29.549956689924773,-11.73668736239166,0.4325927943837818,0.24643473091555013,0.9966127507935701,True,0.4006994962692261,dense,-11.596798275004591,0.5241977568602425,-0.3971812035309463,fc,10,1.0795940559234618,3.343472510576248,10,4,0,0,1,14.274978344962387,0.9979977045806794,0.4006994962692261,8.344089627529259,success,0.6330083012580872,0.5091200470924377,under-trained,0,0.4006994962692261,0.3658026456832886
