layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.1516854224448797,3,64,21.333333333333332,1.572478890434774,19.7070256583534,-5.26785154543829,0.5790483858597705,0.24019117964490497,0.9960072847727667,True,0.5403705835342407,conv2d,-4.961015084894937,1.0381941161205315,-0.26730830094623426,conv1,27,1.0715764393993497,10.919282853603363,27,8,0,0,9,6.6139323494262126,0.9836211786861735,0.5403705835342407,20.207026781855642,success,0.7350990176200867,0.6376558542251587,under-trained,0,0.5403705835342407,0.4645419716835022
7,Conv2d,0.10771243341052561,64,64,1.0,7.3642505265757805,18.41759697467613,-20.365345543805468,0.07497462034284298,0.0,0.9542977722977286,True,0.07838721573352814,conv2d,-19.88018548612965,1.0261653744766066,-1.1057547611562712,layer1.0.conv1,576,0.9564648985328675,10.620999159635545,576,10,0,0,9,5.507927780683467,1.0082209011521153,0.07838721573352814,135.4940223382967,success,0.2799771726131439,0.002427007770165801,under-trained,4,0.07838721573352814,0.06723712384700775
10,Conv2d,0.12102737945724729,64,64,1.0,7.3498405544907985,6.522603471056023,-7.355466435441002,0.07522691744652549,0.0,0.9542928937340823,True,0.0745265930891037,conv2d,-6.132794400672198,1.0278666479911245,-1.1276887316668565,layer1.0.conv2,576,1.0093969726562502,10.66268668529393,576,60,0,0,9,0.7129650423702416,1.0079397091509599,0.0745265930891037,143.07224097236895,success,0.27299559116363525,0.0024213427677750587,under-trained,2,0.0745265930891037,0.04794767126441002
15,Conv2d,0.08580808859344247,64,64,1.0,7.372757028414441,20.315020135973153,-23.06854328021792,0.07476443584504734,0.0,0.9539755701180912,True,0.07319118082523346,conv2d,-22.462650285474016,1.0251626397747777,-1.1355412461230556,layer1.1.conv1,576,1.0214951446619027,10.596504814259518,576,15,0,0,9,4.987116754552329,1.007969651771158,0.07319118082523346,144.7784377131713,success,0.27053868770599365,0.003280230797827244,under-trained,7,0.07319118082523346,0.06308604776859283
18,Conv2d,0.10112670483901753,64,64,1.0,7.331509210325915,16.04285851537831,-18.060917322544462,0.07555622919466261,0.0,0.9543951457765059,True,0.0748528391122818,conv2d,-17.41800619360366,1.0300357144275176,-1.125791722543192,layer1.1.conv2,576,1.0093969726562504,10.716074257957104,576,19,0,0,9,3.4510684258165436,1.0076240541752173,0.0748528391122818,143.16189452590606,success,0.273592472076416,0.003742185654118657,under-trained,5,0.0748528391122818,0.061877548694610596
24,Conv2d,0.10116283543258775,64,128,2.0,5.19647477578098,14.451183389548564,-13.992381326400551,0.10993961919240702,0.00323632022249427,0.9910507693704763,True,0.10758417844772339,conv2d,-12.966992458552824,1.3290048363879183,-0.9682515922204801,layer2.0.conv1,576,1.0218939325342171,21.330686672823504,576,28,0,0,9,2.5420347205905967,1.0093115664300114,0.10758417844772339,198.269736132143,success,0.3280002772808075,0.06718068569898605,under-trained,0,0.10758417844772339,0.09070203453302383
27,Conv2d,0.13110694894274655,128,128,1.0,7.344732336726863,10.539373471327576,-11.966752804720178,0.07525087110146088,0.0,0.9947888967726287,True,0.07320941984653473,conv2d,-10.670082193701973,1.3295005321500004,-1.135433034731694,layer2.0.conv2,1152,1.0278850899133682,21.355047027238633,1152,60,0,0,9,1.2315278195901511,1.0073995293931348,0.07320941984653473,291.69807754253696,success,0.27057239413261414,0.002528816694393754,under-trained,8,0.07320941984653473,0.05702416971325874
31,Conv2d,0.15165167577421024,64,128,2.0,1.7358153263529528,3.6087675808212967,-0.21262252553511937,0.9038626677405471,0.0266072326924012,0.943984557899461,True,0.8731355667114258,conv2d,0.6853726944776245,1.327172936694767,-0.058918320665785284,layer2.0.shortcut.0,64,1.035191672634356,21.240901093930006,64,26,0,0,1,0.5116214154244629,0.9667052021643548,0.8731355667114258,24.32715136543074,success,0.9344172477722168,0.18340881168842316,,0,0.8731355667114258,0.37449583411216736
34,Conv2d,0.11866649887982506,128,128,1.0,7.3369685748305375,11.5810340776248,-13.0014579955728,0.07539614289999015,0.0,0.9952072759534302,True,0.07539614289999008,conv2d,-11.886398077080587,1.33041916120667,-1.1226508711076446,layer2.1.conv1,1152,1.0000000000000009,21.400265490053567,1152,47,0,0,9,1.543402445771674,1.007305552114693,0.07539614289999008,283.8376695004166,success,0.2745835781097412,0.0017613283125683665,under-trained,5,0.07539614289999008,0.059004392474889755
37,Conv2d,0.1338311464790315,128,128,1.0,7.344677430664828,7.184128762922083,-8.140964046435107,0.07524413429295607,0.0,0.9950014876260935,True,0.07358895242214203,conv2d,-6.65979106564081,1.3295070253720271,-1.1331873794427703,layer2.1.conv2,1152,1.0224922602691653,21.355366313124385,1152,103,0,0,9,0.609340313004506,1.0073469042858658,0.07358895242214203,290.19799318000366,success,0.27127283811569214,0.001270585460588336,under-trained,7,0.07358895242214203,0.049971140921115875
