layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.12076760225921934,3,64,21.333333333333332,1.6314492052527492,4.446502322355057,-1.2086591577092334,0.5657456087178603,0.2346731438256281,0.9938394424686816,True,0.5347829461097717,conv2d,-0.30498925654821146,1.0062166507819954,-0.2718224505658362,conv1,27,1.0578976252577303,10.144173085689545,27,26,0,0,9,0.6759147152050495,1.008718003065355,0.5347829461097717,18.9687669726239,success,0.7312885522842407,0.6064209342002869,,0,0.5347829461097717,0.27817031741142273
7,Conv2d,0.1476189897089027,64,64,1.0,7.3704334528549085,4.075393143300971,-4.579438231742639,0.07480688743829086,0.0,0.9546414190492188,True,0.07521767169237137,conv2d,-3.12882936477987,1.025436424761393,-1.1236801139713857,layer1.0.conv1,576,0.9945387268066401,10.603187097152627,576,116,0,0,9,0.2855430848863302,1.0079380172744137,0.07521767169237137,140.96670182132226,success,0.27425840497016907,0.0025596306659281254,,5,0.07521767169237137,0.034766849130392075
10,Conv2d,0.08942081914576128,64,64,1.0,7.3187204446952245,14.29466338748529,-16.219038283297138,0.07581842339275059,0.0,0.9549016971842315,True,0.07334627956151962,conv2d,-15.395747724452539,1.0315521662198328,-1.1346219105443645,layer1.0.conv2,576,1.0337051019630443,10.753557613155436,576,25,0,0,9,2.658932677497058,1.0076101590816577,0.07334627956151962,146.613538920346,success,0.27082517743110657,0.0019509311532601714,under-trained,3,0.07334627956151962,0.05978046730160713
15,Conv2d,0.1000309261780345,64,64,1.0,7.292707371168757,19.55480121751973,-21.209894885674544,0.07658338631555812,0.0,0.9533349400938556,True,0.08229269087314606,conv2d,-20.9363068141048,1.0346449087958811,-1.0846387365304417,layer1.1.conv1,576,0.9306219726562495,10.830410275491715,576,10,0,0,9,5.867543337902769,1.009081106027398,0.08229269087314606,131.6084109120549,success,0.28686702251434326,0.0023685707710683346,under-trained,6,0.08229269087314606,0.06850745528936386
18,Conv2d,0.12007893368721204,64,64,1.0,7.333977478381026,9.516718851386036,-10.566115617616054,0.07573619977758829,0.0,0.953943010088929,True,0.07757668942213058,conv2d,-9.673955689199062,1.02974333948516,-1.110268757816375,layer1.1.conv2,576,0.9762752231597904,10.708862429746617,576,34,0,0,9,1.460605233069238,1.0091630279058152,0.07757668942213058,138.04227158334575,success,0.2785259187221527,0.0018213668372482061,under-trained,3,0.07757668942213058,0.05601416528224945
24,Conv2d,0.10099265761918647,64,128,2.0,5.210066385080472,114.3448891400837,-112.74012343752032,0.10525735107304178,0.0030984871181670482,0.9913668434264332,True,0.1032843291759491,conv2d,-112.47554494597361,1.3267359694573866,-0.9859655668510258,layer2.0.conv1,576,1.0191028194967655,21.21954021905549,576,7,0,0,9,42.84034129212101,0.9901677738616704,0.1032843291759491,205.44781951294016,success,0.32137879729270935,0.06847917288541794,under-trained,0,0.1032843291759491,0.10072752088308334
27,Conv2d,0.12057846805206812,128,128,1.0,7.338520032842765,4.957107516273179,-5.611054893477996,0.07537552961724236,0.0,0.9947489069486991,True,0.07380381971597672,conv2d,-3.918525929300495,1.3302355108563104,-1.131921160688575,layer2.0.conv2,1152,1.0212957799110418,21.39121786094454,1152,179,0,0,9,0.2957681023455026,1.0073808175134413,0.07380381971597672,289.8388991689798,success,0.27166858315467834,0.002045503119006753,,7,0.07380381971597672,0.04070119559764862
31,Conv2d,0.12968293489482574,64,128,2.0,1.7234555318805524,13.413395069615921,0.01780729740047426,1.0262229892228067,0.030209184252292427,0.939888281653365,True,1.0030615329742432,conv2d,0.14285332672177567,1.3333798092972764,0.0013275757038433487,layer2.0.shortcut.0,64,1.0230907631158839,21.54665258899331,64,6,0,0,1,5.0677473160232465,1.022728278859784,1.0030615329742432,21.480888141631677,success,1.001529574394226,0.1790166199207306,under-trained,0,1.0030615329742432,0.769075870513916
34,Conv2d,0.12324920552076163,128,128,1.0,7.367469999885659,7.416445536389026,-8.47707654359199,0.07474733043446825,0.0,0.995136550870743,True,0.07194312661886215,conv2d,-6.9589801982378345,1.3268157269039778,-1.1430106918467806,layer2.1.conv1,1152,1.0389780643043514,21.223437509558714,1152,98,0,0,9,0.648158878556405,1.0071316024239574,0.07194312661886215,295.0029906539303,success,0.2682221531867981,0.0015211253194138408,under-trained,6,0.07194312661886215,0.05031432583928108
37,Conv2d,0.13009134809153539,128,128,1.0,7.362946424747377,4.733805843027966,-5.358911704130019,0.07486831548218811,0.0,0.9952145196627346,True,0.07378168404102325,conv2d,-3.6587877085273868,1.327349198253641,-1.1320514363770793,layer2.1.conv2,1152,1.0147276584329612,21.249523617017488,1152,194,0,0,9,0.26807163676965096,1.0073274658582974,0.07378168404102325,288.0054026037488,success,0.27162784337997437,0.0026530467439442873,,7,0.07378168404102325,0.038853585720062256
