layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.1815277159065118,3,64,21.333333333333332,1.6058549116331688,8.092955664844027,-2.2352049745143576,0.566927091733271,0.23516322687590824,0.9951816459482643,True,0.5294300317764282,conv2d,-1.5266691265475483,1.019951155403838,-0.27619142709802996,conv1,27,1.070825336128037,10.470107853412628,27,15,0,0,9,1.8313932776885649,0.993929382442927,0.5294300317764282,19.77618802296056,success,0.7276194095611572,0.6018801331520081,under-trained,0,0.5294300317764282,0.38419029116630554
7,Conv2d,0.08786965972197472,64,64,1.0,7.358530489545947,22.21161459090699,-24.630406408371748,0.07509100407241276,0.0,0.9543385504469541,True,0.0778219997882843,conv2d,-24.381678539910606,1.0268402960530696,-1.10889761334392,layer1.0.conv1,576,0.964907150634766,10.637517708025882,576,10,0,0,9,6.707701495692681,1.0082194091923957,0.0778219997882843,136.69036695234482,success,0.27896595001220703,0.0025532899890094995,under-trained,5,0.0778219997882843,0.06603493541479111
10,Conv2d,0.13060425215525662,64,64,1.0,7.36460369310293,23.563356673285014,-27.007725955568624,0.07493164858758057,0.0,0.9549989502477247,True,0.07142087817192078,conv2d,-26.405357494267225,1.0261237206529823,-1.1461748141421917,layer1.0.conv2,576,1.0491560802040105,10.619980532807547,576,12,0,0,9,6.513480024571321,1.0079802657653416,0.07142087817192078,148.69574282247916,success,0.2672468423843384,0.0022992081940174103,under-trained,5,0.07142087817192078,0.06386794149875641
15,Conv2d,0.12516061201034967,64,64,1.0,7.326848100901791,9.081707743151002,-10.291227082014636,0.07565665508899463,0.0,0.954667690039613,True,0.07358987629413605,conv2d,-9.258713962936037,1.0305881076125636,-1.1331819271299275,layer1.1.conv1,576,1.028085096740722,10.729713051050219,576,43,0,0,9,1.2324488766764687,1.0076524391133175,0.07358987629413605,145.80420013432212,success,0.27127453684806824,0.002410212066024542,under-trained,6,0.07358987629413605,0.053285110741853714
18,Conv2d,0.10489009323911225,64,64,1.0,7.3650105950155975,9.266728871071491,-10.48132351656662,0.07496415884749937,0.0,0.9555343428658176,True,0.07394852489233017,conv2d,-9.498565434504735,1.0260757315469717,-1.131070484784205,layer1.1.conv2,576,1.0137343369140626,10.61880710041006,576,39,0,0,9,1.32373603213189,1.0082546100265313,0.07394852489233017,143.5972808906081,success,0.27193477749824524,0.00266747223213315,under-trained,5,0.07394852489233017,0.05367927625775337
24,Conv2d,0.09261827646128684,64,128,2.0,5.194050744334935,17.993140370463337,-17.166527295120012,0.1096278642809627,0.0032271430147525963,0.9917636569113099,True,0.11115793138742447,conv2d,-16.59950809884332,1.329410106938686,-0.954059543897059,layer2.0.conv1,576,0.9862351962890624,21.350601118523628,576,21,0,0,9,3.7082072401265793,1.0074093503296022,0.11115793138742447,192.07447324752093,success,0.3334035575389862,0.0634785145521164,under-trained,0,0.11115793138742447,0.09165001660585403
27,Conv2d,0.12241222798360135,128,128,1.0,7.340931151086992,8.332039506364236,-9.50672282783462,0.0754202333930974,0.0,0.9950182689188947,True,0.0722796618938446,conv2d,-8.045963816777162,1.32995017720317,-1.1409838876271685,layer2.0.conv2,1152,1.0434502793312077,21.37716833931467,1152,85,0,0,9,0.7952713434300338,1.0080105819419674,0.0722796618938446,295.75634112277396,success,0.2688487768173218,0.0012074676342308521,under-trained,7,0.0722796618938446,0.052765801548957825
31,Conv2d,0.1684297711571237,64,128,2.0,1.732905630474326,2.2816945243253066,-0.15293494286917725,0.8872267764564538,0.026117517776364403,0.9445704059761018,True,0.8569847345352173,conv2d,0.9541334720987893,1.3286301483600753,-0.06702691409333152,layer2.0.shortcut.0,64,1.0352888922083754,21.31229153648019,64,43,0,0,1,0.19545658256273707,0.9561621444089552,0.8569847345352173,24.868927855568906,success,0.9257346987724304,0.18165861070156097,,0,0.8569847345352173,0.18475458025932312
34,Conv2d,0.10502988728272067,128,128,1.0,7.343462989411398,20.951585416042413,-23.744279761644215,0.07521120653771018,0.0,0.9950250785754491,True,0.0735711008310318,conv2d,-22.943713870290793,1.3296506582952095,-1.133292745639357,layer2.1.conv1,1152,1.0222927982339853,21.36243027801001,1152,24,0,0,9,4.072600319071529,1.006959938289524,0.0735711008310318,290.3644234856885,success,0.2712399363517761,0.0023775899317115545,under-trained,7,0.0735711008310318,0.06399733573198318
37,Conv2d,0.11991577634977979,128,128,1.0,7.348025725572616,8.665967578241187,-9.84591690690501,0.0752129189748151,0.0,0.9950644614163491,True,0.07308714836835861,conv2d,-8.463747719443413,1.3291111428684614,-1.1361589825960672,layer2.1.conv2,1152,1.0290854227304451,21.33590863136765,1152,87,0,0,9,0.8218779932292509,1.0075970662451668,0.07308714836835861,291.92421797379274,success,0.27034634351730347,0.0008711894624866545,under-trained,9,0.07308714836835861,0.05272155627608299
