layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.1650266675356834,3,64,21.333333333333332,1.6031115788228214,4.53468674293856,-1.3334457185534658,0.5458026260133866,0.22640072884546517,0.9957654513860507,True,0.5080955028533936,conv2d,-0.3175126481510153,1.021436262332002,-0.2940546490074348,conv1,27,1.0742126685794995,10.505972564220428,27,25,0,0,9,0.7069373485877121,0.9735699952429592,0.5080955028533936,20.677161095149142,success,0.7128081917762756,0.5874062180519104,,0,0.5080955028533936,0.2963900864124298
7,Conv2d,0.10845836978116657,64,64,1.0,7.325346610203557,13.60829760972887,-15.407958173866245,0.07587866372707151,0.0,0.9544347639061419,True,0.07374841719865799,conv2d,-14.57172225624054,1.0307661257566059,-1.1322472961533967,layer1.0.conv1,576,1.028885318618774,10.734112082606064,576,24,0,0,9,2.573657972415711,1.008922994488595,0.07374841719865799,145.55040623707643,success,0.27156659960746765,0.0011498129460960627,under-trained,5,0.07374841719865799,0.06016136333346367
10,Conv2d,0.10742228827511002,64,64,1.0,7.345044890423028,10.950883863146002,-12.420635971150602,0.07528645619219428,0.0,0.9539758909087068,True,0.0734153538942337,conv2d,-11.398720015980745,1.0284335746333066,-1.1342131033779739,layer1.0.conv2,576,1.0254865256204606,10.676614811634838,576,27,0,0,9,1.9150484923540156,1.0076805736876815,0.0734153538942337,145.42754676380326,success,0.27095267176628113,0.003316342132166028,under-trained,5,0.0734153538942337,0.058360613882541656
15,Conv2d,0.12577653177940556,64,64,1.0,7.3326924601073085,13.797109518792704,-15.632721450594243,0.07553365451665207,0.0,0.9549402474758266,True,0.07361338287591934,conv2d,-14.787248544974512,1.0298955420912566,-1.1330432239666792,layer1.1.conv1,576,1.0260859040260313,10.712616109522212,576,19,0,0,9,2.9358582716757793,1.0076361126099358,0.07361338287591934,145.52538806128632,success,0.27131786942481995,0.004384155385196209,under-trained,7,0.07361338287591934,0.06129204481840134
18,Conv2d,0.1266479659557282,64,64,1.0,7.337724623799655,4.6827723850890095,-5.343315443403283,0.07540734358644581,0.0,0.9549291545739905,True,0.0722673088312149,conv2d,-3.8765421875576944,1.02929966509694,-1.1410581177119754,layer1.1.conv2,576,1.0434502793312073,10.69792786327531,576,95,0,0,9,0.37784447427583345,1.007484177919832,0.0722673088312149,148.0327417236614,success,0.26882579922676086,0.003180774161592126,,4,0.0722673088312149,0.03920629993081093
24,Conv2d,0.10575516442137217,64,128,2.0,5.191571094718727,10.621405380746452,-10.330809241691732,0.10840374622480863,0.0031911083436399154,0.9911799478625651,True,0.10650242120027542,conv2d,-9.196409325817264,1.3298248719599912,-0.9726405189673404,layer2.0.conv1,576,1.017852411270142,21.37100136047229,576,47,0,0,9,1.4034262140603782,1.001290887200867,0.10650242120027542,200.66211753331507,success,0.32634708285331726,0.06806106120347977,under-trained,0,0.10650242120027542,0.08202836662530899
27,Conv2d,0.10310558004576886,128,128,1.0,7.3175993937210775,28.074980251267714,-31.189627316200742,0.07587095849076107,0.0,0.9951587893900664,True,0.07745682448148727,conv2d,-30.741145293632243,1.3327152188976894,-1.1109403118740355,layer2.0.conv2,1152,0.9795258067789077,21.513705480310687,1152,13,0,0,9,7.5092484290862025,1.0078047936047128,0.07745682448148727,277.7509357545714,success,0.2783106565475464,0.0013057620963081717,under-trained,8,0.07745682448148727,0.06904678791761398
31,Conv2d,0.11886961969834087,64,128,2.0,1.7389258009947686,11.50739414637478,-0.32446947686178024,0.9678437279175419,0.028490659253530604,0.9438479115760329,True,0.9371376633644104,conv2d,-0.1017938663126364,1.3256178713999915,-0.02819660756679644,layer2.0.shortcut.0,64,1.0327657992561028,21.164980437606573,64,7,0,0,1,3.9714216912347826,1.002127508615963,0.9371376633644104,22.58470795168166,success,0.968058705329895,0.17837096750736237,under-trained,0,0.9371376633644104,0.7080138921737671
34,Conv2d,0.09745058373356241,128,128,1.0,7.335661248644087,20.500772258638964,-23.21940468008192,0.07541753356590795,0.0,0.9949701401265179,True,0.0736866444349289,conv2d,-22.37907567814033,1.3305739431529622,-1.1326112200625678,layer2.1.conv1,1152,1.023489862298012,21.40789387405282,1152,30,0,0,9,3.5603376182758426,1.0072689228734668,0.0736866444349289,290.5261060293996,success,0.2714528441429138,0.0012009141501039267,under-trained,5,0.0736866444349289,0.063633993268013
37,Conv2d,0.09616586851134645,128,128,1.0,7.335878114753528,23.78473653659726,-26.028892850013246,0.07546533151980911,0.0,0.9949184653663894,True,0.0804724469780922,conv2d,-25.73347493853743,1.3305482652053888,-1.0943527925971739,layer2.1.conv2,1152,0.9377785112009055,21.40662815563185,1152,14,0,0,9,6.0894769834183755,1.0076178522200854,0.0804724469780922,266.0118954933679,success,0.2836766541004181,0.002418284770101309,under-trained,6,0.0804724469780922,0.06864054501056671
