layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.1766450081760952,3,64,21.333333333333332,1.5990711739174162,4.479612490130464,-1.2882651480198095,0.5532035569789426,0.22947065941171313,0.9951286035730447,True,0.5157223343849182,conv2d,-0.27464259830841137,1.0236281753135794,-0.2875840601967538,conv1,27,1.0726771366974572,10.559130936861038,27,25,0,0,9,0.6959224980260927,0.9776781195704011,0.5157223343849182,20.474449588177134,success,0.7181380987167358,0.5992613434791565,,0,0.5157223343849182,0.29525071382522583
7,Conv2d,0.12198676128151698,64,64,1.0,7.34502821377906,6.058529911843385,-6.799993730393232,0.0753541989937924,0.0,0.954665460536735,True,0.07544258236885071,conv2d,-5.589316136981565,1.0284355467336224,-1.1223834542931632,layer1.0.conv1,576,0.9988284683227545,10.676663293492481,576,67,0,0,9,0.6179977885896559,1.0081315386351632,0.07544258236885071,141.52038488413066,success,0.2746681272983551,0.004148263484239578,under-trained,5,0.07544258236885071,0.045614372938871384
10,Conv2d,0.11950042097582753,64,64,1.0,7.357279852534373,6.581353094857652,-7.4482467088204185,0.07483752228712115,0.0,0.9555001763508083,True,0.07383807003498077,conv2d,-6.248923959190282,1.0269879317568935,-1.131719663337941,layer1.0.conv2,576,1.0135357309808732,10.641134480622526,576,63,0,0,9,0.7031843937254306,1.0063452021946415,0.07383807003498077,144.11447205460937,success,0.2717316150665283,0.003168287454172969,under-trained,2,0.07383807003498077,0.04682482033967972
15,Conv2d,0.13090272243458212,64,64,1.0,7.316754677781155,7.481011063268931,-8.412592348506202,0.07587885384062323,0.0,0.9542668804740642,True,0.0750712901353836,conv2d,-7.306055634609827,1.0317854956393366,-1.1245261205148123,layer1.1.conv1,576,1.0107572908868792,10.759336630866029,576,51,0,0,9,0.9075230716260679,1.0077408865525643,0.0750712901353836,143.32158953792634,success,0.2739914059638977,0.0026060491800308228,under-trained,4,0.0750712901353836,0.050670456141233444
18,Conv2d,0.11786964388891319,64,64,1.0,7.330344568246533,10.860479584548155,-12.216707754809844,0.07546545089202769,0.0,0.9545526294543726,True,0.07501059770584106,conv2d,-11.328293265331428,1.0301737045172215,-1.1248773739413198,layer1.1.conv2,576,1.006063852310181,10.71947965925306,576,33,0,0,9,1.716489172677156,1.0068585895427966,0.07501059770584106,142.90620241809293,success,0.27388063073158264,0.0031449212692677975,under-trained,2,0.07501059770584106,0.05673675984144211
24,Conv2d,0.13898144556098052,64,128,2.0,5.1918269591253114,3.8128214298478675,-3.730373396263977,0.10731461124684069,0.003159047203351128,0.9909680762707057,True,0.10510512441396713,conv2d,-1.9976857622427378,1.3297820649716272,-0.9783761093717992,layer2.0.conv1,576,1.021021685148017,21.36889499449171,576,180,0,0,9,0.20965533085693291,0.9962972923826934,0.10510512441396713,203.30973502612645,success,0.32419919967651367,0.06508109718561172,,0,0.10510512441396713,0.04828568175435066
27,Conv2d,0.1265364818134176,128,128,1.0,7.327457293036152,32.470002279404454,-36.98732415291375,0.07561121254777377,0.0,0.9953050374842295,True,0.07259004563093185,conv2d,-36.24520903437857,1.3315458872893895,-1.1391229305941444,layer2.0.conv2,1152,1.0416195759429934,21.455858051237282,1152,16,0,0,9,7.867500569851114,1.0074335309084435,0.07259004563093185,295.57576200357937,success,0.2694253921508789,0.0011626878986135125,under-trained,8,0.07259004563093185,0.06716033071279526
31,Conv2d,0.1551933184609945,64,128,2.0,1.7195194994925929,3.1564927611994014,-0.051894880147954764,0.9937005346419213,0.02925181257665413,0.9408109907815918,True,0.9628515243530273,conv2d,0.8228564654700743,1.3353657637416627,-0.016440677699585723,layer2.0.shortcut.0,64,1.0320392184138905,21.645407371222973,64,27,0,0,1,0.41501722539465125,1.0040935547401477,0.9628515243530273,22.48052459154308,success,0.981249988079071,0.17077690362930298,,0,0.9628515243530273,0.3500051498413086
34,Conv2d,0.11190522761823896,128,128,1.0,7.3330442092954575,12.796495360893202,-14.446983054160135,0.07553268479106759,0.0,0.9947989246083092,True,0.07430539280176163,conv2d,-13.29291920290751,1.3308838725501682,-1.1289796656599365,layer2.1.conv1,1152,1.0165168629493722,21.42317683056612,1152,49,0,0,9,1.6852136229847432,1.0076779803939038,0.07430539280176163,288.3125439861509,success,0.27259016036987305,0.0017271173419430852,under-trained,8,0.07430539280176163,0.059844277799129486
37,Conv2d,0.12177908695279305,128,128,1.0,7.33415782427799,9.311085281333769,-10.616070978889963,0.07543191777485815,0.0,0.9955086269975233,True,0.07241791486740112,conv2d,-9.248234432718785,1.33075197640755,-1.1401539840014505,layer2.1.conv2,1152,1.0416195759429934,21.416671554832256,1152,80,0,0,9,0.9292075827930135,1.0071585185243774,0.07241791486740112,295.737202514691,success,0.2691057622432709,0.0013699401170015335,under-trained,7,0.07241791486740112,0.05379019305109978
43,Conv2d,0.10316933899323333,128,256,2.0,5.183719217660022,60.979472091653925,-58.386702251743884,0.10916833620799474,0.0032136157712868234,1.0262387161203337,True,0.11028558015823364,conv2d,-58.095147033244174,1.63216954024614,-0.957481267859895,layer3.0.conv1,1152,0.9898695373535151,42.87158501893282,1152,9,0,0,9,19.99315736388464,1.003296108249284,0.11028558015823364,388.73246128299155,success,0.3320927321910858,0.06243937090039253,under-trained,0,0.11028558015823364,0.10461026430130005
46,Conv2d,0.10836873861241753,256,256,1.0,7.304602753434451,16.340126025076813,-18.13002721532469,0.07608620766069941,0.0,1.0652800270700764,True,0.07770693302154541,conv2d,-17.06526968719183,1.6352892694418708,-1.1095402316665708,layer3.0.conv2,2304,0.9791431047677995,43.18065934045977,2304,59,0,0,9,1.9971143015133448,1.0074408948585654,0.07770693302154541,555.6860586491978,success,0.278759628534317,0.0006967154331505299,under-trained,12,0.07770693302154541,0.0639796108007431
50,Conv2d,0.14459930844903307,128,256,2.0,1.731584731983479,3.5325865115392276,-0.0685701946270222,0.9847492155743393,0.028988310345800353,0.9546984252164489,True,0.9562891721725464,conv2d,1.0299669163643095,1.6303224739987532,-0.01941076160570647,layer3.0.shortcut.0,128,1.0297609177537126,42.6896381881088,128,47,0,0,1,0.3694157099733519,1.0065744027958305,0.9562891721725464,44.64093020223612,success,0.9779003858566284,0.16463154554367065,,0,0.9562891721725464,0.38988855481147766
53,Conv2d,0.10772321090226744,256,256,1.0,7.3114121488531785,12.214342151628793,-13.701537172882478,0.07595023407037242,0.0,1.0653366834862508,True,0.07555129379034042,conv2d,-12.264063921183116,1.6344799426618477,-1.1217580941152336,layer3.1.conv1,2304,1.0052803897857672,43.100265223615104,2304,93,0,0,9,1.1628731099418321,1.0074785969997748,0.07555129379034042,570.4768649392165,success,0.2748659551143646,0.0009321523830294609,under-trained,12,0.07555129379034042,0.06032454967498779
56,Conv2d,0.11736951516793326,256,256,1.0,7.312539316807769,10.736582162971944,-12.008774120843917,0.07589888304364582,0.0,1.0653030169434332,True,0.0761217325925827,conv2d,-10.534418973163676,1.6343460464779125,-1.1184913353766786,layer3.1.conv2,2304,0.9970724582672126,43.086979142955514,2304,115,0,0,9,0.9079409682798212,1.0072932201397338,0.0761217325925827,566.0273048902451,success,0.2759016752243042,0.0007833161507733166,under-trained,11,0.0761217325925827,0.05818165838718414
62,Conv2d,0.11900464193153226,256,512,2.0,5.166052174815051,109.0644397624011,-104.16020976589853,0.10982994687590654,0.0032330917709283502,1.09129655532931,True,0.1109088882803917,conv2d,-104.03344329883947,1.936164898672456,-0.9550336479315666,layer4.0.conv1,2304,0.9902718220224384,86.33062770892866,2304,7,0,0,9,40.84451902583331,1.00290197670543,0.1109088882803917,778.3923276795807,success,0.3330298662185669,0.05990083888173103,under-trained,0,0.1109088882803917,0.1071402058005333
