layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.20085390352094257,3,64,21.333333333333332,1.6116201647117003,15.248042190977369,-4.7374781374691315,0.5259645300666776,0.21817182123824716,0.9961494735504053,True,0.48899656534194946,conv2d,-4.035066442622357,1.0168383788084197,-0.3106941913023044,conv1,27,1.0755996408663464,10.395332351326942,27,11,0,0,9,4.295946358602292,0.9607857225026563,0.48899656534194946,21.25849768302076,success,0.6992828845977783,0.578937292098999,under-trained,0,0.48899656534194946,0.4241504669189453
7,Conv2d,0.12032933438840432,64,64,1.0,7.354585796237924,9.086118159349347,-10.243543496418187,0.07507499134084036,0.0,0.9549141056089719,True,0.0745789185166359,conv2d,-9.272802047136265,1.0273060460802554,-1.1273839187175752,layer1.0.conv1,576,1.0066516494750968,10.648931810558718,576,42,0,0,9,1.2477151201769088,1.007571485567036,0.0745789185166359,142.78742602285553,success,0.2730914056301117,0.003949547652155161,under-trained,5,0.0745789185166359,0.053191397339105606
10,Conv2d,0.09258590222970242,64,64,1.0,7.338205798982138,15.056549602219318,-16.65799662177344,0.07544239644653393,0.0,0.9546143226367295,True,0.07827766239643097,conv2d,-16.123913816426313,1.0292427087825842,-1.106362152143946,layer1.0.conv2,576,0.9637793737945564,10.69652495668852,576,16,0,0,9,3.5141374005548296,1.0077843952592547,0.07827766239643097,136.64849753071093,success,0.2797814607620239,0.004106433596462011,under-trained,3,0.07827766239643097,0.06293424218893051
15,Conv2d,0.11778254916488756,64,64,1.0,7.325010531213154,21.868854547279593,-25.007940068307832,0.07568136060666054,0.0,0.9557202002403115,True,0.07185526937246323,conv2d,-24.372025203315424,1.03080597659427,-1.1435413781842876,layer1.1.conv1,576,1.053247190743447,10.73509708932908,576,14,0,0,9,5.577435983595689,1.00756418908443,0.07185526937246323,149.3988844949351,success,0.26805832982063293,0.0029957036022096872,under-trained,5,0.07185526937246323,0.0636882409453392
18,Conv2d,0.1243977562586692,64,64,1.0,7.336361028422711,5.121174740199084,-5.754423868566324,0.0754723196898849,0.0,0.953452113617705,True,0.07522235065698624,conv2d,-4.395913738074723,1.0294610930628099,-1.123653099238442,layer1.1.conv2,576,1.0033230686187744,10.701905039591892,576,86,0,0,9,0.4443977010916271,1.0077308379503518,0.07522235065698624,142.27028198563693,success,0.27426692843437195,0.002955630188807845,,4,0.07522235065698624,0.04188079759478569
24,Conv2d,0.13118198272435144,64,128,2.0,5.177501396783727,6.701561528096,-6.552996389383861,0.10751882385536772,0.0031650586612724783,0.9912483272816106,True,0.10523706674575806,conv2d,-5.09976475661324,1.3321820339647057,-0.9778312654313049,layer2.0.conv1,576,1.0216820667866213,21.487309231655672,576,84,0,0,9,0.6220913638559049,0.9944931354471936,0.10523706674575806,204.180046974958,success,0.3244026303291321,0.06621111929416656,under-trained,0,0.10523706674575806,0.07069383561611176
27,Conv2d,0.1238522501883263,128,128,1.0,7.32521374537865,12.160267280467014,-13.671620608293514,0.07574492941063755,0.0,0.995041318698903,True,0.07511277496814728,conv2d,-12.569097705370936,1.3318118757559563,-1.1242861931377266,layer2.0.conv2,1152,1.0084160709381107,21.469002954149104,1152,51,0,0,9,1.5627500005267398,1.0080152177613013,0.07511277496814728,285.8235894393911,success,0.27406710386276245,0.0006156819872558117,under-trained,9,0.07511277496814728,0.05898319557309151
31,Conv2d,0.13513886634037758,64,128,2.0,1.7278074476808376,13.799162728385408,-0.43618419354121835,0.9610834967643417,0.02829165662872118,0.9434703527137246,True,0.9298021197319031,conv2d,-0.23476454350049336,1.331189290602306,-0.031609468061708605,layer2.0.shortcut.0,64,1.0336430476642258,21.438248001039028,64,5,0,0,1,5.72395958315029,0.9922365350250839,0.9298021197319031,23.056785466589904,success,0.9642624855041504,0.18471479415893555,under-trained,0,0.9298021197319031,0.7543044686317444
34,Conv2d,0.1242088361908267,128,128,1.0,7.333647779180934,6.661613345741256,-7.523036761761236,0.0754897566843167,0.0,0.9947579764443021,True,0.07424863427877426,conv2d,-6.00067131700248,1.3308123834724512,-1.129311530302293,layer2.1.conv1,1152,1.0167157607355108,21.41965065841257,1152,117,0,0,9,0.5234163389723417,1.007474505392016,0.07424863427877426,288.4854498197267,success,0.27248603105545044,0.0014724964275956154,under-trained,8,0.07424863427877426,0.04849393293261528
37,Conv2d,0.12196971269146084,128,128,1.0,7.336211798117305,6.440850353092558,-7.1962506865434746,0.07550318175040799,0.0,0.9945583984453924,True,0.07633387297391891,conv2d,-5.723127173534746,1.330508757038665,-1.1172827021339213,layer2.1.conv2,1152,0.9891176591577536,21.404680863640223,1152,121,0,0,9,0.49462275937205075,1.0079163543673064,0.07633387297391891,280.4086839790454,success,0.276285856962204,0.0016028389800339937,under-trained,9,0.07633387297391891,0.047915276139974594
