layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.11490172085466555,3,64,21.333333333333332,1.5313568784751876,8.100539214933045,-1.6187271402297831,0.6410030069932485,0.26589016076270583,0.9954592091392978,True,0.6312050223350525,conv2d,-1.1317979790823862,1.0612109369217795,-0.19982955421606002,conv1,27,1.015522665871621,11.513594686985016,27,16,0,0,9,1.7751348037332613,1.0078411033688766,0.6312050223350525,18.240657598686592,success,0.7944841384887695,0.6166581511497498,under-trained,0,0.6312050223350525,0.41431286931037903
7,Conv2d,0.1354530063150206,64,64,1.0,7.305955055901676,4.012549672731087,-4.567257860409419,0.07616434062925623,0.0,0.9544629894571467,True,0.07273721694946289,conv2d,-3.0180727666250315,1.033068490960202,-1.1382433198143507,layer1.0.conv1,576,1.047116508213044,10.791168923045003,576,126,0,0,9,0.2683792556189926,1.0081446363934448,0.07273721694946289,148.35828721000698,success,0.2696983814239502,0.0025627766735851765,,6,0.07273721694946289,0.0342588946223259
10,Conv2d,0.12546285030301185,64,64,1.0,7.309797876753742,13.48943222092139,-15.288746032291206,0.07606413279542941,0.0,0.9551872196304069,True,0.07355514913797379,conv2d,-14.445958591257234,1.032611746531874,-1.1333869196198767,layer1.0.conv2,576,1.0341102381935126,10.779825892914403,576,27,0,0,9,2.4035923515915165,1.008011140424658,0.07355514913797379,146.5543339827066,success,0.27121052145957947,0.001422034576535225,under-trained,5,0.07355514913797379,0.059504520148038864
15,Conv2d,0.1347341472729371,64,64,1.0,7.332188842505028,6.072036021498533,-6.87077017161889,0.07551483004872665,0.0,0.9544590937096356,True,0.07386810332536697,conv2d,-5.583227855096916,1.0299551998112837,-1.1315430519997534,layer1.1.conv1,576,1.0222927982339867,10.714087770287454,576,72,0,0,9,0.5977451775373418,1.0074413464839773,0.07386810332536697,145.04349357793976,success,0.2717868685722351,0.004163500852882862,under-trained,3,0.07386810332536697,0.04546529799699783
18,Conv2d,0.10044471019853085,64,64,1.0,7.331142121254434,8.026623336525269,-8.915064019563799,0.07569296195554585,0.0,0.9542431118149043,True,0.0775020644068718,conv2d,-7.88263418845412,1.0300792058137722,-1.110686729125019,layer1.1.conv2,576,0.9766573643531805,10.717147447419476,576,42,0,0,9,1.0842315197476604,1.0084848842789378,0.0775020644068718,138.28209002480753,success,0.27839192748069763,0.0019840961322188377,under-trained,4,0.0775020644068718,0.05329122021794319
24,Conv2d,0.13216254832876156,64,128,2.0,5.170521238341081,9.248750233492975,-8.944597770693644,0.11022254224347378,0.0032446486995101366,0.991452228625228,True,0.1078663021326065,conv2d,-7.741693651371451,1.3333538306880468,-0.9671142094747149,layer2.0.conv1,576,1.0218440797939898,21.545363750774413,576,52,0,0,9,1.1438958432828645,1.0055619944589238,0.1078663021326065,199.7413772865543,success,0.32843005657196045,0.06532242894172668,under-trained,0,0.1078663021326065,0.08050291240215302
27,Conv2d,0.12108469167638292,128,128,1.0,7.343482931782222,9.502060142506725,-10.641384100890672,0.07531264305115826,0.0,0.9943144788161545,True,0.07587473094463348,conv2d,-9.399091391852698,1.3296482995034902,-1.1199028359426257,layer2.0.conv2,1152,0.9925918960571288,21.36231425215911,1152,74,0,0,9,0.9883444160243464,1.0076414837042158,0.07587473094463348,281.54714996943306,success,0.27545368671417236,0.0014728038804605603,under-trained,8,0.07587473094463348,0.055488985031843185
31,Conv2d,0.15144187313014223,64,128,2.0,1.7441484091166013,4.03097749394691,-0.16121963208736667,0.9427727397999627,0.02775263827038681,0.9431578383361101,True,0.9120209813117981,conv2d,0.6242592918191362,1.3230131016460989,-0.03999517048394863,layer2.0.shortcut.0,64,1.033718257713691,21.03841906785965,64,20,0,0,1,0.6777471714737248,0.9920333144812368,0.9120209813117981,23.06791126405799,success,0.9549978971481323,0.19012890756130219,,0,0.9120209813117981,0.4366447329521179
34,Conv2d,0.11098943794326488,128,128,1.0,7.327693676478198,9.78960366009796,-11.003560331357686,0.07564669922683628,0.0,0.9950951343560342,True,0.07516147941350937,conv2d,-9.77358929362927,1.3315178671005243,-1.1240046802106776,layer2.1.conv1,1152,1.006455698013306,21.454473788194473,1152,68,0,0,9,1.0658960087617493,1.0077024204093754,0.07516147941350937,285.4450704750004,success,0.27415594458580017,0.0007469737902283669,under-trained,9,0.07516147941350937,0.0556306391954422
37,Conv2d,0.12066716803279531,128,128,1.0,7.323231753528039,9.27542433440958,-10.455033829430336,0.0757135657232029,0.0,0.9947965412516184,True,0.07461466640233994,conv2d,-9.115464437288654,1.332046922711407,-1.1271757983777293,layer2.1.conv2,1152,1.0147276584329605,21.48062545865976,1152,70,0,1,9,0.9891023918868362,1.0075338184143212,0.07461466640233994,287.88744216627794,success,0.2731568515300751,0.0015375363873317838,under-trained,8,0.07461466640233994,0.055781930685043335
