layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.1518280092311537,3,64,21.333333333333332,1.5900434861405959,16.293364175171558,-4.590635442126291,0.5610825019316987,0.23273887175591965,0.9961211360559469,True,0.5226984620094299,conv2d,-4.05438688485693,1.0285457601311112,-0.28174877777062607,conv1,27,1.0734343846635928,10.679373115301132,27,9,0,0,9,5.0977880583905195,0.9790570158618261,0.5226984620094299,20.43123118106375,success,0.7229788899421692,0.5981981754302979,under-trained,0,0.5226984620094299,0.45007431507110596
7,Conv2d,0.1171425879021071,64,64,1.0,7.35468648981236,7.55249322055938,-8.515278409743816,0.07524860383721055,0.0,0.9539462053840018,True,0.07456257194280624,conv2d,-7.364809126924506,1.0272941540810077,-1.1274791199498921,layer1.0.conv1,576,1.0092007541656494,10.648640221877386,576,45,0,0,9,0.9767880175518197,1.0087496388077946,0.07456257194280624,142.81481907632562,success,0.27306148409843445,0.0027549152728170156,under-trained,4,0.07456257194280624,0.05176401138305664
10,Conv2d,0.10437971147098452,64,64,1.0,7.328336725964789,6.744384308967919,-7.403225801380193,0.07574027106389883,0.0,0.9546840920449898,True,0.07985692471265793,conv2d,-6.344867927403248,1.0304116508403443,-1.0976874184847714,layer1.0.conv2,576,0.9484496345987316,10.72535438192979,576,56,0,0,9,0.7676256422185049,1.0084139575622983,0.07985692471265793,134.3071301646273,success,0.2825896739959717,0.0030755840707570314,under-trained,4,0.07985692471265793,0.04918504133820534
15,Conv2d,0.11057091586843854,64,64,1.0,7.329365342760625,11.571878687336694,-12.91021545264492,0.07549242322513029,0.0,0.9545265350429445,True,0.07662063837051392,conv2d,-12.110447485602988,1.0302897428913182,-1.11565423398128,layer1.1.conv1,576,0.9852753100290299,10.722344160717636,576,29,0,0,9,1.9631485880117547,1.0069039802099935,0.07662063837051392,139.94067902263706,success,0.2768043279647827,0.005601344630122185,under-trained,3,0.07662063837051392,0.058311328291893005
18,Conv2d,0.12916420942235907,64,64,1.0,7.345073229235743,10.602596788418708,-12.002774666463857,0.0751750557682205,0.0,0.9543761758259127,True,0.07378024607896805,conv2d,-11.05344301124546,1.028430223430849,-1.1320599006061018,layer1.1.conv2,576,1.0189049205360414,10.676532426614441,576,36,0,0,9,1.6004327980697848,1.0069386565282639,0.07378024607896805,144.70719459497596,success,0.27162519097328186,0.003818694967776537,under-trained,1,0.07378024607896805,0.056137531995773315
24,Conv2d,0.13687406599228025,64,128,2.0,5.19319504303211,5.979123954454901,-5.699362661670476,0.10956458924834012,0.0032252803717021674,0.9910411496057339,True,0.11137550324201584,conv2d,-4.3426192665269925,1.3295532156558272,-0.9532103206229765,layer2.0.conv1,576,0.9837404640970226,21.35763772786595,576,97,0,0,9,0.5055534412880724,1.0069526608138923,0.11137550324201584,191.76243524086624,success,0.33372968435287476,0.06607070565223694,,0,0.11137550324201584,0.06668539345264435
27,Conv2d,0.1238995066803531,128,128,1.0,7.3314365785682005,38.414847027569266,-43.734164101810194,0.07553287833904575,0.0,0.9951837738983619,True,0.07269920408725739,conv2d,-43.09632633180821,1.3310743150667994,-1.1384703437820123,layer2.0.conv2,1152,1.0389780643043525,21.432573170021882,1152,16,0,0,9,9.353711756892316,1.0074583569005158,0.07269920408725739,294.81166182091056,success,0.2696278989315033,0.0008620378794148564,under-trained,9,0.07269920408725739,0.06744497269392014
31,Conv2d,0.1254346665231112,64,128,2.0,1.7480481692567251,8.834625808967399,-0.23396484030439663,0.9706808048903733,0.028574175001969557,0.9443483248559565,True,0.9408432841300964,conv2d,0.05117273792084622,1.3210731821992934,-0.026482710797656604,layer2.0.shortcut.0,64,1.0317135927561674,20.94465360790491,64,9,0,0,1,2.611541936322466,1.0088600604411322,0.9408432841300964,22.261575292287212,success,0.9699707627296448,0.1892341673374176,under-trained,0,0.9408432841300964,0.643721878528595
34,Conv2d,0.11424461217641213,128,128,1.0,7.3278186212789524,9.9747436248037,-11.049298234671278,0.07570434509331717,0.0,0.9946611865672018,True,0.07803194969892502,conv2d,-9.937256263071665,1.331503056881295,-1.107727541707993,layer2.1.conv1,1152,0.9701711335601817,21.45374216470924,1152,65,0,0,9,1.1131799435087177,1.0081034913580127,0.07803194969892502,274.935359778724,success,0.27934199571609497,0.001896761474199593,under-trained,6,0.07803194969892502,0.05678661912679672
37,Conv2d,0.09823593017317095,128,128,1.0,7.315323816382454,14.474616807964628,-16.293844087400387,0.0758253876596923,0.0,0.9948398521163574,True,0.07487141340970993,conv2d,-15.221050253562947,1.3329853687987268,-1.1256839682577804,layer2.1.conv2,1152,1.0127415018167487,21.52709209620779,1152,38,0,0,9,2.1858714877804815,1.0071887800569548,0.07487141340970993,287.5208456184425,success,0.2736264169216156,0.0019635700155049562,under-trained,9,0.07487141340970993,0.06207060441374779
