layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.21720516719682909,3,64,21.333333333333332,1.6044535344378323,11.2948147334191,-3.329487523767814,0.544891054264334,0.22602260587839956,0.9955071920106945,True,0.5072473883628845,conv2d,-2.5869869221346664,1.0207094755863142,-0.2947801803173031,conv1,27,1.074211650498473,10.488405644893646,27,13,0,0,9,2.8552678763649775,0.9735709410672072,0.5072473883628845,20.677101322777528,success,0.7122130393981934,0.5774088501930237,under-trained,0,0.5072473883628845,0.41196566820144653
7,Conv2d,0.08577146795195195,64,64,1.0,7.356920080837763,18.29860320065774,-20.495400277751667,0.07499397065205553,0.0,0.9550352755285006,True,0.0758485496044159,conv2d,-20.075027238405916,1.0270304068797875,-1.1200527194892647,layer1.0.conv1,576,0.9887330877542501,10.642175261974646,576,18,0,0,9,4.077319876080135,1.0073472770863243,0.0758485496044159,140.30822365725317,success,0.275406152009964,0.0035975570790469646,under-trained,5,0.0758485496044159,0.062136851251125336
10,Conv2d,0.11586395261371685,64,64,1.0,7.369309577050762,31.77981736861946,-36.393065631061454,0.07485832735512409,0.0,0.9549208404906315,True,0.07158749550580978,conv2d,-35.91518102352056,1.0255688810898487,-1.1451628311431796,layer1.0.conv2,576,1.04568998854065,10.606421477250738,576,13,0,0,9,8.536785367074966,1.0081307573930998,0.07158749550580978,148.16025343965217,success,0.26755839586257935,0.0029185048770159483,under-trained,5,0.07158749550580978,0.06484685093164444
15,Conv2d,0.1194882584493061,64,64,1.0,7.353083519556788,10.709316421248852,-12.151086477723286,0.07527324644850773,0.0,0.9547705622617038,True,0.07334531098604202,conv2d,-11.123785875792416,1.0274834856082107,-1.1346276456650166,layer1.1.conv1,576,1.0262857357416155,10.65328352942604,576,28,0,0,9,1.8348883322185792,1.008694904062196,0.07334531098604202,145.2483244832572,success,0.2708233892917633,0.0034208977594971657,under-trained,5,0.07334531098604202,0.05795248970389366
18,Conv2d,0.1267188705881288,64,64,1.0,7.353798737004998,10.949127870973557,-12.199255211569692,0.0749991377270623,0.0,0.9540033869867873,True,0.07688188552856445,conv2d,-11.450745168086316,1.0273990040747503,-1.1141759741349133,layer1.1.conv2,576,0.9755111651000984,10.651211391199775,576,33,0,0,9,1.7319208585825794,1.00695457438822,0.07688188552856445,138.5399345759081,success,0.27727583050727844,0.002859127940610051,under-trained,2,0.07688188552856445,0.05650670826435089
24,Conv2d,0.1345259996315633,64,128,2.0,5.19367996014383,3.8901453752263313,-3.802903850618382,0.10747109375944107,0.0031636536184334756,0.9907373715045967,True,0.10529949516057968,conv2d,-2.0892801245152963,1.3294721145254529,-0.9775737109560145,layer2.0.conv1,576,1.0206230675232557,21.35364972683601,576,185,0,0,9,0.21248771398431932,0.9973792561235304,0.10529949516057968,202.78966859501188,success,0.32449883222579956,0.06654436141252518,,0,0.10529949516057968,0.048246659338474274
27,Conv2d,0.13054520156059074,128,128,1.0,7.333891336755012,9.094719997978089,-10.312967084350138,0.07555218104357854,0.0,0.9945440637405023,True,0.0734596699476242,conv2d,-8.934183370963938,1.330783537267339,-1.1339510272600901,layer2.0.conv2,1152,1.0284851687660217,21.41822799443084,1152,77,0,0,9,0.9224789572489424,1.0079244452281304,0.0734596699476242,291.56444631049607,success,0.27103444933891296,0.0012761078542098403,under-trained,8,0.0734596699476242,0.05470182001590729
31,Conv2d,0.14918196645362747,64,128,2.0,1.7321603834147057,2.918589361963974,-0.1245230678964005,0.9366585810142792,0.027572654240361948,0.942178417634317,True,0.9064304828643799,conv2d,0.8340372405077565,1.3290037708992604,-0.042665497763826075,layer2.0.shortcut.0,64,1.0333485013151549,21.330634340643883,64,31,0,0,1,0.3445888218208969,0.9820148882156217,0.9064304828643799,23.532565093395444,success,0.9520664215087891,0.18602855503559113,,0,0.9064304828643799,0.30089011788368225
34,Conv2d,0.12091264777760882,128,128,1.0,7.35155400859225,12.481728607273913,-14.026135538859453,0.0751203313526599,0.0,0.9944900756307794,True,0.07520844042301178,conv2d,-12.939125507406223,1.3286941747909633,-1.1237334170753812,layer2.1.conv1,1152,0.9988284683227534,21.315433760496866,1152,45,0,0,9,1.711595044337897,1.0074602132620267,0.07520844042301178,283.4181062738127,success,0.27424156665802,0.001312384381890297,under-trained,7,0.07520844042301178,0.05987242981791496
37,Conv2d,0.09806279849581312,128,128,1.0,7.327515235963877,16.762640570382473,-18.579613215806503,0.07560306847499426,0.0,0.9948493387164877,True,0.07791226357221603,conv2d,-17.89010809553648,1.3315390188237606,-1.1083941779813855,layer2.1.conv2,1152,0.9703615966043471,21.455518724664245,1152,32,0,1,9,2.786467509180909,1.007387240184603,0.07791226357221603,275.38050803487897,success,0.27912768721580505,0.0010234739165753126,under-trained,7,0.07791226357221603,0.063176728785038
43,Conv2d,0.11638058485833647,128,256,2.0,5.181760375276447,11.668715867504764,-11.126815870787185,0.10990377808548693,0.003235265158815005,1.0261455916312414,True,0.1112859696149826,conv2d,-9.886991941041703,1.6324978277857969,-0.9535595859158187,layer3.0.conv1,1152,0.9875798221979136,42.90400433004834,1152,70,0,0,9,1.2751554429701497,1.0062895187246874,0.1112859696149826,385.5293212476275,success,0.33359551429748535,0.06203179806470871,under-trained,0,0.1112859696149826,0.08674672991037369
46,Conv2d,0.11920087976025273,256,256,1.0,7.324541931905275,16.111394712558372,-18.10536459690428,0.07563014359967425,0.0,1.0654655742879942,True,0.07520358264446259,conv2d,-16.877857256015254,1.6329215355156363,-1.1237614694394933,layer3.0.conv2,2304,1.0056720829010009,42.94588289338827,2304,61,0,1,9,1.9348158304304355,1.0071587646105327,0.07520358264446259,571.0616620011584,success,0.2742327153682709,0.0005008909502066672,under-trained,12,0.07520358264446259,0.06338263303041458
50,Conv2d,0.14242163609529251,128,256,2.0,1.734428482712792,6.1427002792261804,-0.1609773682724707,0.9701437766277953,0.02855836636592916,0.9562455541639117,True,0.9414423108100891,conv2d,0.6432184981581693,1.6288971758821291,-0.026206287293045274,layer3.0.shortcut.0,128,1.0304866963043218,42.549765983596444,128,22,0,0,1,1.0964273835332194,1.000722721083673,0.9414423108100891,45.19636040893825,success,0.9702795147895813,0.17172656953334808,under-trained,0,0.9414423108100891,0.590601921081543
53,Conv2d,0.12645212752062412,256,256,1.0,7.313805477526052,5.558732840944765,-6.286627239630477,0.07588449351359969,0.0,1.065312945138079,True,0.07396970689296722,conv2d,-4.34292283681919,1.6341956639668318,-1.130946102198716,layer3.1.conv1,2304,1.0258860917673114,43.07206206090751,2304,297,0,0,9,0.26452450902664126,1.0073721257107402,0.07396970689296722,582.2932639605018,success,0.27197372913360596,0.0007708033663220704,,12,0.07396970689296722,0.04440394416451454
56,Conv2d,0.08244233299012338,256,256,1.0,7.306500038180907,33.300101086679696,-37.10944542522236,0.07600699767529316,0.0,1.0654604233797684,True,0.07684323191642761,conv2d,-36.47784133363982,1.6350636929573665,-1.114394377621467,layer3.1.conv2,2304,0.9891176591577524,43.158236738944815,2304,20,0,0,9,7.222522170993062,1.0071778919211059,0.07684323191642761,561.6400516037953,success,0.2772061228752136,0.000930034089833498,under-trained,14,0.07684323191642761,0.06959211826324463
62,Conv2d,0.11534533197832492,256,512,2.0,5.168534470621375,13.535980565749272,-12.919709148681306,0.10990592104592907,0.0032353282416805436,1.091228029580954,True,0.1110525131225586,conv2d,-11.437805707524422,1.9357476406131426,-0.9544716089038022,layer4.0.conv1,2304,0.989675226211548,86.24772347533144,2304,111,0,0,9,1.1898626188578858,1.0037308548307187,0.1110525131225586,776.6390966780522,success,0.3332454264163971,0.0590214803814888,under-trained,0,0.1110525131225586,0.09038443863391876
65,Conv2d,0.03182509840602876,512,512,1.0,7.286800412046069,10.605490067020403,-10.590970531652424,0.07653822189757689,0.0,1.1953982184073224,True,0.10031573474407196,conv2d,-9.630185983890726,1.938438721988359,-0.9986309415900421,layer4.0.conv2,4608,0.7629732473459239,86.78381185726062,4608,103,16,0,9,0.9464570594151502,1.0079664174005472,0.10031573474407196,865.1066762224857,success,0.31672659516334534,0.00023873690224718302,under-trained,25,0.10031573474407196,0.06632896512746811
