layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.18188104612738665,3,64,21.333333333333332,1.627003343360133,24.66404706227616,-6.984699203368407,0.5570755208736808,0.2310767628015685,0.9937478163047171,True,0.5209624767303467,conv2d,-6.628675580066236,1.0085868734034444,-0.28319355642373695,conv1,27,1.0693198565278368,10.19968767464161,27,6,0,0,9,9.660806758630644,0.9982311139885063,0.5209624767303467,19.578545730695744,success,0.7217773199081421,0.6087607145309448,under-trained,0,0.5209624767303467,0.47157251834869385
7,Conv2d,0.12502618499919171,64,64,1.0,7.3810101258103975,5.059647585294281,-5.651798759177519,0.0745655443579811,0.0,0.9538723191980336,True,0.07637758553028107,conv2d,-4.339666491960557,1.0241908811739902,-1.1170340747850322,layer1.0.conv1,576,0.9762752231597901,10.572821038912338,576,85,0,0,9,0.4403306046301452,1.0077548613115819,0.07637758553028107,138.4283224653728,success,0.2763649523258209,0.00320538692176342,,1,0.07637758553028107,0.04120052233338356
10,Conv2d,0.12291054208419566,64,64,1.0,7.367302291952406,16.2052500832381,-18.335643470525824,0.07473508154435662,0.0,0.9554135611750981,True,0.07388169318437576,conv2d,-17.78381652615761,1.025805503416599,-1.1314631601700056,layer1.0.conv2,576,1.0115507417764666,10.612201886760687,576,22,0,0,9,3.2417702101125676,1.0070261556507707,0.07388169318437576,143.63777316631555,success,0.2718118727207184,0.00455630524083972,under-trained,4,0.07388169318437576,0.05971710383892059
15,Conv2d,0.11423856213257311,64,64,1.0,7.354218834786541,10.875935029366955,-12.294662955860446,0.07521909542783538,0.0,0.9536183006236744,True,0.07405484467744827,conv2d,-11.303961669659321,1.0273493859266776,-1.1304465246126125,layer1.1.conv1,576,1.0157214663734437,10.649994559724941,576,31,0,0,9,1.7737702937462583,1.0084877012769502,0.07405484467744827,143.8122597665532,success,0.27213019132614136,0.0019848181400448084,under-trained,6,0.07405484467744827,0.05752101168036461
18,Conv2d,0.11854352873875051,64,64,1.0,7.353683833764543,18.34434131539428,-20.754112411568343,0.07503111807134287,0.0,0.9553471654030754,True,0.07389870285987854,conv2d,-20.204171001505394,1.0274125758993078,-1.1313631846869214,layer1.1.conv2,576,1.0153238848266597,10.651544249748724,576,14,0,0,9,4.635470200105248,1.0071535019637088,0.07389870285987854,144.13709358262247,success,0.27184316515922546,0.0034402201417833567,under-trained,5,0.07389870285987854,0.06263737380504608
24,Conv2d,0.12101984221321416,64,128,2.0,5.19796320992666,8.218535339540084,-7.9613889003421505,0.10894996014724598,0.0032071873802599904,0.9913241019182919,True,0.10747033357620239,conv2d,-6.714875091555182,1.328756080758628,-0.9687114031181712,layer2.0.conv1,576,1.0137677675485621,21.31847235909663,576,64,0,0,9,0.9023169174425105,1.0050462597240586,0.10747033357620239,198.36611323050056,success,0.32782667875289917,0.06416308879852295,under-trained,0,0.10747033357620239,0.07597391307353973
27,Conv2d,0.12950184350141486,128,128,1.0,7.3551290371497835,8.2359934751948,-9.282437956330847,0.07502910092336351,0.0,0.9949636069273987,True,0.07463499903678894,conv2d,-7.934916658261189,1.328271886447375,-1.1270574684508594,layer2.0.conv2,1152,1.0052803897857667,21.294717668537288,1152,86,0,0,9,0.780277243312241,1.0073378946510572,0.07463499903678894,285.3181207658452,success,0.2731940746307373,0.0015736153582111,under-trained,8,0.07463499903678894,0.05249105021357536
31,Conv2d,0.1437111308199639,64,128,2.0,1.730559439222265,10.834305393678397,-0.5121742440974109,0.9275095206542386,0.0273033310493456,0.9438902554525878,True,0.8968640565872192,conv2d,-0.12891600148295237,1.3298069329380795,-0.04727338075556319,layer2.0.shortcut.0,64,1.0341695754690323,21.370118625462055,64,7,0,0,1,3.717018055533456,0.9763038931706136,0.8968640565872192,23.82760070325533,success,0.9470290541648865,0.18807388842105865,under-trained,0,0.8968640565872192,0.7010393738746643
34,Conv2d,0.11234386398446827,128,128,1.0,7.351102784654296,8.379387544189736,-9.388124748767206,0.07514093139465898,0.0,0.9948670158166669,True,0.07579085975885391,conv2d,-8.077427071325657,1.3287474887108004,-1.1203831663421424,layer2.1.conv1,1152,0.9914247131347654,21.318050600290423,1152,82,0,0,9,0.8149170280025866,1.0075364959097466,0.07579085975885391,281.27469022146886,success,0.27530139684677124,0.0013694405788555741,under-trained,6,0.07579085975885391,0.05340946465730667
37,Conv2d,0.07090153519311704,128,128,1.0,7.342744724668835,26.74728517239057,-29.372711041678222,0.07523224590590438,0.0,0.9949741919925874,True,0.07977067679166794,conv2d,-29.228284795424365,1.3297356192110736,-1.0981567232848628,layer2.1.conv2,1152,0.9431065265045163,21.366609813463324,1152,12,0,0,9,7.432601012590878,1.0070022658779543,0.07977067679166794,267.85042665822124,success,0.2824370265007019,0.002642976585775614,under-trained,5,0.07977067679166794,0.0672723799943924
43,Conv2d,0.08489492900517873,128,256,2.0,5.1979476799115965,37.49665933186063,-35.926113889312376,0.10881662665955039,0.0032032624088462764,1.0262645257868885,True,0.11012475192546844,conv2d,-35.41318459370971,1.6297886715198227,-0.9581150569001817,layer3.0.conv1,1152,0.988121423721314,42.63719949312508,1152,14,0,0,9,9.754142498687743,1.0044280802668077,0.11012475192546844,387.17180967618975,success,0.33185049891471863,0.06287100911140442,under-trained,0,0.11012475192546844,0.1013411357998848
46,Conv2d,0.1260708570796567,256,256,1.0,7.359044516477633,6.637073408026166,-7.488916404661238,0.0749380005225919,0.0,1.0654769596022422,True,0.07441385835409164,conv2d,-5.698814859396569,1.6288396145976476,-1.1283461767358103,layer3.0.conv2,2304,1.0070436096191409,42.54412682172777,2304,223,0,0,9,0.3774863559288564,1.0072620810543287,0.07441385835409164,571.7231677369203,success,0.27278903126716614,0.0004118729557376355,under-trained,13,0.07441385835409164,0.0483875572681427
50,Conv2d,0.12295752122145243,128,256,2.0,1.7353561478175836,17.086473818385077,-0.5980951932960146,0.9512893024533915,0.028003342467325987,0.9557316236826918,True,0.9225628972053528,conv2d,-0.2554720140881642,1.6284327322482282,-0.0350040154366118,layer3.0.shortcut.0,128,1.031137611684859,42.504286693409085,128,9,0,0,1,5.362157939461692,0.9914806382992668,0.9225628972053528,46.071966282368365,success,0.9605013728141785,0.17143204808235168,under-trained,0,0.9225628972053528,0.7677595019340515
