layer_id,name,D,M,N,Q,W_scale,alpha,alpha_weighted,bulk_max,bulk_min,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,mp_softrank,norm,num_evals,num_pl_spikes,num_spikes,rank_loss,rf,sigma,sigma_mp,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
1,Conv2d,0.2272412999605315,3,64,21.333333333333332,1.6043103172730957,10.756648283894004,-3.1567318708481205,0.5461103739799104,0.22652838371666034,0.9955297108805852,True,0.5087823271751404,conv2d,-2.4088681606109645,1.0207870112695552,-0.29346798254756684,conv1,27,1.073367420232583,10.490278333425522,27,13,0,0,9,2.7060073587882747,0.9745726270674615,0.5087823271751404,20.618401570018385,success,0.7132897973060608,0.5779394507408142,under-trained,0,0.5087823271751404,0.4093535840511322
7,Conv2d,0.10744052672597693,64,64,1.0,7.363592302015576,20.301420406010863,-22.765892583076386,0.07486332894000798,0.0,0.9550804356624784,True,0.07561464607715607,conv2d,-22.409441420088054,1.0262430133536282,-1.121394076265513,layer1.0.conv1,576,0.9900638675689698,10.622898046666114,576,15,0,0,9,4.983605319375204,1.0073822789626181,0.07561464607715607,140.48730765500991,success,0.27498117089271545,0.004639641381800175,under-trained,3,0.07561464607715607,0.06313325464725494
10,Conv2d,0.1163819772824285,64,64,1.0,7.378378331333084,8.643618222580198,-9.888744597127355,0.07462671300751395,0.0,0.9549546083004844,True,0.07177091389894485,conv2d,-8.761691383115755,1.024500643013902,-1.144051523619408,layer1.0.conv2,576,1.0397904799232476,10.580364825177774,576,48,0,0,9,1.1032612595973517,1.0078086489879916,0.07177091389894485,147.41856067313256,success,0.2679009437561035,0.0022546383552253246,under-trained,6,0.07177091389894485,0.05181129276752472
15,Conv2d,0.10340069576614969,64,64,1.0,7.361338823009229,9.772454441819177,-11.096378818800762,0.07512650391420841,0.0,0.9546649355268136,True,0.07320232689380646,conv2d,-10.020036605506156,1.0265088681808927,-1.1354751137356167,layer1.1.conv1,576,1.0262857357416155,10.62940288019599,576,35,0,0,9,1.48281543918311,1.0088425737901654,0.07320232689380646,145.20580603422496,success,0.27055928111076355,0.0035430523566901684,under-trained,5,0.07320232689380646,0.05576302111148834
18,Conv2d,0.12460796953688724,64,64,1.0,7.3625069778976915,19.25517878057052,-21.5214645752526,0.07488946677836017,0.0,0.9541630035170593,True,0.076261006295681,conv2d,-21.125242257467836,1.0263710446176766,-1.1176974683283065,layer1.1.conv2,576,0.9820151925086975,10.626030169261284,576,13,0,0,9,5.0630756258545535,1.007409618141479,0.076261006295681,139.33766003639903,success,0.27615395188331604,0.0019440936157479882,under-trained,5,0.076261006295681,0.06379564106464386
24,Conv2d,0.1222482566685989,64,128,2.0,5.199843511215401,11.76461367784739,-11.523222470145576,0.10715675932018784,0.003154400476482881,0.990771126467452,True,0.10483792424201965,conv2d,-10.36430799693003,1.328441935860644,-0.9794815865346815,layer2.0.conv1,576,1.0221182849139128,21.303057316923514,576,43,0,0,9,1.6415881960545284,0.9971015050345318,0.10483792424201965,203.1999152114567,success,0.3237868547439575,0.06668969988822937,under-trained,0,0.10483792424201965,0.08409574627876282
27,Conv2d,0.13250430309580252,128,128,1.0,7.351121798236818,4.989247744715303,-5.6627711615327625,0.07519496092912488,0.0,0.9946320036473537,True,0.07328329980373383,conv2d,-3.9617667504117073,1.328745242113648,-1.1349949834683728,layer2.0.conv2,1152,1.0260859040260308,21.317940322702537,1152,175,0,0,9,0.3015587843069136,1.007901268598242,0.07328329980373383,290.89765853606355,success,0.2707088887691498,0.0016084472881630063,,8,0.07328329980373383,0.04101262986660004
31,Conv2d,0.15015391598404637,64,128,2.0,1.7323419939081501,2.9449543543538512,-0.12440635355285012,0.9384668499082506,0.02762588470661474,0.9422654331430048,True,0.9073108434677124,conv2d,0.8280994355956537,1.32891270739098,-0.04224389874461941,layer2.0.shortcut.0,64,1.0343388450219122,21.326162170618773,64,31,0,0,1,0.3493241142420144,0.9830654068779423,0.9073108434677124,23.504802487657788,success,0.9525286555290222,0.1855674684047699,,0,0.9073108434677124,0.3030962347984314
34,Conv2d,0.12579810775434452,128,128,1.0,7.369201526486848,9.072167499729254,-10.192271532804675,0.07472656316499982,0.0,0.9945959502417071,True,0.07525476813316345,conv2d,-8.933212988771178,1.3266116123044824,-1.1234659780156009,layer2.1.conv1,1152,0.992981109619141,21.213465023646638,1152,79,0,0,9,0.9081897988193657,1.0072283519844902,0.07525476813316345,281.88865037906135,success,0.27432602643966675,0.0021539349108934402,under-trained,5,0.07525476813316345,0.05398530140519142
37,Conv2d,0.1130853183917212,128,128,1.0,7.345334477733095,29.917039923734677,-33.293752209950256,0.07522514732834197,0.0,0.9948952375106582,True,0.0771135687828064,conv2d,-32.953700459855,1.3294293257981755,-1.1128691974481293,layer2.1.conv2,1152,0.9755111651000975,21.3515459688485,1152,10,0,0,9,9.14437093490233,1.0073099050639907,0.0771135687828064,276.8844226232873,success,0.2776933014392853,0.0019166003912687302,under-trained,6,0.0771135687828064,0.06895807385444641
